timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.22,3.79,2.70,-0.08,0.06,-1.10
9,-0.45,3.44,-1.07,-0.05,0.14,-1.08
18,0.11,4.22,-4.06,-0.06,0.07,-1.09
27,-1.17,5.12,-2.03,-0.11,-0.05,-1.12
36,-0.46,4.66,0.07,-0.10,-0.01,-1.10
45,-0.26,3.36,0.72,-0.04,0.10,-1.06
54,-1.24,4.80,-1.85,-0.06,0.14,-1.09
63,0.55,4.34,-4.44,-0.09,-0.02,-1.10
72,-0.58,3.04,-0.40,-0.10,-0.08,-1.10
81,-1.40,3.36,3.03,-0.09,0.06,-1.10
90,0.45,3.33,-2.63,-0.04,0.15,-1.09
99,-0.49,4.90,-3.42,-0.06,0.05,-1.08
108,-1.21,4.80,-1.30,-0.13,-0.06,-1.11
117,1.15,2.28,-0.17,-0.09,-0.02,-1.09
126,-1.95,4.62,1.34,-0.04,0.13,-1.10
135,-0.73,3.97,-2.16,-0.07,0.12,-1.10
144,1.20,3.44,-4.78,-0.09,-0.03,-1.10
153,-1.13,2.47,0.30,-0.11,-0.06,-1.10
162,-1.71,4.43,2.04,-0.08,0.09,-1.10
171,0.59,3.58,-2.80,-0.02,0.15,-1.08
180,-1.10,4.74,-3.22,-0.08,0.04,-1.11
189,-0.53,4.27,-2.03,-0.13,-0.07,-1.11
198,0.27,3.14,-0.70,-0.07,-0.01,-1.09
207,-2.66,4.78,1.39,-0.04,0.15,-1.10
216,-0.05,3.42,-3.08,-0.07,0.10,-1.11
225,1.21,3.12,-4.51,-0.09,-0.05,-1.10
234,-1.53,3.05,0.29,-0.11,-0.06,-1.09
243,-1.87,5.06,1.03,-0.06,0.12,-1.10
252,0.67,3.73,-3.03,-0.02,0.12,-1.07
261,-1.42,4.68,-3.19,-0.09,0.04,-1.12
270,-0.09,4.48,-2.43,-0.12,-0.08,-1.10
279,-1.73,4.47,0.56,-0.07,0.01,-1.09
288,-2.24,4.18,1.00,-0.06,0.17,-1.10
297,0.67,3.28,-4.72,-0.06,0.10,-1.11
306,-0.24,4.08,-3.63,-0.09,-0.05,-1.09
315,-3.41,5.50,1.67,-0.12,-0.03,-1.11
324,-0.88,4.51,-0.21,-0.04,0.13,-1.10
333,-0.31,4.56,-2.10,-0.03,0.12,-1.06
342,-1.15,4.35,-3.24,-0.10,0.02,-1.11
351,-0.24,3.97,-2.05,-0.11,-0.08,-1.11
360,-2.53,4.39,1.36,-0.07,0.05,-1.11
369,-1.41,3.66,0.40,-0.05,0.15,-1.09
378,0.69,3.56,-4.73,-0.05,0.08,-1.09
387,-1.01,4.92,-2.58,-0.11,-0.05,-1.12
396,-3.27,6.97,1.53,-0.11,-0.01,-1.11
405,-0.02,3.72,-0.36,-0.04,0.11,-1.09
414,-1.50,5.31,-1.48,-0.05,0.13,-1.11
423,-0.57,4.25,-3.99,-0.10,-0.00,-1.11
432,-0.14,3.96,-1.80,-0.10,-0.07,-1.10
441,-2.34,3.94,2.93,-0.08,0.07,-1.09
450,-0.57,3.44,-0.86,-0.05,0.15,-1.09
459,0.29,4.21,-4.47,-0.06,0.06,-1.09
468,-0.98,5.02,-2.03,-0.12,-0.07,-1.11
477,-0.84,4.89,0.45,-0.10,-0.00,-1.11
486,-0.08,3.39,0.69,-0.04,0.10,-1.07
495,-1.26,4.72,-2.17,-0.06,0.14,-1.11
504,0.45,4.08,-4.13,-0.09,-0.03,-1.10
513,-0.79,3.34,-0.42,-0.11,-0.06,-1.11
522,-1.06,2.91,2.71,-0.09,0.06,-1.09
531,0.09,4.05,-2.38,-0.04,0.16,-1.09
540,-0.37,5.11,-3.60,-0.07,0.03,-1.08
549,-0.27,4.14,-2.28,-0.12,-0.07,-1.11
558,-0.97,3.75,0.28,-0.08,-0.02,-1.09
567,-2.37,4.92,0.75,-0.05,0.15,-1.09
576,0.58,3.10,-3.75,-0.06,0.10,-1.10
585,0.33,2.81,-3.93,-0.10,-0.05,-1.10
594,-2.22,3.86,0.69,-0.12,-0.05,-1.10
603,-1.12,4.79,0.41,-0.07,0.10,-1.10
612,-0.51,4.26,-1.94,-0.03,0.15,-1.08
621,-1.40,4.61,-3.30,-0.09,0.02,-1.11
630,-0.04,4.67,-2.92,-0.12,-0.08,-1.10
639,-2.48,4.92,1.50,-0.06,0.02,-1.10
648,-2.21,4.30,0.75,-0.05,0.16,-1.10
657,1.11,3.10,-4.88,-0.06,0.09,-1.10
666,-0.55,3.57,-2.84,-0.10,-0.06,-1.08
675,-3.48,6.35,1.63,-0.12,-0.02,-1.11
684,0.09,3.38,-0.32,-0.05,0.11,-1.09
693,-1.36,4.83,-1.41,-0.03,0.13,-1.08
702,-1.07,4.75,-3.58,-0.09,0.02,-1.11
711,0.29,4.00,-2.89,-0.11,-0.06,-1.11
720,-2.37,3.99,2.52,-0.07,0.03,-1.09
729,-1.71,3.98,0.08,-0.06,0.15,-1.10
738,0.84,3.99,-4.91,-0.05,0.08,-1.08
747,-1.54,4.61,-2.14,-0.10,-0.05,-1.10
756,-1.86,5.77,0.79,-0.12,-0.01,-1.12
765,0.53,3.03,-0.31,-0.04,0.09,-1.08
774,-1.95,5.22,-1.25,-0.04,0.14,-1.09
783,-0.30,4.85,-4.14,-0.10,0.01,-1.11
792,0.12,3.14,-2.20,-0.10,-0.07,-1.10
801,-1.96,3.10,3.60,-0.09,0.04,-1.10
810,-0.30,3.93,-1.35,-0.05,0.16,-1.10
819,0.47,4.44,-4.05,-0.05,0.05,-1.08
828,-1.49,4.61,-1.22,-0.12,-0.06,-1.12
837,0.35,3.42,0.01,-0.10,-0.01,-1.11
846,-0.62,3.78,0.48,-0.03,0.11,-1.08
855,-2.09,4.95,-1.44,-0.06,0.13,-1.11
864,0.45,4.20,-4.34,-0.10,-0.02,-1.10
873,-0.71,3.45,-0.48,-0.10,-0.06,-1.09
882,-1.71,3.77,2.94,-0.09,0.06,-1.10
891,0.35,4.05,-2.43,-0.04,0.16,-1.07
900,-0.14,5.01,-3.71,-0.06,0.03,-1.09
909,-1.25,4.25,-1.55,-0.12,-0.06,-1.12
918,0.75,2.63,-0.23,-0.09,-0.01,-1.09
927,-2.11,4.65,1.34,-0.05,0.12,-1.07
936,-0.74,3.68,-2.35,-0.06,0.13,-1.10
945,1.16,2.92,-4.64,-0.09,-0.05,-1.09
954,-1.24,2.69,0.36,-0.11,-0.05,-1.12
963,-1.44,4.30,2.08,-0.08,0.08,-1.09
972,0.03,4.57,-2.62,-0.03,0.16,-1.10
981,-0.89,5.10,-3.28,-0.09,0.02,-1.11
990,-0.47,4.12,-2.15,-0.12,-0.07,-1.11
999,-0.51,3.41,0.09,-0.07,-0.01,-1.08
1008,-2.55,4.81,0.70,-0.05,0.17,-1.10
1017,0.28,3.06,-3.58,-0.06,0.09,-1.09
