timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.58,4.77,-3.65,-0.08,0.03,-1.11
9,-0.73,4.68,-2.26,-0.12,-0.07,-1.11
18,-1.52,4.34,0.78,-0.08,0.01,-1.09
27,-1.17,3.35,0.86,-0.05,0.14,-1.09
36,0.35,3.34,-4.02,-0.05,0.11,-1.09
45,0.44,3.08,-3.75,-0.10,-0.05,-1.09
54,-3.28,6.15,1.22,-0.12,-0.03,-1.12
63,-0.86,3.37,0.83,-0.06,0.09,-1.09
72,-0.40,4.43,-2.26,-0.03,0.15,-1.08
81,-0.71,5.60,-3.62,-0.09,0.02,-1.10
90,-0.21,4.30,-2.49,-0.11,-0.07,-1.10
99,-1.20,3.61,2.42,-0.08,0.02,-1.09
108,-1.17,4.02,-0.55,-0.05,0.16,-1.09
117,0.20,3.10,-4.04,-0.05,0.08,-1.09
126,-0.82,3.49,-2.66,-0.10,-0.05,-1.11
135,-0.20,2.92,0.10,-0.12,-0.03,-1.10
144,-1.31,5.08,0.76,-0.05,0.09,-1.08
153,-1.86,5.85,-1.89,-0.04,0.15,-1.10
162,0.07,4.72,-4.55,-0.09,0.00,-1.10
171,-0.55,4.45,-1.36,-0.10,-0.06,-1.10
180,-1.58,4.34,1.98,-0.08,0.03,-1.10
189,-0.16,3.76,-1.42,-0.04,0.17,-1.09
198,-0.23,3.37,-3.72,-0.06,0.05,-1.10
207,-0.75,3.48,-2.23,-0.11,-0.04,-1.11
216,-0.17,3.04,0.00,-0.10,-0.04,-1.10
225,-1.57,4.44,0.96,-0.04,0.13,-1.09
234,-1.00,5.48,-1.91,-0.06,0.11,-1.08
243,0.51,4.32,-4.90,-0.09,-0.01,-1.10
252,-1.15,4.30,-0.52,-0.11,-0.08,-1.07
261,-1.92,4.40,1.73,-0.07,0.08,-1.11
270,0.49,3.79,-1.65,-0.04,0.15,-1.09
279,-0.67,3.91,-3.53,-0.07,0.05,-1.09
288,-0.80,4.18,-1.65,-0.13,-0.06,-1.11
