timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.38,4.31,-4.05,-0.07,0.04,-1.10
9,-1.76,5.84,-1.27,-0.12,-0.02,-1.12
18,0.19,2.75,0.27,-0.09,-0.05,-1.10
27,-0.85,2.65,1.25,-0.03,0.16,-1.08
36,0.39,3.27,-2.49,-0.06,0.11,-1.09
45,0.58,4.12,-4.30,-0.10,-0.02,-1.11
54,-1.58,5.12,0.98,-0.11,-0.09,-1.11
63,-2.01,3.93,1.41,-0.08,0.11,-1.12
72,1.36,3.30,-2.68,-0.02,0.14,-1.08
81,-0.45,4.67,-3.73,-0.07,0.05,-1.08
90,0.29,3.59,-1.26,-0.13,-0.06,-1.12
99,-0.01,2.41,0.40,-0.08,-0.01,-1.08
108,-1.47,2.38,1.54,-0.04,0.13,-1.08
117,0.14,3.73,-3.35,-0.06,0.11,-1.10
126,1.98,2.56,-4.91,-0.09,-0.01,-1.09
135,-1.47,4.89,1.01,-0.12,-0.10,-1.11
144,-1.04,3.96,1.49,-0.07,0.09,-1.10
153,0.33,4.26,-2.50,-0.03,0.11,-1.08
162,-1.13,5.31,-3.11,-0.07,0.04,-1.10
171,1.92,2.36,-2.27,-0.13,-0.11,-1.11
180,0.32,2.26,1.36,-0.08,0.03,-1.10
189,-2.44,3.77,1.40,-0.06,0.12,-1.09
198,-0.51,4.38,-3.86,-0.05,0.12,-1.09
207,1.44,2.10,-4.43,-0.09,-0.07,-1.07
216,-1.70,4.28,1.27,-0.12,-0.03,-1.10
225,-0.59,4.79,0.83,-0.06,0.08,-1.10
234,-1.24,4.63,-2.79,-0.03,0.15,-1.09
243,-1.42,5.06,-3.19,-0.09,0.02,-1.09
252,0.04,2.32,-2.80,-0.11,-0.06,-1.10
261,-1.83,4.66,2.31,-0.08,0.03,-1.10
270,-2.26,4.56,0.24,-0.06,0.15,-1.09
279,-0.01,4.58,-4.23,-0.06,0.09,-1.09
288,-1.74,4.57,-2.40,-0.10,-0.10,-1.07
297,-1.96,4.62,0.74,-0.11,-0.00,-1.13
306,0.32,4.13,0.13,-0.05,0.09,-1.08
315,-1.69,4.81,-1.51,-0.04,0.15,-1.08
324,-1.03,4.43,-3.26,-0.10,-0.01,-1.10
333,-0.22,2.98,-3.33,-0.09,-0.02,-1.11
342,-1.94,4.40,2.50,-0.08,0.02,-1.09
351,-1.45,4.76,-0.25,-0.05,0.19,-1.11
360,0.73,4.23,-4.37,-0.07,0.04,-1.09
369,-2.47,6.19,-2.58,-0.10,-0.04,-1.12
378,-0.92,3.60,-0.04,-0.10,-0.02,-1.10
387,-0.35,3.48,-0.02,-0.03,0.14,-1.09
396,-0.69,3.77,-1.86,-0.05,0.13,-1.09
405,-0.16,4.15,-3.92,-0.11,-0.03,-1.11
414,-0.85,3.33,-1.66,-0.10,-0.05,-1.10
423,-2.20,4.14,1.98,-0.07,0.07,-1.10
432,0.20,4.03,-2.13,-0.04,0.16,-1.10
441,0.89,4.14,-4.30,-0.07,0.03,-1.08
450,-1.62,5.76,-1.35,-0.12,-0.03,-1.12
