timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.56,4.16,-0.40,-0.04,0.15,-1.07
9,0.41,3.73,-4.89,-0.05,0.08,-1.06
18,-1.19,5.11,-1.97,-0.13,-0.07,-1.09
27,-0.30,4.71,0.27,-0.10,-0.01,-1.09
36,0.29,3.16,0.62,-0.04,0.10,-1.07
45,-1.26,4.19,-1.25,-0.05,0.14,-1.08
54,0.13,4.52,-4.40,-0.09,-0.01,-1.08
63,0.21,2.98,-0.82,-0.11,-0.08,-1.08
72,-2.61,4.95,2.98,-0.09,0.07,-1.09
81,0.38,3.87,-1.70,-0.04,0.14,-1.08
90,-0.20,4.62,-4.05,-0.07,0.05,-1.06
99,-0.84,4.48,-1.08,-0.13,-0.08,-1.11
108,0.99,2.59,-0.30,-0.09,-0.01,-1.08
117,-0.79,3.17,1.83,-0.05,0.11,-1.06
126,-0.65,3.47,-3.36,-0.07,0.13,-1.10
135,1.43,2.29,-4.98,-0.09,-0.05,-1.09
144,-2.17,4.23,0.95,-0.11,-0.06,-1.09
153,-1.10,4.76,0.95,-0.08,0.07,-1.09
162,-0.57,4.72,-2.64,-0.03,0.14,-1.07
171,-2.18,4.99,-3.10,-0.08,0.04,-1.10
180,-0.28,4.41,-3.08,-0.13,-0.08,-1.08
189,-1.71,4.50,0.60,-0.07,-0.01,-1.06
198,-2.88,4.61,1.81,-0.05,0.15,-1.10
207,0.31,3.42,-4.79,-0.06,0.12,-1.09
216,-0.53,3.87,-3.91,-0.09,-0.07,-1.07
225,-3.19,5.67,1.66,-0.12,-0.04,-1.11
234,-0.26,4.51,-0.62,-0.05,0.11,-1.09
243,-0.96,4.77,-2.20,-0.02,0.15,-1.07
252,-1.72,4.17,-3.18,-0.10,0.02,-1.10
261,-0.09,3.99,-2.93,-0.11,-0.05,-1.10
270,-2.63,5.09,1.44,-0.06,0.01,-1.06
279,-2.53,4.84,1.04,-0.05,0.18,-1.10
288,0.84,3.51,-5.50,-0.06,0.10,-1.07
297,-1.45,5.14,-3.14,-0.10,-0.04,-1.09
306,-2.84,6.41,1.73,-0.12,-0.04,-1.11
315,0.23,3.67,-0.95,-0.03,0.13,-1.08
324,-1.45,4.64,-1.54,-0.03,0.13,-1.07
333,-1.07,4.12,-3.78,-0.10,0.02,-1.10
342,0.32,3.60,-2.42,-0.10,-0.07,-1.09
351,-3.28,5.42,2.75,-0.07,0.05,-1.07
360,-0.68,4.36,-0.53,-0.04,0.17,-1.09
369,0.95,3.84,-5.26,-0.05,0.08,-1.07
378,-1.33,4.78,-1.83,-0.11,-0.05,-1.10
387,-0.79,4.97,0.69,-0.11,-0.02,-1.10
396,0.86,2.09,0.65,-0.03,0.12,-1.06
405,-1.26,4.06,-1.42,-0.04,0.14,-1.08
414,0.29,3.67,-4.23,-0.10,0.01,-1.09
423,-0.16,3.94,-0.82,-0.11,-0.09,-1.09
432,-2.28,4.85,3.10,-0.08,0.07,-1.09
441,-0.05,4.23,-1.45,-0.04,0.14,-1.07
450,-0.04,4.92,-4.23,-0.05,0.06,-1.07
459,-0.31,4.23,-2.11,-0.12,-0.09,-1.09
468,0.31,3.14,0.24,-0.10,-0.00,-1.09
477,-0.43,2.29,1.99,-0.05,0.09,-1.06
486,-1.00,3.48,-2.05,-0.05,0.15,-1.11
495,1.17,2.56,-4.73,-0.10,-0.06,-1.06
504,-0.93,3.67,0.06,-0.11,-0.05,-1.10
513,-0.39,3.86,1.91,-0.08,0.04,-1.08
522,-0.39,4.72,-2.16,-0.03,0.16,-1.08
531,-1.04,5.50,-3.71,-0.08,0.02,-1.07
540,-0.50,4.51,-2.78,-0.12,-0.07,-1.09
549,-0.12,3.10,0.58,-0.08,-0.02,-1.07
558,-1.99,3.44,1.25,-0.05,0.14,-1.07
567,-0.75,3.35,-3.11,-0.06,0.11,-1.08
576,0.28,2.94,-4.36,-0.10,-0.06,-1.09
585,-1.43,3.66,0.28,-0.11,-0.04,-1.10
594,-0.79,4.56,0.84,-0.06,0.08,-1.07
603,-0.81,4.95,-2.45,-0.03,0.15,-1.06
612,-1.83,5.13,-3.56,-0.09,0.02,-1.09
621,-0.67,4.43,-2.99,-0.11,-0.05,-1.09
630,-1.52,3.81,0.86,-0.07,0.01,-1.06
639,-2.75,4.74,1.30,-0.05,0.18,-1.10
648,0.33,3.26,-4.70,-0.06,0.09,-1.08
657,-1.25,4.26,-3.55,-0.10,-0.04,-1.08
666,-2.62,5.55,1.27,-0.12,-0.04,-1.11
676,-0.42,2.85,1.67,-0.03,0.10,-1.04
685,-1.72,4.55,-0.92,-0.04,0.14,-1.07
694,-0.22,4.53,-4.41,-0.10,0.01,-1.09
703,0.51,3.30,-1.78,-0.10,-0.09,-1.09
712,-2.98,4.79,3.45,-0.09,0.06,-1.10
721,0.24,3.93,-1.30,-0.04,0.14,-1.07
730,0.50,4.05,-4.46,-0.05,0.05,-1.07
739,-1.23,4.38,-1.02,-0.13,-0.07,-1.11
748,0.62,3.45,-0.08,-0.09,-0.01,-1.10
757,0.17,2.59,1.27,-0.04,0.10,-1.07
766,-1.32,3.95,-2.37,-0.07,0.13,-1.10
775,1.27,2.89,-5.12,-0.09,-0.06,-1.07
784,-0.09,3.68,-0.49,-0.10,-0.07,-1.07
794,-0.87,4.99,-0.08,-0.05,0.12,-1.07
803,0.17,4.14,-2.81,-0.02,0.15,-1.08
812,-1.82,5.05,-3.31,-0.09,0.03,-1.10
821,-0.76,4.33,-2.40,-0.12,-0.06,-1.10
830,0.14,2.80,0.01,-0.07,-0.01,-1.07
839,-2.60,4.75,1.39,-0.05,0.18,-1.09
848,-0.64,3.85,-3.64,-0.07,0.10,-1.09
857,0.13,3.46,-4.48,-0.09,-0.05,-1.08
866,-1.88,3.76,0.78,-0.11,-0.05,-1.08
875,-1.20,5.04,0.68,-0.05,0.12,-1.07
884,-0.25,4.26,-2.98,-0.02,0.14,-1.07
893,-2.14,4.49,-3.10,-0.10,0.02,-1.09
902,-0.58,4.20,-2.52,-0.11,-0.06,-1.10
911,-1.78,4.31,0.45,-0.06,0.03,-1.08
920,-3.14,5.36,1.08,-0.04,0.18,-1.11
929,0.33,3.71,-5.02,-0.06,0.09,-1.07
938,-0.96,5.27,-3.60,-0.10,-0.04,-1.09
947,-1.95,6.12,1.34,-0.11,-0.03,-1.10
956,0.85,2.02,0.08,-0.03,0.14,-1.07
965,-1.12,3.87,-1.33,-0.03,0.13,-1.06
974,0.17,3.07,-4.14,-0.10,0.02,-1.09
983,-0.20,4.13,-1.06,-0.11,-0.10,-1.08
992,-2.50,5.22,3.33,-0.08,0.07,-1.10
1001,-0.10,4.35,-1.25,-0.04,0.14,-1.07
1010,0.13,4.64,-4.48,-0.05,0.08,-1.07
1019,-0.16,3.99,-2.11,-0.12,-0.09,-1.09
1028,0.18,3.86,0.42,-0.10,0.01,-1.11
1037,0.11,1.97,1.77,-0.05,0.09,-1.07
1046,-1.23,3.51,-1.91,-0.05,0.15,-1.08
1055,1.16,2.30,-4.73,-0.10,-0.04,-1.08
1064,-0.78,3.91,-0.08,-0.11,-0.06,-1.09
1073,-0.47,4.00,2.04,-0.09,0.05,-1.09
1082,-0.34,4.59,-1.96,-0.03,0.15,-1.08
1091,-0.88,5.35,-3.59,-0.07,0.03,-1.07
1100,-0.39,4.21,-2.82,-0.12,-0.08,-1.09
1109,0.07,2.98,0.78,-0.09,-0.01,-1.10
1118,-1.62,3.07,1.43,-0.05,0.12,-1.06
1127,-0.82,3.45,-2.73,-0.07,0.12,-1.09
1136,0.28,2.98,-4.28,-0.10,-0.06,-1.07
1145,-1.23,3.40,0.17,-0.11,-0.04,-1.10
