timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.76,4.25,0.66,-0.05,0.13,-1.09
9,-0.48,3.83,-4.30,-0.05,0.12,-1.08
18,-1.30,3.95,-2.66,-0.11,-0.10,-1.06
27,-2.75,7.15,0.61,-0.11,0.00,-1.12
36,0.44,3.76,0.46,-0.04,0.08,-1.07
45,-1.87,4.95,-1.75,-0.04,0.17,-1.08
54,-0.32,4.00,-3.93,-0.09,-0.01,-1.07
63,-1.36,3.67,-2.39,-0.10,-0.05,-1.09
72,-1.29,3.76,2.89,-0.08,0.03,-1.08
81,-0.55,4.57,-1.02,-0.05,0.16,-1.08
90,0.00,3.94,-3.72,-0.06,0.07,-1.08
99,-3.19,6.12,-2.05,-0.12,-0.07,-1.08
108,-0.19,2.86,-0.35,-0.10,0.00,-1.08
117,-0.57,4.21,0.91,-0.04,0.10,-1.06
126,-0.90,4.03,-1.87,-0.05,0.14,-1.08
135,-0.20,5.01,-4.32,-0.10,-0.02,-1.08
144,-1.64,3.73,-0.97,-0.10,-0.04,-1.09
153,-2.25,4.45,2.23,-0.08,0.05,-1.08
162,0.69,3.45,-2.26,-0.03,0.18,-1.08
171,-0.62,4.26,-3.52,-0.07,0.04,-1.06
180,-2.14,6.17,-1.58,-0.13,-0.03,-1.11
189,0.19,2.93,-0.38,-0.08,-0.04,-1.08
198,-1.88,3.90,1.36,-0.03,0.16,-1.07
207,-0.45,3.99,-2.64,-0.06,0.10,-1.08
216,0.08,4.94,-4.25,-0.10,-0.01,-1.09
225,-0.94,4.13,1.00,-0.11,-0.10,-1.07
234,-2.21,4.47,0.90,-0.07,0.12,-1.09
243,0.70,2.81,-2.32,-0.02,0.13,-1.05
252,-1.32,4.79,-3.78,-0.08,0.05,-1.08
261,0.09,4.61,-0.86,-0.13,-0.07,-1.10
270,-0.70,4.48,-0.08,-0.07,-0.00,-1.07
279,-2.38,3.88,1.57,-0.04,0.15,-1.09
288,-0.50,4.05,-3.78,-0.06,0.12,-1.09
297,1.98,2.07,-4.69,-0.08,-0.01,-1.09
306,-2.77,6.21,2.67,-0.13,-0.09,-1.08
315,-0.48,2.99,0.81,-0.06,0.11,-1.09
324,-0.36,4.08,-2.43,-0.03,0.12,-1.06
333,-1.65,4.85,-3.37,-0.08,0.04,-1.11
342,2.83,2.57,-2.12,-0.12,-0.12,-1.08
351,-1.09,4.95,1.46,-0.07,0.05,-1.09
360,-2.20,4.52,1.44,-0.06,0.11,-1.08
369,-0.43,3.83,-4.59,-0.05,0.13,-1.08
378,2.16,0.94,-4.66,-0.09,-0.10,-1.06
387,-2.79,6.62,1.72,-0.12,-0.01,-1.10
396,0.53,3.62,1.07,-0.06,0.07,-1.07
405,-2.26,5.44,-2.04,-0.04,0.16,-1.08
414,-1.27,4.46,-3.00,-0.10,-0.01,-1.09
423,1.50,2.13,-3.11,-0.10,-0.07,-1.10
432,-0.57,3.61,2.44,-0.08,0.03,-1.09
441,-2.79,5.71,0.49,-0.05,0.17,-1.10
450,0.24,3.40,-4.41,-0.06,0.06,-1.06
459,-1.98,4.15,-2.16,-0.11,-0.09,-1.08
468,-1.17,4.35,0.21,-0.10,0.01,-1.10
477,0.28,4.37,0.33,-0.04,0.10,-1.06
486,-1.71,4.45,-1.59,-0.05,0.15,-1.08
495,-0.51,4.25,-4.01,-0.11,-0.02,-1.08
504,-0.88,3.52,-2.53,-0.09,-0.02,-1.10
513,-1.44,3.96,3.03,-0.08,0.04,-1.07
522,-0.34,4.02,-1.71,-0.03,0.19,-1.08
531,0.14,4.16,-4.08,-0.07,0.02,-1.07
540,-2.80,6.57,-2.38,-0.12,-0.02,-1.11
549,0.45,2.24,-0.11,-0.09,-0.05,-1.09
558,-0.76,4.22,0.88,-0.04,0.14,-1.08
567,-0.52,3.70,-2.06,-0.06,0.10,-1.07
576,-0.47,5.03,-4.09,-0.10,-0.01,-1.10
585,-1.09,3.27,-0.55,-0.11,-0.08,-1.09
594,-1.63,3.85,1.43,-0.07,0.09,-1.11
603,0.36,3.35,-1.78,-0.03,0.14,-1.08
612,-0.81,4.97,-3.68,-0.07,0.05,-1.09
621,-1.24,5.70,-1.67,-0.13,-0.05,-1.11
630,-0.13,2.96,-0.08,-0.08,-0.03,-1.07
639,-2.23,4.14,1.14,-0.04,0.17,-1.08
648,-0.37,3.86,-2.99,-0.05,0.11,-1.06
657,1.53,1.49,-4.44,-0.09,-0.01,-1.09
666,-2.16,6.46,1.71,-0.13,-0.09,-1.10
675,-0.04,3.39,1.13,-0.06,0.11,-1.09
684,-1.94,4.89,-1.72,-0.03,0.13,-1.05
693,-0.97,4.42,-3.68,-0.08,0.04,-1.08
702,1.96,1.92,-2.85,-0.12,-0.11,-1.07
711,-1.32,4.24,2.23,-0.08,0.05,-1.08
720,-1.88,4.95,0.70,-0.06,0.12,-1.09
729,-0.14,3.55,-4.43,-0.05,0.11,-1.09
