timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.52,0.91,-0.12,-0.10,-0.03,-1.07
9,-0.99,3.74,1.07,-0.04,0.12,-1.07
18,-0.70,3.76,-1.89,-0.06,0.11,-1.08
27,0.14,4.78,-4.07,-0.11,-0.02,-1.09
36,-0.00,3.24,-0.24,-0.10,-0.07,-1.08
45,-1.40,3.77,1.27,-0.08,0.07,-1.08
54,0.65,3.56,-1.85,-0.03,0.16,-1.07
63,-0.21,4.41,-4.14,-0.07,0.03,-1.07
72,-0.83,4.63,-1.06,-0.12,-0.04,-1.11
81,0.57,2.13,-0.25,-0.09,-0.05,-1.06
90,-2.02,3.90,0.84,-0.04,0.16,-1.08
99,-0.50,3.55,-2.90,-0.06,0.10,-1.08
108,0.79,3.32,-4.38,-0.10,-0.01,-1.09
117,-0.83,4.43,0.90,-0.11,-0.10,-1.08
126,-1.37,4.23,0.50,-0.06,0.12,-1.10
135,0.05,3.63,-2.07,-0.03,0.12,-1.07
144,-1.24,4.54,-4.13,-0.08,0.05,-1.08
153,1.50,2.59,-1.97,-0.12,-0.11,-1.08
162,-2.55,5.48,1.49,-0.07,0.03,-1.07
171,-1.32,2.95,0.56,-0.05,0.15,-1.07
180,-0.87,4.01,-4.61,-0.05,0.12,-1.08
189,0.05,3.68,-3.90,-0.10,-0.07,-1.07
198,-2.87,6.86,0.98,-0.12,-0.04,-1.09
207,-0.19,4.21,0.56,-0.05,0.10,-1.08
216,-1.97,5.04,-2.06,-0.04,0.15,-1.06
225,-1.22,4.48,-3.45,-0.09,0.01,-1.09
234,0.15,2.76,-2.91,-0.10,-0.07,-1.07
243,-1.73,4.01,1.78,-0.08,0.06,-1.07
252,-1.64,4.38,0.45,-0.05,0.14,-1.08
261,0.01,3.96,-4.52,-0.06,0.09,-1.07
270,-2.89,6.05,-2.21,-0.11,-0.06,-1.09
279,-2.14,6.10,0.22,-0.11,-0.00,-1.11
288,0.33,4.15,0.03,-0.04,0.08,-1.06
297,-2.27,5.11,-1.10,-0.05,0.15,-1.10
306,-0.94,4.59,-3.98,-0.10,0.00,-1.08
315,-1.18,4.27,-2.05,-0.09,-0.04,-1.09
324,-0.99,2.39,2.84,-0.09,0.02,-1.08
333,-0.88,5.05,-0.90,-0.04,0.18,-1.09
342,0.58,3.72,-4.36,-0.06,0.05,-1.06
351,-2.70,6.31,-1.92,-0.12,-0.02,-1.11
360,0.37,2.95,-0.18,-0.10,-0.04,-1.08
369,-0.42,3.85,-0.12,-0.03,0.14,-1.07
378,-1.29,4.42,-1.04,-0.06,0.12,-1.09
387,0.17,4.91,-4.55,-0.10,-0.01,-1.10
