timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.08,0.46,-0.22,-0.08,-0.01,-1.08
9,-1.72,3.99,1.53,-0.05,0.14,-1.09
18,-0.51,3.44,-2.43,-0.06,0.10,-1.09
27,1.85,2.39,-5.43,-0.09,-0.04,-1.07
36,0.05,2.53,0.09,-0.11,-0.06,-1.07
45,-1.34,4.46,1.49,-0.07,0.08,-1.09
54,0.18,3.69,-2.21,-0.03,0.14,-1.05
63,-0.94,4.87,-3.67,-0.08,0.03,-1.08
72,0.95,2.65,-2.10,-0.12,-0.10,-1.08
81,-0.87,3.43,0.29,-0.07,0.02,-1.07
90,-2.55,4.41,0.88,-0.05,0.16,-1.09
99,-0.45,3.87,-3.83,-0.06,0.10,-1.10
108,-0.32,3.48,-3.77,-0.10,-0.08,-1.08
117,-1.84,4.33,0.31,-0.11,-0.03,-1.11
126,-1.86,5.90,0.28,-0.04,0.11,-1.09
135,-1.00,4.43,-2.29,-0.03,0.14,-1.08
144,-1.84,4.76,-3.50,-0.09,0.02,-1.10
153,-0.34,3.77,-2.74,-0.11,-0.05,-1.09
162,-3.07,5.81,1.31,-0.07,0.05,-1.09
171,-2.49,4.36,0.66,-0.05,0.16,-1.10
180,-0.44,4.23,-4.77,-0.06,0.09,-1.08
189,-2.10,5.15,-2.42,-0.10,-0.05,-1.08
198,-3.80,7.71,1.18,-0.11,-0.00,-1.12
207,0.15,4.12,-0.45,-0.03,0.10,-1.07
216,-2.39,5.26,-1.44,-0.04,0.15,-1.09
225,-1.19,4.47,-3.71,-0.10,-0.00,-1.09
234,-0.85,3.91,-0.98,-0.09,-0.04,-1.09
243,-1.85,3.43,2.62,-0.08,0.04,-1.08
252,0.75,3.61,-2.17,-0.04,0.18,-1.10
261,0.19,3.72,-4.08,-0.06,0.05,-1.07
270,-2.23,5.76,-0.85,-0.12,-0.02,-1.10
279,1.29,1.87,-0.67,-0.10,-0.04,-1.07
288,-2.00,4.50,1.17,-0.03,0.14,-1.07
297,-0.71,4.06,-2.36,-0.06,0.12,-1.10
306,0.76,4.35,-4.91,-0.10,-0.01,-1.11
315,-0.44,3.49,0.80,-0.11,-0.09,-1.08
324,-1.97,4.18,1.84,-0.08,0.09,-1.10
333,1.11,2.95,-2.41,-0.02,0.15,-1.07
342,-0.99,4.11,-3.54,-0.06,0.05,-1.07
351,0.74,3.47,-1.33,-0.14,-0.06,-1.11
360,0.85,2.27,-0.51,-0.08,-0.03,-1.06
369,-2.65,4.51,1.64,-0.04,0.15,-1.08
378,-0.39,3.84,-3.38,-0.06,0.11,-1.07
387,2.26,2.48,-5.79,-0.08,-0.00,-1.07
396,-1.14,3.70,0.83,-0.12,-0.10,-1.09
405,-1.97,5.12,1.05,-0.08,0.10,-1.10
414,0.43,3.33,-2.62,-0.02,0.13,-1.06
423,-1.96,4.77,-3.37,-0.08,0.05,-1.09
432,1.67,2.54,-1.82,-0.14,-0.12,-1.09
441,-1.55,5.08,0.38,-0.07,0.02,-1.07
450,-2.39,4.13,1.30,-0.05,0.15,-1.08
459,-0.74,4.30,-4.62,-0.06,0.12,-1.09
468,1.74,2.02,-5.09,-0.09,-0.06,-1.05
477,-3.45,6.25,1.77,-0.12,-0.05,-1.08
486,-1.07,5.03,0.47,-0.06,0.11,-1.09
495,-0.87,4.46,-2.73,-0.02,0.13,-1.08
504,-2.05,4.87,-3.13,-0.08,0.04,-1.10
513,0.16,3.32,-2.75,-0.12,-0.09,-1.09
522,-3.03,6.28,1.53,-0.06,0.05,-1.08
531,-2.51,4.55,1.14,-0.05,0.15,-1.08
540,-0.61,4.55,-4.95,-0.06,0.11,-1.09
549,-1.76,5.28,-2.66,-0.10,-0.08,-1.09
558,-4.63,8.26,1.80,-0.11,-0.00,-1.09
567,-0.12,4.14,-0.48,-0.04,0.12,-1.07
576,-2.19,5.14,-1.85,-0.04,0.15,-1.07
585,-1.33,4.25,-3.52,-0.10,0.00,-1.10
594,-0.89,4.31,-2.72,-0.10,-0.03,-1.09
603,-2.19,4.90,2.71,-0.07,0.05,-1.08
612,-1.23,4.68,-0.31,-0.04,0.16,-1.10
621,0.17,4.10,-4.56,-0.06,0.08,-1.09
630,-1.73,5.97,-2.58,-0.11,-0.03,-1.11
639,-1.12,6.02,0.60,-0.11,-0.02,-1.10
648,0.60,2.62,0.54,-0.03,0.11,-1.07
657,-1.61,4.36,-1.45,-0.05,0.15,-1.09
666,-0.28,4.31,-3.84,-0.10,-0.02,-1.09
675,-0.47,4.27,-0.82,-0.10,-0.07,-1.09
684,-1.30,3.11,3.27,-0.09,0.04,-1.10
693,0.25,4.41,-1.42,-0.04,0.16,-1.08
702,0.62,3.96,-4.21,-0.06,0.04,-1.06
711,-1.41,4.83,-1.36,-0.12,-0.04,-1.11
720,1.96,1.08,0.07,-0.09,-0.04,-1.09
729,-0.88,3.67,1.48,-0.04,0.12,-1.08
738,-0.59,3.53,-1.94,-0.06,0.12,-1.08
747,0.71,3.98,-4.36,-0.09,-0.01,-1.09
756,-0.05,2.97,0.46,-0.11,-0.10,-1.07
765,-1.77,3.97,1.75,-0.08,0.10,-1.09
774,1.04,3.10,-2.43,-0.02,0.14,-1.06
783,-0.65,4.40,-3.51,-0.07,0.04,-1.09
792,0.50,3.69,-1.39,-0.13,-0.10,-1.08
801,0.46,2.72,-0.33,-0.07,0.01,-1.07
810,-2.41,4.34,1.71,-0.05,0.14,-1.08
819,-0.03,3.51,-3.67,-0.05,0.12,-1.08
828,2.19,1.93,-5.60,-0.09,-0.05,-1.07
837,-1.85,4.31,1.25,-0.12,-0.06,-1.10
846,-1.27,4.83,0.77,-0.07,0.10,-1.09
855,0.20,3.67,-2.45,-0.02,0.13,-1.06
864,-1.88,4.87,-3.27,-0.08,0.04,-1.09
873,1.80,2.27,-2.46,-0.12,-0.10,-1.08
882,-1.64,5.22,0.96,-0.07,0.03,-1.09
891,-2.37,4.10,1.68,-0.06,0.14,-1.09
900,-0.14,3.99,-4.88,-0.05,0.11,-1.08
909,1.09,1.91,-4.57,-0.10,-0.11,-1.07
918,-3.67,6.58,1.91,-0.12,0.01,-1.11
927,-0.04,4.43,0.09,-0.05,0.09,-1.08
936,-1.63,4.88,-2.01,-0.03,0.16,-1.07
945,-2.10,4.78,-2.94,-0.10,0.01,-1.09
954,0.96,3.01,-3.41,-0.10,-0.05,-1.09
963,-2.33,5.66,2.32,-0.08,0.03,-1.07
972,-2.17,4.70,1.54,-0.06,0.15,-1.10
981,0.01,4.15,-4.98,-0.06,0.08,-1.08
990,-1.81,3.78,-2.33,-0.10,-0.07,-1.08
999,-3.67,7.00,1.37,-0.12,0.00,-1.12
1008,1.05,3.40,-0.13,-0.04,0.08,-1.07
1017,-2.69,5.54,-1.44,-0.05,0.16,-1.08
1026,-1.27,4.48,-3.12,-0.11,-0.02,-1.10
1035,-0.53,3.85,-1.19,-0.09,-0.03,-1.10
1044,-1.62,3.27,3.06,-0.08,0.03,-1.06
1053,0.57,3.80,-2.11,-0.04,0.19,-1.09
1062,1.06,3.37,-4.20,-0.06,0.04,-1.08
1071,-2.08,5.19,-0.87,-0.12,-0.02,-1.12
1080,1.99,0.57,0.01,-0.10,-0.04,-1.09
1089,-1.20,3.91,1.30,-0.04,0.12,-1.07
1098,-0.34,3.47,-2.12,-0.06,0.13,-1.09
