timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.10,4.07,-3.66,-0.06,0.06,-1.07
9,-0.24,4.14,-3.04,-0.12,-0.04,-1.09
18,0.45,1.96,0.51,-0.11,-0.05,-1.07
27,-2.14,4.73,1.73,-0.06,0.11,-1.08
36,-0.11,2.88,-2.85,-0.04,0.13,-1.08
45,-0.61,5.16,-4.28,-0.08,0.01,-1.08
54,-0.33,3.28,-0.82,-0.12,-0.08,-1.09
63,-1.31,4.40,1.36,-0.09,0.05,-1.10
72,-1.09,4.69,-1.06,-0.04,0.14,-1.08
81,-1.02,4.46,-4.18,-0.06,0.06,-1.08
90,0.27,3.14,-2.35,-0.11,-0.05,-1.09
99,0.34,1.75,-0.02,-0.09,-0.03,-1.08
108,-2.17,5.06,1.18,-0.06,0.13,-1.08
117,-1.77,5.39,-2.53,-0.06,0.11,-1.08
126,-0.41,4.83,-4.07,-0.09,-0.01,-1.09
135,-0.08,3.02,-1.04,-0.10,-0.08,-1.07
144,-1.78,4.71,1.32,-0.07,0.09,-1.10
153,-1.11,5.04,-1.41,-0.05,0.14,-1.08
162,-1.35,3.67,-3.93,-0.07,0.06,-1.08
171,-0.37,3.62,-1.32,-0.12,-0.09,-1.07
180,-1.55,3.98,0.23,-0.07,0.03,-1.09
189,-1.42,4.76,0.48,-0.05,0.14,-1.09
198,-1.59,5.19,-3.22,-0.06,0.12,-1.09
207,-0.43,4.73,-3.44,-0.11,-0.07,-1.09
216,-1.62,4.93,-0.31,-0.10,-0.04,-1.09
225,-1.09,4.38,0.64,-0.05,0.11,-1.07
234,-0.96,4.64,-1.70,-0.04,0.15,-1.07
243,-0.37,2.98,-3.81,-0.09,0.02,-1.08
252,-1.47,4.30,-1.26,-0.12,-0.08,-1.10
261,-2.44,5.68,0.84,-0.07,0.05,-1.09
270,-0.42,3.63,0.07,-0.03,0.14,-1.07
279,-0.34,4.26,-3.74,-0.06,0.11,-1.08
288,-0.78,5.25,-2.97,-0.12,-0.08,-1.09
297,-3.11,7.37,0.84,-0.10,-0.01,-1.10
306,0.09,2.84,0.76,-0.04,0.07,-1.07
315,-0.31,3.58,-1.68,-0.03,0.17,-1.08
324,0.41,3.13,-3.92,-0.09,-0.01,-1.08
333,-1.66,4.78,-1.13,-0.13,-0.06,-1.11
342,-1.80,4.84,2.63,-0.09,0.01,-1.08
351,0.11,3.35,-1.19,-0.03,0.16,-1.07
360,0.11,3.90,-3.82,-0.05,0.07,-1.06
369,-0.30,4.53,-2.81,-0.12,-0.05,-1.09
378,-1.01,5.51,0.49,-0.11,-0.04,-1.11
387,-0.74,2.72,1.99,-0.06,0.09,-1.06
396,-0.03,2.74,-2.37,-0.04,0.15,-1.07
405,0.75,3.62,-4.73,-0.08,-0.00,-1.08
414,-1.45,4.95,-0.59,-0.12,-0.05,-1.11
423,-0.62,3.72,2.03,-0.09,0.02,-1.08
432,-0.75,4.28,-1.23,-0.03,0.16,-1.07
