timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.73,4.23,-4.69,-0.09,-0.02,-1.07
9,-0.29,2.71,-0.03,-0.11,-0.08,-1.07
18,-1.79,4.53,2.11,-0.09,0.08,-1.10
27,0.45,3.71,-2.22,-0.03,0.14,-1.07
36,-1.07,5.47,-3.51,-0.07,0.05,-1.08
45,0.28,4.06,-1.47,-0.13,-0.09,-1.10
54,0.76,2.59,-0.60,-0.07,0.00,-1.07
63,-2.09,3.69,1.98,-0.05,0.13,-1.08
72,-0.94,3.34,-2.71,-0.06,0.13,-1.09
81,1.57,2.82,-4.80,-0.09,-0.07,-1.08
90,-1.49,3.37,1.01,-0.12,-0.05,-1.09
99,-1.70,4.99,1.78,-0.07,0.09,-1.09
108,0.08,4.53,-2.59,-0.02,0.14,-1.05
117,-2.09,5.40,-3.12,-0.09,0.04,-1.09
126,-0.01,4.29,-3.46,-0.12,-0.07,-1.10
135,-2.18,4.70,1.65,-0.07,0.01,-1.08
144,-2.76,4.70,1.21,-0.05,0.16,-1.10
153,0.86,3.20,-5.08,-0.06,0.11,-1.08
162,-1.29,4.19,-3.12,-0.10,-0.07,-1.07
171,-3.03,6.65,1.49,-0.13,-0.02,-1.12
180,1.03,3.19,-0.93,-0.04,0.09,-1.08
189,-1.79,5.20,-1.14,-0.02,0.15,-1.06
198,-1.09,4.15,-3.55,-0.10,0.01,-1.10
207,0.51,3.64,-3.40,-0.10,-0.04,-1.10
216,-2.95,5.20,3.34,-0.07,0.02,-1.08
225,-1.02,4.29,-0.26,-0.05,0.18,-1.10
234,1.05,3.72,-5.13,-0.05,0.08,-1.08
243,-1.93,5.00,-2.10,-0.10,-0.03,-1.10
252,-0.75,4.95,0.70,-0.12,-0.02,-1.11
261,0.96,2.33,0.13,-0.03,0.12,-1.08
270,-1.66,4.34,-1.00,-0.04,0.14,-1.08
279,-0.35,4.52,-4.05,-0.10,0.01,-1.10
288,0.62,3.45,-1.57,-0.10,-0.08,-1.07
297,-2.50,4.76,3.15,-0.08,0.06,-1.10
306,0.04,4.04,-1.27,-0.05,0.15,-1.08
315,0.57,4.52,-4.54,-0.05,0.06,-1.06
324,-0.63,3.99,-1.36,-0.12,-0.07,-1.11
333,0.59,2.83,0.23,-0.11,-0.01,-1.11
342,0.30,2.19,1.28,-0.04,0.10,-1.08
