timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.47,4.65,-0.45,-0.03,0.11,-1.09
9,-1.64,4.68,-1.74,-0.04,0.14,-1.08
18,-1.48,4.25,-3.62,-0.10,0.01,-1.09
27,-0.85,4.26,-2.31,-0.10,-0.05,-1.09
36,-2.22,4.58,1.66,-0.08,0.03,-1.10
45,-2.08,5.05,-0.06,-0.04,0.17,-1.09
54,0.27,4.10,-4.95,-0.06,0.07,-1.09
63,-2.06,6.45,-2.60,-0.11,-0.04,-1.11
72,-1.57,6.17,0.85,-0.10,-0.03,-1.08
81,0.08,3.02,-0.28,-0.03,0.13,-1.08
90,-2.01,4.61,-0.87,-0.06,0.13,-1.09
99,-0.48,4.34,-4.11,-0.10,-0.02,-1.10
108,-0.85,4.12,-1.43,-0.10,-0.07,-1.09
117,-1.93,4.68,1.82,-0.08,0.07,-1.09
126,0.40,4.14,-1.91,-0.03,0.16,-1.08
135,0.04,4.29,-4.20,-0.06,0.05,-1.06
144,-2.21,5.66,-1.01,-0.13,-0.05,-1.11
153,0.91,2.57,-0.45,-0.09,-0.03,-1.07
162,-1.48,3.93,0.95,-0.04,0.15,-1.07
171,-1.02,4.22,-2.16,-0.06,0.13,-1.08
180,2.45,1.91,-5.44,-0.09,-0.01,-1.08
189,-1.91,4.44,1.05,-0.12,-0.09,-1.08
198,-0.55,4.21,0.48,-0.08,0.11,-1.10
207,0.19,3.35,-2.42,-0.02,0.13,-1.06
216,-1.77,4.53,-3.13,-0.07,0.05,-1.08
225,1.62,2.27,-2.61,-0.13,-0.11,-1.10
234,-1.57,5.26,1.29,-0.07,0.01,-1.08
243,-2.21,4.27,1.46,-0.06,0.12,-1.09
252,-0.31,4.12,-4.78,-0.05,0.12,-1.09
261,0.53,2.42,-4.13,-0.08,-0.07,-1.07
270,-3.25,6.14,1.81,-0.12,-0.03,-1.09
279,0.51,3.58,0.28,-0.06,0.10,-1.11
288,-1.71,4.79,-2.12,-0.02,0.13,-1.06
297,-2.32,4.79,-2.83,-0.09,0.03,-1.09
306,0.91,2.96,-3.55,-0.11,-0.10,-1.09
315,-1.90,4.86,1.94,-0.07,0.04,-1.07
324,-2.46,5.21,1.12,-0.06,0.13,-1.08
333,0.38,4.01,-5.29,-0.06,0.11,-1.09
342,-2.31,4.41,-1.91,-0.09,-0.11,-1.06
351,-3.16,6.22,1.26,-0.12,0.02,-1.12
360,1.28,3.61,-0.30,-0.05,0.08,-1.06
369,-2.72,5.55,-1.69,-0.04,0.16,-1.09
378,-1.54,4.64,-3.08,-0.11,-0.00,-1.09
387,0.06,3.73,-3.41,-0.09,-0.03,-1.10
396,-0.72,2.91,2.18,-0.07,0.04,-1.08
405,-2.65,6.02,-0.14,-0.06,0.17,-1.10
414,1.05,3.78,-4.78,-0.06,0.06,-1.08
423,-2.39,6.15,-2.04,-0.10,-0.04,-1.09
432,-0.79,4.69,0.87,-0.11,-0.01,-1.11
441,0.27,3.18,-0.40,-0.03,0.11,-1.06
450,-1.90,4.36,-0.77,-0.05,0.14,-1.09
459,-0.57,4.59,-3.68,-0.11,-0.02,-1.08
468,-0.09,3.86,-1.30,-0.10,-0.06,-1.09
477,-2.44,3.92,3.77,-0.09,0.03,-1.08
486,0.46,3.77,-1.95,-0.04,0.18,-1.09
495,0.63,3.90,-4.44,-0.06,0.05,-1.07
504,-0.95,3.85,-1.19,-0.12,-0.05,-1.09
514,0.61,2.22,0.00,-0.07,-0.00,-1.07
523,-2.08,4.27,1.45,-0.05,0.13,-1.06
532,-0.99,4.08,-3.04,-0.07,0.10,-1.08
541,1.34,2.91,-4.96,-0.10,-0.07,-1.06
550,-0.91,2.75,0.04,-0.11,-0.04,-1.08
559,-1.41,5.01,1.23,-0.07,0.09,-1.08
568,0.16,3.82,-2.66,-0.03,0.13,-1.05
577,-1.94,4.56,-3.30,-0.08,0.03,-1.08
586,-0.45,3.30,-2.31,-0.12,-0.08,-1.09
595,-2.44,4.98,1.01,-0.07,0.03,-1.09
604,-2.02,4.49,0.67,-0.05,0.16,-1.09
613,-0.38,4.33,-4.76,-0.06,0.10,-1.08
622,-1.11,4.41,-3.19,-0.10,-0.09,-1.08
631,-3.17,6.25,1.16,-0.11,-0.01,-1.10
640,-0.18,4.46,0.13,-0.04,0.10,-1.08
649,-1.87,5.09,-2.07,-0.04,0.15,-1.06
658,-1.68,4.32,-3.18,-0.10,0.01,-1.10
668,-0.69,3.96,-1.72,-0.10,-0.06,-1.08
677,-2.15,3.84,3.30,-0.08,0.03,-1.09
686,0.10,4.33,-1.65,-0.04,0.17,-1.07
695,-0.13,4.13,-4.05,-0.06,0.06,-1.07
704,-2.18,5.40,-1.11,-0.12,-0.04,-1.11
713,1.27,2.63,-0.38,-0.09,-0.04,-1.07
722,-1.07,3.51,0.68,-0.03,0.15,-1.07
731,-1.14,4.19,-1.58,-0.06,0.12,-1.09
740,0.57,4.34,-4.68,-0.09,-0.00,-1.09
749,-0.64,3.77,0.39,-0.11,-0.10,-1.08
758,-3.05,5.25,2.69,-0.08,0.11,-1.09
767,1.96,2.24,-2.88,-0.02,0.13,-1.07
776,-0.45,4.07,-3.60,-0.07,0.05,-1.08
785,-0.23,4.05,-1.09,-0.14,-0.09,-1.09
794,0.83,2.69,-0.60,-0.07,-0.01,-1.07
803,-2.15,3.86,1.84,-0.05,0.13,-1.07
812,-0.13,3.62,-3.18,-0.06,0.12,-1.08
821,1.89,3.15,-5.37,-0.08,-0.02,-1.07
830,-1.67,4.38,1.54,-0.13,-0.08,-1.09
839,-1.88,5.15,0.95,-0.07,0.12,-1.10
848,1.42,2.14,-2.79,-0.02,0.12,-1.07
857,-1.87,4.44,-3.30,-0.08,0.04,-1.09
866,1.55,2.91,-1.78,-0.13,-0.11,-1.09
875,-0.81,4.92,0.18,-0.07,0.03,-1.08
884,-2.64,3.79,1.81,-0.06,0.12,-1.08
893,-1.01,4.40,-4.15,-0.05,0.12,-1.09
902,2.62,1.92,-5.75,-0.09,-0.11,-1.06
911,-3.51,6.10,2.18,-0.12,-0.00,-1.12
920,-0.22,3.50,0.66,-0.06,0.09,-1.08
929,-0.47,4.09,-2.72,-0.03,0.15,-1.06
938,-2.64,5.07,-2.68,-0.10,0.02,-1.08
947,0.48,3.16,-2.90,-0.10,-0.05,-1.09
956,-2.26,5.58,1.57,-0.07,0.05,-1.08
965,-2.76,6.28,0.11,-0.06,0.15,-1.09
974,1.02,3.55,-4.70,-0.06,0.09,-1.09
983,-2.42,5.99,-2.13,-0.10,-0.07,-1.08
992,-0.95,4.71,0.71,-0.11,0.01,-1.10
1001,0.48,3.33,-0.38,-0.04,0.07,-1.06
1010,-2.29,4.89,-0.59,-0.05,0.16,-1.09
1019,-0.62,4.58,-3.61,-0.11,-0.01,-1.11
1028,0.17,3.85,-1.44,-0.10,-0.04,-1.09
