timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.33,8.59,2.00,-0.11,-0.00,-1.10
9,1.20,1.69,1.18,-0.04,0.09,-1.07
18,-0.14,2.69,-2.11,-0.03,0.17,-1.08
27,0.01,2.57,-4.06,-0.10,-0.02,-1.08
36,-0.42,3.42,-1.12,-0.12,-0.05,-1.09
45,-0.90,4.13,3.10,-0.09,0.02,-1.09
54,-0.26,4.74,-1.11,-0.04,0.17,-1.08
63,-0.00,5.05,-4.19,-0.06,0.04,-1.07
72,-0.50,4.39,-2.89,-0.11,-0.07,-1.10
81,0.90,1.96,0.57,-0.10,-0.03,-1.07
90,-0.53,3.02,1.77,-0.05,0.12,-1.06
99,0.24,2.72,-2.47,-0.06,0.12,-1.07
108,0.63,3.78,-4.32,-0.09,-0.03,-1.08
117,-0.38,3.00,-0.28,-0.11,-0.06,-1.08
126,-0.51,3.61,2.10,-0.09,0.06,-1.09
135,-0.04,4.05,-2.02,-0.03,0.14,-1.07
144,-0.55,4.88,-3.64,-0.07,0.03,-1.08
153,-0.34,4.09,-2.04,-0.12,-0.07,-1.10
162,1.14,0.76,-0.16,-0.08,-0.02,-1.07
171,-2.80,4.78,1.40,-0.05,0.17,-1.09
180,-0.87,3.85,-2.71,-0.07,0.10,-1.08
189,0.39,4.42,-4.67,-0.09,-0.03,-1.08
198,-0.40,2.08,-0.14,-0.11,-0.06,-1.08
207,-1.81,4.88,1.16,-0.07,0.12,-1.09
216,-0.66,4.31,-2.12,-0.03,0.13,-1.08
225,-1.98,4.39,-3.60,-0.08,0.05,-1.11
234,-0.08,3.57,-1.87,-0.12,-0.08,-1.10
243,-1.32,3.88,-0.22,-0.06,0.02,-1.07
252,-2.79,4.89,0.99,-0.05,0.16,-1.09
261,-0.17,4.67,-4.92,-0.06,0.12,-1.09
270,-0.62,4.58,-3.48,-0.09,-0.06,-1.07
279,-4.68,8.97,2.65,-0.10,-0.05,-1.10
288,1.20,2.76,-0.33,-0.04,0.13,-1.08
297,-1.23,3.78,-1.81,-0.03,0.14,-1.07
306,-1.22,2.94,-3.09,-0.10,0.02,-1.10
315,0.30,3.41,-1.95,-0.12,-0.08,-1.09
324,-2.05,5.84,2.31,-0.06,0.06,-1.07
333,-1.04,4.59,0.03,-0.04,0.16,-1.08
342,0.57,4.78,-5.01,-0.06,0.10,-1.09
351,-0.66,4.48,-3.02,-0.11,-0.09,-1.08
360,-3.28,8.17,2.03,-0.11,-0.01,-1.10
369,1.87,1.66,0.71,-0.03,0.11,-1.07
378,-0.06,2.28,-2.10,-0.03,0.17,-1.08
387,-0.44,3.40,-3.47,-0.11,-0.01,-1.09
396,0.04,3.29,-1.84,-0.12,-0.07,-1.10
405,-1.28,4.40,3.51,-0.07,0.05,-1.08
414,-0.26,4.40,-0.77,-0.04,0.16,-1.09
423,0.88,5.22,-4.72,-0.06,0.06,-1.08
432,-0.72,4.11,-2.66,-0.11,-0.08,-1.08
441,-0.53,3.94,0.79,-0.11,-0.01,-1.10
450,0.66,2.19,1.37,-0.04,0.09,-1.07
459,0.19,2.00,-2.54,-0.04,0.15,-1.08
468,0.07,3.85,-3.79,-0.11,-0.03,-1.08
477,0.39,3.30,-1.40,-0.11,-0.06,-1.09
486,-0.13,3.01,2.84,-0.08,0.03,-1.08
495,-0.54,4.71,-1.12,-0.04,0.16,-1.09
504,0.51,5.45,-4.49,-0.06,0.03,-1.07
513,-0.87,4.16,-2.05,-0.11,-0.07,-1.07
522,1.05,-0.02,1.01,-0.11,-0.03,-1.10
531,-1.05,3.73,1.25,-0.05,0.12,-1.06
540,-0.99,3.55,-1.85,-0.06,0.11,-1.07
549,-0.46,4.77,-4.14,-0.10,-0.02,-1.06
558,0.24,2.31,-0.70,-0.10,-0.06,-1.07
567,-1.28,4.35,1.73,-0.08,0.06,-1.08
576,-0.80,4.52,-1.80,-0.04,0.15,-1.07
585,-1.24,5.20,-4.06,-0.07,0.03,-1.08
594,-0.13,3.38,-1.87,-0.12,-0.08,-1.09
603,-1.14,2.82,0.44,-0.08,-0.02,-1.08
612,-2.32,4.71,0.73,-0.05,0.17,-1.09
621,-1.03,4.21,-3.75,-0.06,0.10,-1.08
630,-0.63,4.81,-3.92,-0.10,-0.03,-1.09
639,-0.68,3.48,-0.52,-0.11,-0.06,-1.07
648,-1.66,5.43,0.40,-0.05,0.13,-1.10
657,-1.23,4.83,-2.04,-0.03,0.13,-1.07
666,-1.75,3.81,-3.83,-0.09,0.05,-1.11
675,0.23,3.45,-2.00,-0.11,-0.08,-1.09
684,-3.19,6.00,0.88,-0.07,0.04,-1.08
693,-1.97,4.68,0.98,-0.04,0.16,-1.08
702,-0.53,4.36,-4.89,-0.06,0.12,-1.09
711,-0.92,4.67,-3.30,-0.11,-0.06,-1.09
