timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.64,6.93,2.64,-0.13,-0.05,-1.12
9,0.62,2.93,1.33,-0.04,0.10,-1.06
18,-0.18,3.72,-2.77,-0.02,0.19,-1.07
27,-0.37,4.55,-4.81,-0.10,-0.02,-1.10
36,-0.28,3.95,-2.28,-0.12,-0.10,-1.10
45,-0.57,2.82,2.77,-0.08,0.02,-1.08
54,-0.94,4.13,-0.60,-0.02,0.22,-1.08
63,1.31,3.51,-5.53,-0.05,0.05,-1.07
72,-0.97,3.90,-3.26,-0.12,-0.08,-1.10
81,0.45,1.65,1.25,-0.12,-0.05,-1.11
90,-1.48,4.01,1.47,-0.04,0.17,-1.07
99,-1.28,6.02,-2.76,-0.04,0.15,-1.08
108,-0.34,5.17,-5.23,-0.09,-0.02,-1.10
117,-0.37,2.96,-0.41,-0.12,-0.12,-1.09
126,-1.64,4.79,2.25,-0.08,0.08,-1.09
135,-0.32,3.81,-1.85,-0.03,0.19,-1.08
144,-0.59,3.65,-4.70,-0.07,0.06,-1.09
153,0.24,2.26,-2.61,-0.12,-0.11,-1.09
162,-1.06,3.41,1.22,-0.10,-0.03,-1.09
171,-2.02,5.52,1.41,-0.04,0.18,-1.10
180,-0.91,5.34,-4.10,-0.06,0.12,-1.08
189,-0.75,5.36,-4.24,-0.10,-0.05,-1.08
198,-0.95,3.00,-0.31,-0.11,-0.11,-1.08
207,-1.14,3.40,1.79,-0.05,0.13,-1.10
216,-0.76,4.42,-1.33,-0.04,0.15,-1.08
225,-0.60,3.40,-4.68,-0.09,0.06,-1.12
234,-0.67,3.69,-2.22,-0.12,-0.14,-1.09
243,-2.82,5.13,2.50,-0.07,0.02,-1.08
252,-0.14,4.40,0.76,-0.03,0.19,-1.06
261,0.11,4.56,-5.36,-0.05,0.15,-1.10
270,-0.83,5.02,-3.48,-0.12,-0.12,-1.10
279,-2.91,5.53,1.53,-0.11,-0.06,-1.10
288,-0.01,3.24,1.62,-0.03,0.15,-1.09
297,-1.22,4.17,-2.21,-0.02,0.20,-1.08
306,-0.34,3.64,-4.67,-0.11,0.00,-1.09
315,-1.00,4.31,-2.18,-0.14,-0.12,-1.10
324,-1.37,3.72,2.63,-0.07,0.06,-1.10
333,-1.33,4.32,-0.10,-0.02,0.19,-1.08
342,1.39,3.26,-5.56,-0.04,0.12,-1.08
351,-1.19,4.70,-3.33,-0.13,-0.12,-1.10
360,-2.51,5.95,2.19,-0.12,-0.05,-1.11
369,-0.23,3.30,1.53,-0.03,0.10,-1.07
