timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.02,4.25,-4.52,-0.07,0.06,-1.08
9,0.68,2.46,-2.50,-0.12,-0.11,-1.09
18,-0.88,2.83,1.29,-0.08,-0.03,-1.08
27,-1.13,4.71,1.24,-0.04,0.18,-1.08
36,-0.70,4.76,-4.18,-0.06,0.13,-1.07
45,-0.48,4.86,-3.90,-0.11,-0.07,-1.08
54,-0.62,3.82,-0.31,-0.11,-0.10,-1.08
63,-0.82,4.13,1.67,-0.05,0.12,-1.06
72,-1.21,4.80,-1.40,-0.03,0.16,-1.07
81,-0.55,3.56,-4.51,-0.09,0.05,-1.09
90,0.19,2.49,-2.67,-0.12,-0.13,-1.07
99,-2.00,3.93,2.11,-0.07,0.03,-1.07
108,-0.67,3.89,0.70,-0.03,0.19,-1.09
117,0.37,3.98,-5.11,-0.05,0.13,-1.10
126,-0.98,5.13,-3.39,-0.13,-0.10,-1.11
135,-2.50,6.33,1.33,-0.12,-0.07,-1.08
144,0.04,4.19,1.25,-0.02,0.13,-1.05
153,-1.53,4.59,-1.73,-0.03,0.19,-1.09
162,0.21,3.27,-5.06,-0.11,0.01,-1.09
171,-0.61,3.98,-1.84,-0.13,-0.12,-1.08
180,-1.57,3.60,2.99,-0.08,0.06,-1.08
189,-0.67,3.54,-0.07,-0.02,0.19,-1.06
198,1.04,3.28,-5.64,-0.04,0.11,-1.07
207,-1.44,5.09,-2.89,-0.13,-0.10,-1.09
216,-1.84,5.96,1.38,-0.12,-0.05,-1.10
225,-0.69,3.78,1.63,-0.03,0.10,-1.04
234,-0.64,3.71,-1.51,-0.03,0.20,-1.08
243,0.57,3.83,-5.55,-0.10,-0.03,-1.08
252,-1.20,4.35,-1.58,-0.12,-0.10,-1.08
261,-2.10,4.06,4.76,-0.09,0.01,-1.08
270,0.14,3.22,-1.24,-0.02,0.21,-1.06
279,0.50,3.89,-4.85,-0.05,0.07,-1.07
288,-0.89,4.41,-3.01,-0.13,-0.08,-1.09
297,0.20,2.48,1.07,-0.11,-0.06,-1.10
306,-1.68,4.17,1.82,-0.04,0.16,-1.08
