timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.26,7.30,2.45,-0.12,-0.06,-1.10
9,-1.21,3.63,1.93,-0.03,0.10,-1.07
18,-0.27,3.06,-2.12,-0.02,0.20,-1.07
27,0.38,3.27,-5.24,-0.10,-0.02,-1.08
36,-1.12,4.21,-1.33,-0.14,-0.10,-1.10
45,-2.94,5.04,5.18,-0.09,0.00,-1.08
54,-0.30,3.14,-0.51,-0.02,0.22,-1.07
63,0.51,4.05,-5.20,-0.04,0.10,-1.07
72,-1.01,5.03,-3.38,-0.13,-0.10,-1.10
81,-0.69,4.18,1.29,-0.12,-0.05,-1.09
90,-0.91,3.38,2.12,-0.04,0.14,-1.07
99,-0.23,3.31,-2.60,-0.03,0.20,-1.09
108,0.89,3.80,-6.11,-0.09,-0.03,-1.09
117,-1.33,4.20,-0.67,-0.13,-0.10,-1.10
126,-1.43,4.17,3.24,-0.10,0.05,-1.10
135,-0.18,3.86,-1.65,-0.03,0.20,-1.06
144,-0.22,4.53,-4.79,-0.05,0.06,-1.08
153,-0.57,4.30,-3.23,-0.13,-0.09,-1.08
162,0.71,1.39,0.87,-0.10,-0.05,-1.09
171,-2.59,4.61,2.66,-0.05,0.16,-1.06
180,-0.19,3.62,-3.53,-0.05,0.15,-1.07
189,0.03,4.82,-5.68,-0.09,-0.04,-1.08
198,-1.20,3.30,0.06,-0.12,-0.10,-1.08
207,-0.81,3.83,1.91,-0.08,0.10,-1.10
216,-0.64,5.37,-1.56,-0.03,0.18,-1.07
225,-1.46,5.09,-4.47,-0.07,0.04,-1.08
234,0.06,3.19,-2.68,-0.13,-0.10,-1.09
243,-0.55,2.80,0.88,-0.08,-0.03,-1.06
252,-2.63,4.69,1.57,-0.04,0.19,-1.07
261,-1.21,4.83,-3.66,-0.06,0.13,-1.08
270,-0.14,4.79,-4.94,-0.10,-0.06,-1.08
279,-1.38,3.96,0.22,-0.12,-0.10,-1.08
288,-1.60,4.13,1.91,-0.05,0.13,-1.07
297,-0.82,5.38,-1.97,-0.02,0.17,-1.06
306,-1.44,4.50,-4.28,-0.09,0.04,-1.10
315,0.25,2.93,-2.31,-0.14,-0.14,-1.09
324,-2.08,4.35,1.87,-0.06,0.04,-1.07
333,-1.34,3.99,0.99,-0.03,0.20,-1.06
342,-0.30,4.51,-4.72,-0.05,0.13,-1.08
351,-0.02,4.23,-4.46,-0.12,-0.10,-1.09
360,-2.86,6.26,1.72,-0.12,-0.07,-1.09
369,-0.77,4.67,1.13,-0.03,0.14,-1.06
378,-0.37,4.47,-2.95,-0.02,0.19,-1.08
387,-0.39,3.31,-4.59,-0.11,-0.01,-1.09
396,-0.02,3.33,-1.91,-0.14,-0.11,-1.10
405,-1.50,4.49,1.93,-0.07,0.03,-1.06
414,-1.51,3.62,0.61,-0.02,0.22,-1.08
423,1.03,3.69,-5.43,-0.05,0.10,-1.08
432,-0.37,4.58,-3.80,-0.13,-0.12,-1.09
441,-3.80,7.70,2.86,-0.13,-0.05,-1.10
450,-0.74,3.85,1.56,-0.03,0.13,-1.06
459,0.31,2.18,-2.69,-0.01,0.19,-1.07
468,-0.09,3.40,-4.87,-0.10,-0.03,-1.09
477,-0.58,3.75,-1.56,-0.13,-0.11,-1.09
486,-2.77,5.36,4.82,-0.09,0.02,-1.08
495,-0.57,2.98,-0.29,-0.03,0.20,-1.07
504,1.07,3.87,-5.94,-0.05,0.07,-1.06
513,-0.77,4.80,-3.67,-0.12,-0.08,-1.09
522,-1.26,4.61,1.61,-0.12,-0.06,-1.10
531,-0.83,3.50,1.93,-0.05,0.15,-1.07
540,-0.36,3.37,-2.65,-0.03,0.15,-1.07
549,0.11,4.44,-5.77,-0.09,-0.01,-1.08
558,-0.77,4.14,-1.05,-0.12,-0.11,-1.10
567,-1.04,4.03,3.04,-0.09,0.07,-1.10
576,-0.79,4.07,-1.15,-0.03,0.18,-1.08
585,-0.63,5.25,-4.84,-0.06,0.06,-1.08
594,0.16,3.66,-3.63,-0.12,-0.09,-1.09
603,0.42,1.38,1.30,-0.10,-0.05,-1.08
612,-2.68,4.69,2.70,-0.05,0.17,-1.10
621,-0.74,4.83,-4.11,-0.05,0.12,-1.06
630,-0.57,4.69,-4.06,-0.10,-0.05,-1.08
639,-0.95,3.96,-0.00,-0.12,-0.10,-1.08
648,-0.98,4.89,1.19,-0.05,0.12,-1.08
657,-1.04,4.99,-1.88,-0.03,0.18,-1.08
666,-0.85,4.17,-4.68,-0.09,0.03,-1.08
675,0.31,2.81,-2.45,-0.12,-0.12,-1.09
684,-1.97,3.95,2.03,-0.07,0.01,-1.08
693,-0.92,3.85,0.68,-0.03,0.20,-1.08
702,0.23,4.29,-5.03,-0.05,0.12,-1.09
711,-0.60,4.45,-3.57,-0.12,-0.08,-1.09
720,-2.94,6.88,1.82,-0.12,-0.08,-1.08
729,-0.67,4.45,1.13,-0.03,0.14,-1.07
