timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.08,4.78,-4.17,-0.13,-0.09,-1.10
9,-2.24,5.20,1.98,-0.11,-0.10,-1.08
18,-2.46,5.61,1.38,-0.02,0.17,-1.07
27,-0.24,3.83,-3.02,-0.01,0.18,-1.08
36,-0.24,3.57,-5.65,-0.10,-0.00,-1.10
45,-0.60,3.10,-0.60,-0.14,-0.15,-1.10
54,-4.69,6.57,3.69,-0.07,0.04,-1.07
63,-0.58,4.04,-0.79,-0.01,0.22,-1.06
72,-0.05,4.69,-6.00,-0.05,0.10,-1.07
81,-0.37,4.76,-2.72,-0.14,-0.11,-1.10
90,-3.09,7.52,2.42,-0.11,-0.05,-1.09
99,0.21,2.30,1.62,-0.02,0.19,-1.09
108,-0.84,4.17,-2.75,-0.02,0.17,-1.07
117,0.80,2.62,-5.39,-0.10,-0.03,-1.09
126,-0.90,3.42,0.09,-0.13,-0.13,-1.09
135,-3.58,5.86,4.23,-0.08,0.10,-1.10
144,-0.21,5.24,-1.10,-0.02,0.20,-1.06
153,-0.02,5.22,-5.34,-0.06,0.06,-1.07
162,-0.37,4.67,-2.63,-0.14,-0.13,-1.09
171,-0.15,3.97,1.02,-0.10,0.00,-1.10
180,-0.39,1.91,2.69,-0.03,0.14,-1.06
189,-0.87,3.52,-2.89,-0.05,0.16,-1.09
198,1.62,2.43,-5.99,-0.10,-0.08,-1.08
207,-1.64,3.87,1.33,-0.12,-0.10,-1.09
216,-0.27,3.22,2.66,-0.09,0.09,-1.10
225,0.47,5.14,-2.96,-0.02,0.18,-1.07
234,-1.00,5.85,-4.47,-0.07,0.02,-1.08
243,-0.62,4.61,-3.00,-0.14,-0.11,-1.11
252,0.80,1.71,1.61,-0.09,-0.02,-1.09
261,-1.94,3.55,2.39,-0.04,0.16,-1.07
270,-0.43,3.30,-3.68,-0.07,0.14,-1.08
279,0.64,3.59,-5.20,-0.11,-0.10,-1.07
288,-1.32,2.65,1.43,-0.12,-0.07,-1.09
297,0.17,2.74,2.55,-0.06,0.10,-1.07
306,0.16,4.52,-3.51,-0.01,0.19,-1.07
315,-1.60,5.31,-4.08,-0.10,-0.01,-1.08
324,-0.54,4.35,-2.49,-0.13,-0.10,-1.10
333,-0.05,1.96,1.40,-0.07,-0.01,-1.06
342,-2.93,4.62,1.29,-0.04,0.23,-1.09
351,0.40,3.38,-5.39,-0.06,0.11,-1.09
360,-0.44,4.56,-4.77,-0.11,-0.08,-1.09
369,-0.99,2.41,1.52,-0.12,-0.08,-1.07
378,-0.85,5.48,0.83,-0.03,0.16,-1.07
387,-0.14,3.90,-3.62,-0.01,0.18,-1.05
396,-1.74,4.61,-4.34,-0.11,-0.00,-1.10
405,0.28,3.38,-1.83,-0.13,-0.13,-1.10
414,-2.11,4.04,1.45,-0.05,0.04,-1.06
423,-2.62,4.56,0.62,-0.02,0.23,-1.09
432,0.89,3.71,-6.19,-0.05,0.09,-1.08
441,0.09,4.26,-3.87,-0.12,-0.11,-1.09
450,-3.57,6.49,3.09,-0.12,-0.06,-1.09
459,-1.48,4.66,0.83,-0.02,0.18,-1.06
468,-0.57,3.86,-2.89,-0.01,0.17,-1.07
477,-0.44,3.26,-5.23,-0.11,-0.02,-1.09
486,0.14,3.45,-1.12,-0.13,-0.13,-1.07
495,-4.89,7.23,4.18,-0.07,0.08,-1.08
504,-0.68,4.06,-0.47,-0.02,0.21,-1.06
513,0.55,4.65,-6.39,-0.05,0.07,-1.06
522,-0.30,4.52,-3.10,-0.12,-0.13,-1.09
531,-3.18,7.52,2.71,-0.11,-0.00,-1.09
540,0.84,1.22,1.47,-0.04,0.15,-1.07
549,-1.09,4.44,-2.82,-0.04,0.16,-1.06
558,0.49,2.29,-5.17,-0.10,-0.06,-1.08
567,-1.14,4.26,-0.14,-0.12,-0.09,-1.10
576,-1.97,5.00,3.34,-0.08,0.09,-1.08
585,-0.86,5.88,-1.07,-0.03,0.19,-1.05
594,-0.17,5.42,-5.05,-0.07,0.03,-1.06
603,-0.44,4.45,-3.21,-0.12,-0.11,-1.09
612,-0.48,3.51,1.95,-0.09,-0.01,-1.08
621,-0.72,2.49,2.38,-0.04,0.17,-1.06
630,-0.66,3.54,-3.15,-0.07,0.13,-1.09
639,0.64,2.89,-5.21,-0.11,-0.09,-1.08
648,-1.34,3.69,0.68,-0.12,-0.06,-1.08
657,0.62,2.14,2.44,-0.06,0.09,-1.08
666,-0.50,5.57,-2.72,-0.02,0.19,-1.07
675,-1.15,5.86,-4.38,-0.09,0.00,-1.09
684,-0.80,4.65,-2.95,-0.12,-0.10,-1.08
693,-0.03,1.87,2.04,-0.07,-0.01,-1.08
702,-2.28,4.30,1.41,-0.03,0.23,-1.09
711,0.06,2.75,-4.69,-0.06,0.11,-1.09
720,-0.50,3.97,-4.23,-0.12,-0.09,-1.08
729,-0.53,1.87,0.73,-0.12,-0.08,-1.09
738,-0.81,4.39,1.74,-0.03,0.15,-1.07
747,-0.94,5.17,-2.95,-0.01,0.19,-1.06
756,-0.77,4.14,-5.31,-0.11,-0.00,-1.09
765,-0.01,3.18,-1.64,-0.12,-0.13,-1.09
774,-3.92,5.88,3.60,-0.06,0.04,-1.06
783,-0.66,4.27,-0.68,-0.02,0.24,-1.07
792,0.98,3.80,-6.52,-0.05,0.10,-1.08
801,-1.26,4.86,-2.22,-0.13,-0.11,-1.09
810,-3.07,7.56,2.53,-0.12,-0.06,-1.08
819,0.10,2.90,0.55,-0.01,0.17,-1.06
828,-1.66,4.41,-1.92,-0.02,0.17,-1.07
837,0.14,3.85,-5.40,-0.11,-0.01,-1.10
846,-0.11,3.39,-0.96,-0.12,-0.14,-1.07
855,-4.99,6.63,5.71,-0.08,0.08,-1.09
864,0.44,4.70,-1.39,-0.02,0.22,-1.07
873,0.76,4.35,-5.88,-0.05,0.06,-1.07
882,-1.51,4.86,-1.55,-0.14,-0.12,-1.09
891,-0.93,5.36,1.24,-0.11,-0.00,-1.09
900,0.62,1.21,1.47,-0.02,0.16,-1.06
909,-1.69,4.36,-2.21,-0.04,0.16,-1.08
918,1.49,3.08,-5.83,-0.11,-0.05,-1.07
927,-1.48,4.51,0.40,-0.12,-0.11,-1.08
936,-1.31,4.07,3.61,-0.09,0.10,-1.09
945,0.29,5.45,-2.54,-0.03,0.19,-1.07
954,0.00,5.28,-4.96,-0.06,0.03,-1.08
963,-1.76,4.63,-2.17,-0.14,-0.11,-1.10
972,0.99,1.47,1.31,-0.10,-0.00,-1.08
981,-1.63,3.57,2.22,-0.03,0.14,-1.06
990,-1.27,3.96,-3.08,-0.07,0.14,-1.09
999,0.24,4.50,-4.98,-0.11,-0.09,-1.08
1008,-0.62,2.47,0.80,-0.11,-0.07,-1.08
1017,-0.32,2.65,3.00,-0.07,0.10,-1.07
1026,-0.04,4.90,-3.30,-0.02,0.19,-1.08
1035,-1.18,5.28,-4.45,-0.09,0.00,-1.07
1044,-1.00,3.62,-1.88,-0.14,-0.12,-1.10
1053,0.14,1.68,1.37,-0.07,-0.00,-1.07
1062,-1.73,4.86,0.66,-0.02,0.21,-1.08
1071,0.09,2.98,-4.81,-0.06,0.12,-1.08
1080,-0.19,4.80,-4.16,-0.13,-0.09,-1.09
1089,0.14,1.78,0.49,-0.12,-0.09,-1.07
1098,-1.82,5.94,1.83,-0.04,0.14,-1.07
1107,0.14,3.66,-3.42,-0.01,0.19,-1.06
1116,-0.72,4.31,-4.96,-0.10,-0.01,-1.09
1125,-0.44,3.26,-1.08,-0.14,-0.14,-1.10
1134,-2.28,4.34,1.87,-0.07,0.04,-1.05
1143,-1.55,3.95,0.09,-0.02,0.23,-1.07
1152,0.22,3.73,-5.69,-0.05,0.10,-1.08
1161,-0.34,4.57,-3.62,-0.13,-0.10,-1.09
1170,-2.77,6.18,2.27,-0.12,-0.07,-1.10
1179,-1.75,5.12,1.25,-0.02,0.18,-1.08
