timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.05,3.81,-5.78,-0.06,0.04,-1.07
9,-2.93,6.43,-2.31,-0.13,-0.06,-1.12
18,-0.30,3.47,0.90,-0.11,-0.04,-1.08
27,-0.16,3.53,0.69,-0.02,0.17,-1.06
36,-1.20,4.61,-2.01,-0.05,0.14,-1.07
45,0.02,5.41,-5.09,-0.11,-0.03,-1.11
54,-0.84,3.97,-0.36,-0.11,-0.11,-1.08
63,-2.40,3.45,3.81,-0.09,0.08,-1.07
72,-0.05,3.66,-1.91,-0.03,0.20,-1.08
81,0.13,4.58,-5.19,-0.06,0.05,-1.08
90,-1.31,5.14,-1.24,-0.14,-0.09,-1.12
99,1.04,1.36,0.66,-0.09,-0.04,-1.07
108,-2.23,4.28,1.72,-0.03,0.17,-1.08
117,-0.97,4.27,-2.63,-0.06,0.13,-1.08
126,0.68,4.29,-4.76,-0.11,-0.05,-1.10
135,-0.35,3.09,1.14,-0.12,-0.12,-1.08
144,-1.26,3.37,1.91,-0.07,0.12,-1.11
153,0.93,3.77,-2.70,-0.02,0.17,-1.07
162,-0.29,4.64,-4.84,-0.07,0.04,-1.08
171,0.21,3.51,-1.36,-0.14,-0.13,-1.11
180,-0.25,3.42,1.21,-0.07,-0.01,-1.06
189,-2.07,4.24,1.27,-0.03,0.19,-1.08
198,-0.44,3.45,-4.52,-0.05,0.14,-1.10
207,1.50,2.38,-5.45,-0.11,-0.07,-1.08
216,-0.96,3.55,0.90,-0.12,-0.10,-1.08
225,-1.94,4.60,2.05,-0.04,0.16,-1.09
234,-0.48,4.05,-2.83,-0.02,0.17,-1.06
243,-1.02,4.62,-4.81,-0.09,0.01,-1.10
252,1.32,1.89,-2.69,-0.13,-0.14,-1.09
261,-2.80,5.34,2.80,-0.07,0.07,-1.08
270,-1.12,3.67,0.98,-0.04,0.18,-1.08
279,0.16,3.53,-5.43,-0.05,0.11,-1.08
288,-0.31,3.51,-4.16,-0.12,-0.14,-1.07
297,-3.13,5.89,1.76,-0.12,-0.03,-1.11
306,-0.06,5.28,1.02,-0.03,0.11,-1.06
315,-0.46,4.61,-3.07,-0.02,0.19,-1.07
324,-0.81,4.73,-4.47,-0.11,-0.02,-1.11
333,-0.42,2.76,-2.44,-0.12,-0.09,-1.09
342,-1.70,4.04,2.51,-0.08,0.04,-1.09
351,-0.78,3.79,-0.35,-0.03,0.22,-1.07
360,0.22,4.19,-5.40,-0.06,0.07,-1.07
369,-3.11,6.49,-2.50,-0.13,-0.07,-1.12
378,-3.33,7.33,1.75,-0.11,-0.03,-1.09
387,-0.40,4.00,0.86,-0.02,0.15,-1.04
396,-1.47,5.00,-2.36,-0.04,0.17,-1.08
405,-0.75,5.01,-4.96,-0.11,-0.03,-1.10
414,-1.43,4.26,-1.43,-0.12,-0.10,-1.11
423,-3.14,4.01,4.98,-0.09,0.06,-1.09
432,-0.17,3.67,-0.98,-0.02,0.20,-1.08
441,0.59,4.26,-5.32,-0.06,0.05,-1.09
450,-2.66,6.39,-2.22,-0.14,-0.07,-1.12
459,-0.67,4.09,0.85,-0.10,-0.04,-1.10
468,-0.16,3.44,0.86,-0.02,0.17,-1.07
