timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.37,1.92,-0.93,-0.13,-0.14,-1.09
9,-3.10,4.34,4.21,-0.04,0.16,-1.06
18,-0.93,4.92,-0.33,-0.02,0.21,-1.06
27,1.53,3.34,-6.77,-0.07,0.04,-1.08
36,-1.41,3.14,-3.35,-0.15,-0.18,-1.10
45,-3.91,6.22,3.70,-0.10,0.02,-1.10
54,1.31,4.70,0.23,-0.00,0.17,-1.04
63,0.67,5.15,-4.30,-0.04,0.16,-1.10
72,-0.22,4.15,-5.28,-0.13,-0.11,-1.12
81,-1.41,1.66,-0.43,-0.11,-0.08,-1.09
90,-1.22,2.04,4.09,-0.05,0.10,-1.06
99,0.61,4.61,-2.80,-0.02,0.24,-1.07
108,1.12,4.77,-5.95,-0.09,-0.02,-1.09
117,-4.39,5.69,-0.90,-0.15,-0.12,-1.11
126,-2.18,4.28,2.26,-0.08,0.03,-1.08
135,-0.36,4.50,0.27,0.00,0.24,-1.05
144,1.06,4.30,-3.98,-0.06,0.11,-1.09
153,-0.32,4.77,-5.57,-0.13,-0.10,-1.12
162,-3.32,3.16,0.80,-0.12,-0.09,-1.09
171,-3.68,3.49,6.13,-0.06,0.16,-1.08
180,1.86,4.52,-4.51,-0.01,0.20,-1.08
189,0.22,5.80,-5.77,-0.09,-0.03,-1.10
198,-2.23,5.46,0.30,-0.16,-0.12,-1.12
207,-0.41,2.72,1.90,-0.06,0.02,-1.06
216,-2.71,4.68,0.42,-0.00,0.23,-1.06
225,1.65,3.11,-5.66,-0.07,0.09,-1.09
234,0.85,2.21,-5.79,-0.12,-0.11,-1.11
243,-3.04,3.85,3.70,-0.11,-0.11,-1.07
252,-1.58,3.99,1.21,-0.04,0.21,-1.09
261,1.49,5.08,-5.37,-0.01,0.15,-1.06
270,-1.21,5.88,-5.24,-0.10,-0.03,-1.11
279,0.04,3.13,-0.22,-0.15,-0.15,-1.11
288,-2.60,4.55,3.44,-0.05,0.05,-1.06
297,-1.18,4.61,0.54,-0.02,0.23,-1.06
306,2.06,2.51,-6.81,-0.07,0.09,-1.11
315,0.69,1.02,-4.35,-0.13,-0.13,-1.10
324,-4.77,6.06,4.77,-0.12,-0.07,-1.08
333,0.45,4.92,0.81,-0.01,0.24,-1.07
342,0.33,5.52,-4.68,-0.01,0.18,-1.06
351,-1.02,4.77,-5.20,-0.12,-0.07,-1.11
360,-0.43,1.54,-0.40,-0.14,-0.15,-1.08
369,-1.86,3.52,3.50,-0.04,0.15,-1.07
378,-0.81,4.66,-1.07,-0.02,0.21,-1.07
387,0.85,3.99,-6.57,-0.07,0.05,-1.11
396,-2.38,3.20,-2.55,-0.14,-0.18,-1.10
405,-4.16,6.66,3.58,-0.10,0.02,-1.09
414,0.07,4.89,1.04,-0.01,0.17,-1.05
423,0.94,4.79,-4.55,-0.03,0.17,-1.08
432,-0.45,4.01,-5.16,-0.13,-0.11,-1.10
441,-2.68,2.94,0.61,-0.11,-0.08,-1.08
450,-1.79,2.35,4.81,-0.05,0.12,-1.08
459,0.56,4.71,-2.37,-0.02,0.23,-1.06
468,0.99,5.02,-5.52,-0.09,-0.01,-1.11
477,-3.46,5.68,-0.92,-0.14,-0.13,-1.12
486,-1.78,4.18,2.37,-0.09,0.04,-1.09
495,0.47,3.50,-0.46,-0.00,0.21,-1.05
504,0.95,4.47,-3.88,-0.06,0.13,-1.10
513,-0.37,3.92,-5.12,-0.13,-0.10,-1.12
522,-2.91,3.17,1.19,-0.11,-0.07,-1.08
531,-2.41,3.21,3.94,-0.06,0.16,-1.08
540,0.79,4.97,-3.59,-0.02,0.21,-1.07
