timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.68,2.79,1.61,-0.06,0.13,-1.10
9,-0.23,4.21,-2.30,-0.01,0.17,-1.06
18,-1.03,4.88,-4.98,-0.07,0.06,-1.10
27,0.52,4.17,-2.38,-0.14,-0.13,-1.09
36,-2.13,5.39,2.43,-0.08,-0.01,-1.08
45,-1.45,4.38,1.47,-0.03,0.17,-1.08
54,-0.23,3.48,-5.03,-0.05,0.14,-1.09
63,1.26,1.97,-4.85,-0.10,-0.07,-1.09
72,-2.72,5.34,1.95,-0.13,-0.09,-1.08
81,-0.68,3.40,1.93,-0.05,0.14,-1.08
90,-1.84,5.66,-2.34,-0.02,0.18,-1.08
99,-0.83,4.98,-5.12,-0.09,0.02,-1.09
108,0.79,3.30,-2.49,-0.13,-0.14,-1.10
117,-1.80,4.60,2.41,-0.07,0.05,-1.09
126,-1.65,4.40,1.13,-0.04,0.17,-1.07
135,0.38,3.23,-5.14,-0.05,0.14,-1.08
144,-0.14,2.52,-3.54,-0.12,-0.13,-1.09
153,-2.85,5.95,2.25,-0.13,-0.04,-1.11
162,-0.17,4.36,1.40,-0.04,0.10,-1.06
171,-1.52,5.65,-2.51,-0.02,0.20,-1.09
180,-0.31,4.90,-4.74,-0.10,-0.02,-1.09
189,-0.08,3.39,-2.32,-0.12,-0.10,-1.09
198,-0.75,3.43,3.22,-0.08,0.03,-1.07
207,-1.25,3.80,-0.53,-0.03,0.21,-1.08
216,0.17,3.83,-4.32,-0.05,0.07,-1.08
225,-1.24,4.30,-2.95,-0.13,-0.09,-1.10
234,-1.17,4.53,1.18,-0.12,-0.04,-1.09
243,-1.33,4.02,1.35,-0.03,0.12,-1.06
252,-1.29,5.16,-1.96,-0.04,0.18,-1.08
261,0.37,4.24,-5.32,-0.10,-0.04,-1.10
270,-1.35,4.61,-1.05,-0.12,-0.09,-1.09
279,-2.35,4.10,4.30,-0.09,0.01,-1.09
288,0.21,2.94,-1.50,-0.02,0.22,-1.08
297,0.07,4.31,-4.44,-0.07,0.04,-1.07
306,-1.24,4.88,-2.89,-0.13,-0.07,-1.11
315,0.40,2.36,0.89,-0.10,-0.06,-1.08
324,-1.68,4.36,1.53,-0.03,0.20,-1.09
333,-0.06,4.04,-2.75,-0.05,0.13,-1.07
342,0.40,3.82,-5.32,-0.10,-0.02,-1.09
351,-1.17,4.02,0.67,-0.13,-0.12,-1.09
360,-2.21,4.54,2.41,-0.08,0.11,-1.10
369,-0.38,3.16,-1.73,-0.02,0.18,-1.07
378,-1.49,5.41,-4.69,-0.07,0.07,-1.09
387,-0.14,4.87,-2.35,-0.13,-0.12,-1.09
396,-0.32,3.51,1.02,-0.09,-0.03,-1.08
405,-2.80,4.79,1.95,-0.04,0.17,-1.08
414,-0.25,3.56,-4.27,-0.05,0.14,-1.08
423,0.96,2.64,-4.97,-0.10,-0.05,-1.08
432,-1.50,4.06,1.10,-0.13,-0.10,-1.10
441,-0.68,3.02,1.42,-0.05,0.13,-1.09
450,-0.44,4.68,-2.29,-0.02,0.17,-1.06
459,-0.92,5.14,-5.01,-0.09,0.04,-1.10
468,0.51,4.16,-2.52,-0.13,-0.13,-1.08
477,-1.73,5.25,2.17,-0.08,0.01,-1.08
486,-1.78,4.66,1.66,-0.04,0.16,-1.07
495,-0.24,3.29,-4.77,-0.04,0.14,-1.07
504,1.12,2.02,-4.46,-0.11,-0.10,-1.09
513,-1.91,5.03,1.58,-0.13,-0.06,-1.09
522,-0.48,2.97,2.14,-0.04,0.13,-1.05
531,-1.76,5.50,-2.20,-0.02,0.20,-1.07
540,-0.62,4.61,-4.78,-0.10,-0.02,-1.08
549,1.08,2.84,-2.84,-0.12,-0.12,-1.09
558,-1.34,4.30,2.99,-0.07,0.05,-1.09
567,-1.19,4.27,1.18,-0.04,0.18,-1.08
576,0.51,3.24,-5.40,-0.06,0.10,-1.07
585,-0.13,2.72,-3.53,-0.12,-0.12,-1.09
594,-2.82,5.77,2.11,-0.12,-0.02,-1.10
603,0.31,4.21,1.46,-0.04,0.09,-1.06
612,-1.01,5.46,-2.89,-0.03,0.19,-1.09
621,-0.33,4.75,-4.75,-0.10,-0.04,-1.09
630,0.07,2.93,-2.56,-0.11,-0.09,-1.10
639,-0.48,2.91,2.76,-0.08,0.02,-1.06
648,-1.30,4.56,-0.26,-0.02,0.23,-1.09
657,0.81,3.46,-4.72,-0.06,0.04,-1.08
666,-1.57,3.95,-3.17,-0.13,-0.09,-1.10
675,-1.75,5.09,1.20,-0.11,-0.03,-1.08
684,-0.70,4.17,1.15,-0.03,0.16,-1.06
693,-1.16,5.01,-2.06,-0.04,0.15,-1.08
702,0.00,4.39,-5.01,-0.10,-0.04,-1.09
711,-0.73,3.63,-1.70,-0.11,-0.09,-1.09
720,-2.26,4.16,4.46,-0.08,0.05,-1.09
729,0.49,2.99,-1.96,-0.02,0.21,-1.09
738,-0.58,4.82,-5.20,-0.07,0.04,-1.07
747,-1.13,5.12,-2.17,-0.13,-0.09,-1.11
756,-0.31,3.10,1.13,-0.09,-0.05,-1.08
765,-2.70,4.62,1.93,-0.03,0.20,-1.08
774,-0.01,3.41,-4.10,-0.05,0.12,-1.08
783,0.85,3.44,-5.39,-0.10,-0.03,-1.09
792,-1.19,3.33,0.67,-0.12,-0.13,-1.08
801,-1.03,3.71,1.39,-0.06,0.14,-1.11
810,0.30,3.94,-1.97,-0.02,0.16,-1.06
819,-1.22,5.05,-4.89,-0.08,0.06,-1.09
828,0.56,3.50,-2.48,-0.13,-0.14,-1.09
837,-2.37,5.35,2.12,-0.08,-0.00,-1.08
846,-1.04,4.34,1.39,-0.04,0.17,-1.07
855,-0.14,3.51,-4.90,-0.05,0.15,-1.08
864,0.28,3.07,-3.97,-0.11,-0.08,-1.08
873,-2.51,5.08,1.22,-0.12,-0.08,-1.09
882,-0.35,3.39,1.75,-0.04,0.14,-1.07
891,-1.25,4.86,-2.57,-0.02,0.19,-1.06
900,-0.48,4.67,-4.65,-0.09,0.01,-1.09
909,0.39,3.32,-2.74,-0.13,-0.13,-1.08
918,-1.81,4.46,2.81,-0.07,0.05,-1.08
927,-1.17,3.90,0.89,-0.04,0.17,-1.08
936,0.71,3.06,-5.34,-0.05,0.13,-1.09
945,-1.41,4.12,-3.19,-0.12,-0.12,-1.08
954,-2.05,5.40,1.50,-0.12,-0.04,-1.09
963,0.06,4.41,1.43,-0.04,0.09,-1.08
972,-0.93,4.99,-2.49,-0.02,0.20,-1.09
981,-0.08,4.70,-4.86,-0.10,-0.03,-1.08
990,-0.29,2.94,-1.91,-0.12,-0.10,-1.09
