timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.37,5.10,-4.92,-0.08,0.02,-1.07
9,0.56,3.18,-2.46,-0.14,-0.14,-1.08
18,0.19,2.09,1.30,-0.07,0.00,-1.07
27,-1.81,3.67,1.74,-0.03,0.18,-1.06
36,-0.87,3.20,-3.91,-0.06,0.13,-1.08
45,1.27,2.09,-5.04,-0.11,-0.12,-1.07
54,-0.90,2.39,0.47,-0.12,-0.06,-1.09
63,-1.13,4.06,2.43,-0.04,0.12,-1.07
72,-0.76,5.52,-2.80,-0.02,0.19,-1.08
81,-1.10,5.29,-4.76,-0.10,-0.00,-1.10
90,-0.69,4.62,-2.69,-0.12,-0.09,-1.08
99,-1.96,4.13,2.90,-0.06,0.03,-1.07
108,-1.57,3.79,1.08,-0.03,0.21,-1.08
117,0.32,2.80,-5.27,-0.06,0.10,-1.07
126,-1.14,3.53,-3.20,-0.12,-0.10,-1.08
135,-2.80,5.33,1.98,-0.13,-0.05,-1.10
144,-0.80,4.38,0.47,-0.02,0.13,-1.08
153,-1.06,4.85,-1.96,-0.03,0.18,-1.09
162,-0.71,4.91,-5.30,-0.11,-0.04,-1.09
171,-0.59,3.87,-1.49,-0.11,-0.08,-1.09
180,-3.82,4.84,4.99,-0.08,0.02,-1.07
189,1.07,2.64,-1.87,-0.03,0.24,-1.08
198,0.62,4.07,-5.59,-0.06,0.06,-1.06
207,-2.54,5.84,-1.90,-0.13,-0.05,-1.11
216,0.16,3.75,1.17,-0.12,-0.06,-1.08
225,-0.51,3.75,0.95,-0.01,0.17,-1.06
234,-0.85,4.36,-2.83,-0.04,0.15,-1.09
243,-0.12,5.23,-5.16,-0.11,-0.03,-1.09
252,-0.52,3.51,0.53,-0.11,-0.12,-1.08
261,-3.00,4.37,3.44,-0.08,0.09,-1.10
270,0.69,3.16,-2.15,-0.02,0.19,-1.07
279,-0.62,4.68,-5.09,-0.06,0.06,-1.07
288,-0.08,3.59,-1.64,-0.15,-0.09,-1.11
297,0.93,2.28,0.28,-0.09,-0.03,-1.07
306,-2.34,4.53,2.24,-0.03,0.16,-1.08
315,-0.66,3.76,-3.66,-0.05,0.14,-1.08
324,2.12,2.86,-6.04,-0.10,-0.02,-1.08
333,-1.05,2.50,0.96,-0.12,-0.13,-1.08
342,-1.83,3.91,2.84,-0.07,0.13,-1.09
351,0.23,4.36,-2.66,-0.02,0.16,-1.05
360,-1.41,4.77,-4.36,-0.07,0.04,-1.07
369,0.70,4.12,-1.89,-0.15,-0.15,-1.09
378,-0.24,3.26,1.13,-0.07,0.01,-1.07
387,-1.64,4.24,1.63,-0.04,0.17,-1.09
