timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.88,4.82,-5.01,-0.11,-0.02,-1.07
9,-1.72,4.24,-1.91,-0.11,-0.08,-1.08
18,-2.63,4.60,3.77,-0.07,0.04,-1.07
27,0.09,4.25,-1.07,-0.03,0.22,-1.07
36,0.63,3.65,-5.32,-0.07,0.06,-1.07
45,-3.05,6.30,-2.48,-0.13,-0.07,-1.09
54,-1.22,4.40,1.64,-0.11,-0.04,-1.09
63,-0.53,3.48,0.64,-0.02,0.16,-1.05
72,-0.99,4.55,-2.28,-0.05,0.15,-1.08
81,-0.50,5.34,-4.81,-0.12,-0.05,-1.09
90,-0.96,4.30,0.04,-0.11,-0.10,-1.07
99,-3.12,4.58,3.86,-0.07,0.08,-1.08
108,1.02,3.16,-1.96,-0.02,0.20,-1.06
117,0.28,4.18,-5.20,-0.06,0.05,-1.05
126,-0.95,4.08,-1.90,-0.14,-0.09,-1.10
135,1.06,2.01,0.98,-0.10,-0.04,-1.07
144,-1.11,3.26,1.76,-0.03,0.18,-1.06
153,-0.11,3.63,-3.37,-0.05,0.14,-1.07
162,1.23,3.23,-5.61,-0.11,-0.02,-1.09
171,-0.35,3.43,0.86,-0.12,-0.14,-1.06
180,-1.27,3.76,2.20,-0.07,0.12,-1.08
189,0.60,3.60,-2.07,-0.02,0.16,-1.05
198,-0.80,5.11,-4.69,-0.08,0.04,-1.08
207,1.40,3.23,-2.11,-0.14,-0.14,-1.09
216,0.08,2.76,1.55,-0.08,-0.01,-1.06
225,-2.32,3.52,1.96,-0.04,0.16,-1.07
234,-0.65,3.92,-4.25,-0.04,0.13,-1.08
243,2.00,1.78,-5.56,-0.10,-0.09,-1.05
252,-1.41,3.61,0.87,-0.13,-0.07,-1.08
261,-0.70,3.47,1.78,-0.06,0.10,-1.06
270,-1.12,5.34,-2.31,-0.02,0.18,-1.06
279,-1.01,5.22,-4.64,-0.09,0.01,-1.08
288,-0.34,3.48,-2.82,-0.13,-0.11,-1.09
297,-2.09,4.40,2.43,-0.07,0.03,-1.09
306,-1.68,3.78,0.24,-0.04,0.21,-1.08
315,-0.45,4.26,-4.87,-0.06,0.10,-1.07
324,-1.88,4.78,-3.24,-0.11,-0.10,-1.07
333,-2.60,5.40,1.41,-0.12,-0.05,-1.10
342,-0.78,5.23,1.08,-0.02,0.13,-1.06
351,-2.45,5.96,-1.86,-0.03,0.18,-1.07
360,-0.93,4.44,-4.88,-0.10,-0.01,-1.09
369,-0.77,4.33,-2.66,-0.11,-0.08,-1.09
378,-1.93,4.03,2.64,-0.07,0.04,-1.07
387,-2.03,4.54,-0.17,-0.02,0.23,-1.07
396,0.58,3.20,-5.39,-0.06,0.07,-1.07
405,-2.52,6.28,-3.16,-0.13,-0.06,-1.09
414,-1.99,5.75,1.57,-0.11,-0.05,-1.08
423,-0.81,4.87,0.47,-0.01,0.17,-1.05
432,-1.11,4.87,-2.08,-0.04,0.15,-1.08
441,-0.61,4.80,-5.07,-0.11,-0.04,-1.10
450,-1.54,4.55,-1.05,-0.12,-0.10,-1.08
459,-3.37,4.74,4.02,-0.07,0.08,-1.09
468,0.41,3.70,-1.87,-0.02,0.21,-1.06
477,0.35,3.86,-5.41,-0.06,0.05,-1.06
486,-2.70,5.97,-1.81,-0.14,-0.07,-1.11
495,-0.45,4.04,1.56,-0.10,-0.04,-1.08
504,-0.56,3.41,0.81,-0.02,0.17,-1.07
513,-0.79,4.28,-2.78,-0.05,0.14,-1.08
522,-0.24,5.32,-5.02,-0.10,-0.03,-1.09
531,-1.28,4.54,0.59,-0.12,-0.13,-1.07
540,-3.46,4.64,3.70,-0.08,0.13,-1.10
549,1.35,2.53,-2.47,-0.01,0.18,-1.06
558,0.03,4.24,-5.02,-0.06,0.05,-1.09
567,-0.95,4.30,-1.43,-0.15,-0.12,-1.11
576,0.24,2.71,0.93,-0.09,-0.01,-1.07
585,-1.57,3.68,1.84,-0.03,0.17,-1.07
594,0.06,3.88,-3.85,-0.05,0.14,-1.08
603,1.61,3.18,-5.83,-0.10,-0.05,-1.08
612,-1.19,4.09,1.13,-0.13,-0.11,-1.08
621,-1.11,4.33,2.31,-0.06,0.11,-1.08
630,-1.11,4.87,-2.83,-0.02,0.17,-1.05
639,-1.30,4.80,-4.25,-0.08,0.03,-1.08
648,0.32,3.24,-3.00,-0.14,-0.16,-1.07
657,-2.38,5.14,2.74,-0.07,0.03,-1.08
666,-1.73,4.67,1.58,-0.04,0.18,-1.07
675,-0.01,3.79,-5.66,-0.06,0.13,-1.08
684,-1.44,4.35,-3.14,-0.11,-0.14,-1.06
693,-3.51,6.13,2.04,-0.12,-0.03,-1.09
702,-0.14,5.13,0.90,-0.04,0.14,-1.07
711,-1.64,5.46,-3.07,-0.02,0.17,-1.07
720,-1.12,4.39,-4.29,-0.10,-0.00,-1.09
729,-1.01,4.06,-2.56,-0.12,-0.10,-1.09
738,-1.34,4.01,2.75,-0.06,0.06,-1.06
747,-1.87,4.85,0.20,-0.04,0.19,-1.08
756,0.44,3.40,-4.99,-0.06,0.09,-1.07
765,-2.22,6.22,-3.11,-0.12,-0.10,-1.09
774,-1.69,5.33,1.54,-0.11,-0.02,-1.09
783,-0.63,4.53,0.70,-0.02,0.15,-1.07
792,-0.92,4.30,-2.17,-0.04,0.17,-1.09
801,-0.32,4.44,-4.91,-0.11,-0.04,-1.09
810,-0.55,3.81,-0.75,-0.11,-0.09,-1.09
819,-2.49,4.18,4.28,-0.08,0.04,-1.08
828,0.21,3.54,-1.39,-0.02,0.21,-1.08
837,0.28,4.07,-4.96,-0.06,0.06,-1.07
846,-0.76,4.36,-1.88,-0.13,-0.09,-1.09
855,0.41,2.68,1.27,-0.11,-0.05,-1.07
864,-0.53,2.98,1.47,-0.02,0.17,-1.06
873,0.29,3.11,-3.16,-0.05,0.15,-1.07
882,0.81,3.49,-5.40,-0.10,-0.03,-1.09
891,-0.69,3.69,1.04,-0.13,-0.13,-1.08
900,-1.95,4.37,3.13,-0.08,0.10,-1.09
909,0.94,3.09,-2.07,-0.02,0.18,-1.05
918,-0.69,4.72,-4.52,-0.07,0.05,-1.06
927,1.29,2.79,-2.41,-0.15,-0.13,-1.08
936,0.45,2.48,1.01,-0.09,-0.00,-1.08
945,-1.65,3.39,2.54,-0.04,0.15,-1.07
954,-0.14,3.66,-4.26,-0.05,0.14,-1.08
963,2.29,1.84,-5.92,-0.10,-0.05,-1.08
972,-1.12,3.26,0.75,-0.13,-0.09,-1.06
981,-0.88,3.86,2.15,-0.07,0.10,-1.08
990,-0.28,4.18,-2.56,-0.02,0.17,-1.05
999,-1.20,5.11,-4.44,-0.08,0.03,-1.08
1008,1.37,2.54,-2.65,-0.13,-0.14,-1.08
1017,-0.94,3.84,2.16,-0.07,0.02,-1.07
1026,-1.64,3.73,0.99,-0.05,0.17,-1.09
1035,-0.64,4.04,-4.63,-0.05,0.12,-1.09
1044,0.82,2.02,-4.45,-0.10,-0.13,-1.06
1053,-2.03,4.15,1.47,-0.12,-0.05,-1.09
1062,-0.83,4.56,1.82,-0.05,0.12,-1.07
1071,-1.67,5.83,-2.40,-0.02,0.17,-1.07
1080,-1.44,5.03,-4.10,-0.10,-0.00,-1.08
1089,0.18,3.32,-3.06,-0.12,-0.10,-1.09
1098,-1.66,4.44,2.55,-0.06,0.03,-1.06
1107,-1.43,4.75,0.59,-0.04,0.20,-1.08
1116,0.25,3.72,-5.53,-0.06,0.09,-1.09
1125,-2.17,4.65,-2.86,-0.12,-0.11,-1.08
1134,-2.55,5.25,1.17,-0.12,-0.02,-1.09
1143,0.09,4.96,0.62,-0.02,0.14,-1.06
1152,-2.29,5.67,-2.35,-0.04,0.18,-1.08
1161,-1.26,4.77,-4.24,-0.12,-0.04,-1.09
1170,-0.68,4.49,-2.54,-0.10,-0.07,-1.08
1179,-0.95,3.23,3.09,-0.07,0.04,-1.07
1188,-1.99,4.90,0.03,-0.03,0.23,-1.08
1197,1.24,3.22,-5.59,-0.06,0.04,-1.07
1206,-2.62,6.24,-2.66,-0.13,-0.06,-1.10
1215,-1.47,4.74,1.61,-0.11,-0.05,-1.09
1224,0.14,3.36,0.34,-0.01,0.16,-1.06
1233,-0.91,4.37,-1.89,-0.04,0.16,-1.08
1242,-0.41,4.68,-4.68,-0.12,-0.06,-1.10
1251,-1.42,4.22,-0.87,-0.11,-0.09,-1.08
1260,-1.99,3.32,4.32,-0.08,0.05,-1.06
1269,0.77,4.14,-1.92,-0.02,0.23,-1.07
1278,1.06,3.89,-5.29,-0.07,0.02,-1.06
1287,-2.23,5.19,-1.62,-0.14,-0.09,-1.10
1296,0.39,2.82,1.51,-0.10,-0.04,-1.06
1305,-0.45,2.93,0.98,-0.03,0.19,-1.07
1314,0.18,3.28,-3.21,-0.05,0.13,-1.07
1323,0.10,3.84,-5.14,-0.11,-0.03,-1.08
1332,-0.60,3.46,0.87,-0.13,-0.12,-1.07
1341,-2.08,4.38,2.98,-0.07,0.13,-1.09
1350,1.78,2.55,-2.88,-0.01,0.17,-1.06
1359,-0.20,4.77,-4.80,-0.08,0.04,-1.07
1368,0.91,2.53,-2.50,-0.14,-0.14,-1.08
1377,-0.21,2.74,1.38,-0.08,0.00,-1.05
1386,-1.58,3.28,2.00,-0.04,0.17,-1.07
1395,0.11,3.82,-4.28,-0.05,0.13,-1.05
1404,-1.07,4.19,-3.38,-0.11,-0.11,-1.08
1413,-1.68,3.89,1.07,-0.13,-0.07,-1.09
1422,-0.79,4.30,1.45,-0.05,0.11,-1.07
1431,-2.45,6.11,-2.08,-0.02,0.18,-1.06
1440,-0.84,4.50,-4.72,-0.09,0.01,-1.08
1449,-0.63,4.11,-2.91,-0.12,-0.10,-1.07
1458,-2.49,4.45,3.08,-0.07,0.03,-1.07
1467,-2.05,4.59,0.09,-0.04,0.21,-1.07
1476,0.34,3.49,-5.35,-0.05,0.10,-1.08
1485,-2.22,6.18,-3.15,-0.12,-0.09,-1.07
1494,-2.04,5.77,1.83,-0.12,-0.04,-1.08
1503,-0.44,4.41,0.53,-0.02,0.14,-1.06
1512,-1.53,5.09,-1.81,-0.03,0.19,-1.05
1521,-0.52,4.63,-5.04,-0.11,-0.02,-1.10
1530,-0.96,4.41,-1.94,-0.11,-0.08,-1.08
1539,-2.59,4.15,3.81,-0.07,0.05,-1.08
1548,0.28,3.87,-1.23,-0.03,0.21,-1.08
1557,0.66,3.58,-5.44,-0.06,0.06,-1.08
1566,-2.70,6.11,-2.28,-0.13,-0.07,-1.11
1575,-0.43,4.20,1.14,-0.11,-0.04,-1.10
1584,-0.60,3.48,0.85,-0.01,0.16,-1.06
1593,-0.82,4.21,-2.52,-0.04,0.15,-1.09
1602,-0.17,5.32,-5.22,-0.12,-0.05,-1.10
1611,-0.59,4.21,-0.30,-0.11,-0.10,-1.08
1620,-3.64,4.69,4.41,-0.08,0.07,-1.08
1629,1.72,2.64,-2.12,-0.02,0.21,-1.07
1638,0.25,3.79,-5.04,-0.06,0.04,-1.07
1647,-0.99,4.60,-1.43,-0.15,-0.08,-1.10
1656,0.92,2.44,1.16,-0.10,-0.04,-1.06
1665,-1.49,3.35,1.93,-0.02,0.18,-1.06
1674,-0.10,3.80,-3.82,-0.05,0.14,-1.07
1683,1.50,3.63,-5.81,-0.10,-0.03,-1.08
1692,-1.11,3.71,1.50,-0.13,-0.13,-1.07
1701,-2.49,4.89,2.47,-0.07,0.14,-1.09
1710,0.73,3.27,-2.57,-0.01,0.17,-1.05
1719,-0.87,4.58,-4.73,-0.07,0.04,-1.07
1728,1.26,2.69,-1.47,-0.15,-0.14,-1.10
1737,0.18,3.04,0.62,-0.08,0.01,-1.07
1746,-2.76,4.39,1.95,-0.04,0.17,-1.07
1755,-0.85,4.17,-4.38,-0.05,0.13,-1.08
1764,2.99,1.86,-6.04,-0.09,-0.05,-1.07
1773,-1.97,4.44,1.98,-0.13,-0.10,-1.09
1782,-1.36,4.52,1.98,-0.06,0.13,-1.09
1791,-0.66,4.42,-2.60,-0.02,0.15,-1.05
