timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.28,3.06,-3.87,-0.06,0.16,-1.10
9,1.04,2.56,-5.72,-0.12,-0.11,-1.09
18,-0.82,1.81,0.52,-0.12,-0.11,-1.10
27,-2.17,6.00,3.52,-0.05,0.11,-1.09
36,0.68,3.62,-3.14,-0.01,0.24,-1.09
45,-0.45,4.86,-5.40,-0.09,-0.01,-1.09
54,-1.21,4.31,-2.34,-0.15,-0.15,-1.11
63,-1.43,4.05,1.76,-0.07,0.01,-1.08
72,-2.80,4.28,0.82,-0.01,0.24,-1.09
81,0.73,3.59,-5.31,-0.05,0.11,-1.09
90,-1.12,5.32,-4.64,-0.12,-0.12,-1.10
99,-3.31,5.46,2.18,-0.13,-0.10,-1.12
108,-2.56,4.88,1.56,-0.03,0.15,-1.10
117,0.12,4.31,-2.63,-0.00,0.18,-1.07
126,-0.66,4.84,-5.35,-0.09,0.00,-1.11
135,-1.08,4.71,-2.65,-0.14,-0.12,-1.11
144,-4.36,5.78,4.02,-0.07,0.00,-1.09
153,-1.63,3.37,0.50,-0.02,0.24,-1.09
162,0.74,4.22,-6.35,-0.05,0.11,-1.10
171,-1.64,6.59,-3.87,-0.13,-0.09,-1.12
180,-3.39,7.34,2.24,-0.13,-0.07,-1.11
189,-0.65,3.07,1.18,-0.02,0.19,-1.09
198,-1.66,4.95,-2.04,-0.03,0.18,-1.09
207,-0.33,4.81,-5.50,-0.11,-0.01,-1.11
216,-1.31,5.11,-1.16,-0.13,-0.13,-1.10
225,-4.20,4.74,4.88,-0.09,0.09,-1.12
234,-1.53,4.00,-0.24,-0.03,0.22,-1.10
243,0.12,4.72,-6.12,-0.05,0.09,-1.10
252,-1.04,6.02,-2.72,-0.14,-0.10,-1.13
261,-0.33,4.16,1.74,-0.12,-0.05,-1.12
270,-1.11,2.89,2.06,-0.03,0.16,-1.08
279,-1.58,4.86,-2.53,-0.04,0.17,-1.10
288,0.94,3.93,-5.82,-0.10,-0.03,-1.11
297,-0.75,4.55,0.28,-0.13,-0.15,-1.12
306,-0.85,2.95,3.83,-0.08,0.10,-1.11
315,-0.17,5.50,-1.45,-0.02,0.20,-1.09
324,-0.40,5.03,-5.38,-0.07,0.06,-1.09
333,0.82,3.40,-2.16,-0.15,-0.15,-1.11
342,1.80,1.10,1.61,-0.09,-0.03,-1.09
351,-0.86,3.93,2.69,-0.03,0.15,-1.07
360,-1.32,3.72,-3.50,-0.06,0.18,-1.11
369,2.49,1.79,-6.68,-0.11,-0.08,-1.09
378,-0.42,2.74,0.90,-0.13,-0.12,-1.09
387,-0.70,3.12,3.90,-0.06,0.11,-1.07
396,-0.20,4.93,-2.91,-0.01,0.23,-1.09
405,-0.26,4.77,-4.99,-0.09,-0.01,-1.08
414,1.16,3.15,-2.29,-0.15,-0.16,-1.11
423,2.06,0.79,1.20,-0.06,0.00,-1.07
432,-1.87,5.01,2.03,-0.02,0.21,-1.09
441,-0.19,3.39,-3.79,-0.07,0.13,-1.10
450,1.98,1.37,-6.17,-0.12,-0.15,-1.09
459,-0.72,1.68,0.86,-0.12,-0.09,-1.10
468,-2.03,6.16,3.36,-0.05,0.11,-1.09
477,0.73,3.36,-3.27,-0.00,0.21,-1.08
486,-0.72,4.93,-4.97,-0.10,-0.00,-1.11
495,-0.59,3.62,-2.81,-0.14,-0.13,-1.11
504,-0.96,3.39,1.54,-0.07,0.00,-1.08
513,-3.05,4.41,0.90,-0.02,0.26,-1.09
522,0.73,3.48,-5.42,-0.05,0.10,-1.09
531,-0.76,4.53,-4.86,-0.12,-0.10,-1.10
540,-3.78,5.44,2.42,-0.14,-0.08,-1.12
549,-2.60,5.63,1.64,-0.02,0.20,-1.09
558,0.32,4.48,-3.15,-0.00,0.17,-1.06
567,-0.68,4.62,-5.29,-0.10,-0.01,-1.10
576,-1.30,4.81,-2.09,-0.13,-0.13,-1.12
585,-3.44,5.67,3.62,-0.08,0.03,-1.09
594,-1.24,3.31,0.14,-0.02,0.23,-1.09
603,0.75,4.19,-6.16,-0.04,0.09,-1.07
612,-1.14,5.98,-4.04,-0.13,-0.10,-1.12
621,-0.20,3.22,1.58,-0.13,-0.05,-1.13
630,-0.78,3.19,1.99,-0.03,0.17,-1.08
639,-1.92,4.96,-2.90,-0.03,0.19,-1.09
648,0.89,3.31,-5.55,-0.10,-0.03,-1.11
657,0.19,3.57,-0.42,-0.13,-0.15,-1.11
666,-0.08,2.33,3.91,-0.08,0.10,-1.11
675,-0.18,5.07,-1.99,-0.03,0.20,-1.07
684,0.16,4.86,-5.47,-0.06,0.08,-1.11
693,0.99,3.21,-2.91,-0.13,-0.14,-1.11
702,1.00,1.52,2.07,-0.10,-0.04,-1.11
711,-1.32,4.31,2.47,-0.03,0.16,-1.09
720,-0.42,3.40,-4.48,-0.05,0.19,-1.09
729,1.83,1.90,-6.07,-0.10,-0.07,-1.10
738,-0.34,2.03,0.56,-0.13,-0.11,-1.09
747,-0.91,3.80,3.28,-0.07,0.10,-1.08
756,-0.49,4.35,-2.73,-0.03,0.20,-1.09
765,-0.23,4.63,-5.21,-0.08,0.03,-1.10
774,0.70,2.95,-2.69,-0.14,-0.16,-1.10
783,-0.83,3.21,2.20,-0.08,-0.02,-1.09
792,-1.41,4.48,1.64,-0.03,0.19,-1.06
801,1.18,3.00,-5.28,-0.05,0.15,-1.09
810,-0.04,3.03,-4.49,-0.12,-0.14,-1.08
819,-1.99,3.16,1.36,-0.13,-0.09,-1.11
828,-0.69,5.68,2.04,-0.04,0.13,-1.09
837,0.06,3.99,-2.58,-0.00,0.22,-1.07
846,-0.83,4.64,-4.75,-0.11,-0.01,-1.09
855,-0.60,3.52,-3.51,-0.13,-0.12,-1.11
864,-2.55,4.82,2.64,-0.06,0.02,-1.08
873,-2.16,3.56,0.99,-0.01,0.26,-1.09
882,1.41,3.55,-5.95,-0.06,0.10,-1.08
891,-1.97,5.51,-4.01,-0.13,-0.11,-1.09
900,-4.18,6.45,2.80,-0.13,-0.09,-1.10
909,-2.02,5.10,0.88,-0.02,0.16,-1.09
918,-0.00,3.90,-2.67,-0.01,0.18,-1.07
927,-0.73,4.88,-5.61,-0.11,-0.00,-1.11
936,-0.84,4.42,-3.03,-0.12,-0.12,-1.10
945,-4.65,5.89,4.82,-0.07,0.02,-1.09
954,-1.26,3.35,0.39,-0.02,0.25,-1.09
963,1.35,3.99,-6.63,-0.04,0.09,-1.09
972,-1.92,6.57,-3.47,-0.13,-0.09,-1.12
981,-4.30,7.99,3.28,-0.13,-0.06,-1.12
990,-0.07,2.50,0.77,-0.02,0.21,-1.09
999,-1.99,5.47,-2.11,-0.02,0.17,-1.08
1008,-0.30,5.15,-5.20,-0.11,-0.01,-1.13
1017,-0.66,4.62,-0.98,-0.13,-0.14,-1.11
1026,-4.00,4.40,4.91,-0.08,0.10,-1.11
1035,-1.23,4.45,0.10,-0.03,0.21,-1.08
1044,0.74,4.21,-6.64,-0.05,0.09,-1.09
1053,-0.85,4.66,-2.08,-0.13,-0.12,-1.12
1062,-0.13,3.83,1.81,-0.12,-0.03,-1.12
1071,-0.05,2.64,1.76,-0.03,0.15,-1.07
1080,-2.02,5.27,-2.60,-0.04,0.18,-1.10
1089,0.77,4.09,-5.68,-0.11,-0.04,-1.09
1098,0.15,3.34,-0.18,-0.12,-0.14,-1.09
1107,-0.27,2.26,3.87,-0.08,0.09,-1.12
1116,-0.12,4.14,-1.95,-0.03,0.20,-1.08
1125,0.15,4.67,-5.66,-0.07,0.04,-1.08
1134,0.76,2.99,-2.77,-0.14,-0.16,-1.12
1143,1.27,1.29,1.89,-0.09,-0.03,-1.09
1152,-1.35,4.61,1.98,-0.02,0.19,-1.08
1161,-1.38,4.19,-3.54,-0.06,0.16,-1.11
1170,1.66,2.36,-6.07,-0.12,-0.11,-1.11
1179,-0.09,2.01,0.07,-0.12,-0.09,-1.10
1188,-1.34,4.12,3.88,-0.06,0.11,-1.10
1197,-0.01,4.12,-2.72,-0.01,0.24,-1.09
1206,0.14,4.30,-5.24,-0.09,-0.01,-1.10
1215,-0.81,3.67,-2.13,-0.14,-0.13,-1.11
1224,-0.85,3.20,2.01,-0.07,0.01,-1.08
1233,-2.00,4.75,1.40,-0.02,0.24,-1.09
1242,1.01,3.00,-5.02,-0.05,0.12,-1.08
1251,0.12,3.19,-5.16,-0.13,-0.13,-1.09
1260,-1.80,3.16,1.15,-0.13,-0.10,-1.10
1269,-1.65,6.05,2.56,-0.04,0.13,-1.08
1278,0.41,4.20,-2.78,-0.01,0.21,-1.05
1287,-0.40,4.60,-5.10,-0.10,-0.02,-1.11
1296,-1.21,3.96,-2.63,-0.14,-0.11,-1.11
1305,-2.11,4.42,2.51,-0.07,0.02,-1.09
1314,-2.00,3.80,0.59,-0.01,0.25,-1.09
1323,1.03,3.64,-5.67,-0.04,0.09,-1.07
1332,-1.88,5.94,-3.73,-0.13,-0.08,-1.11
1341,-3.92,7.05,2.72,-0.13,-0.07,-1.11
1350,-1.51,4.70,1.30,-0.02,0.17,-1.06
1359,-0.23,3.69,-2.75,-0.02,0.18,-1.09
1368,-0.40,5.07,-5.43,-0.10,-0.01,-1.12
1377,-0.90,4.56,-1.84,-0.13,-0.14,-1.09
1386,-3.68,4.55,4.95,-0.09,0.04,-1.10
1395,-0.91,3.44,-0.11,-0.03,0.22,-1.07
1404,1.06,4.24,-6.45,-0.04,0.09,-1.07
1413,-2.01,6.08,-3.16,-0.14,-0.09,-1.12
1422,1.31,2.14,1.36,-0.12,-0.05,-1.11
1431,-1.63,3.20,2.62,-0.03,0.17,-1.07
1440,-1.43,4.56,-3.57,-0.04,0.18,-1.09
1449,2.19,2.44,-6.53,-0.09,-0.02,-1.10
1458,-0.60,2.98,0.71,-0.13,-0.16,-1.10
1467,-0.31,2.97,3.52,-0.09,0.11,-1.13
1476,0.10,4.39,-2.88,-0.03,0.20,-1.07
1485,-0.51,5.00,-5.10,-0.06,0.07,-1.09
1494,1.19,3.06,-2.23,-0.14,-0.15,-1.11
1503,1.82,0.94,1.16,-0.10,-0.03,-1.09
1512,-1.75,4.93,2.17,-0.03,0.15,-1.08
1521,-0.40,3.55,-4.20,-0.06,0.17,-1.11
1530,2.19,1.64,-6.11,-0.11,-0.08,-1.08
1539,-0.75,1.58,1.01,-0.12,-0.12,-1.10
1548,-1.49,4.63,3.44,-0.07,0.10,-1.10
1557,0.31,3.88,-3.64,-0.01,0.21,-1.08
1566,-1.07,4.93,-4.63,-0.08,0.01,-1.10
1575,-0.24,3.45,-2.40,-0.15,-0.16,-1.11
1584,-0.98,3.71,1.54,-0.07,-0.01,-1.09
1593,-2.42,5.06,1.41,-0.02,0.21,-1.07
1602,0.78,3.32,-5.14,-0.06,0.14,-1.10
1611,-0.10,3.06,-4.78,-0.12,-0.15,-1.09
1620,-2.91,4.03,1.97,-0.12,-0.09,-1.09
1629,-1.36,5.89,1.99,-0.04,0.14,-1.08
1638,0.73,3.55,-3.39,-0.01,0.22,-1.08
1647,-1.17,4.60,-4.88,-0.11,-0.01,-1.11
1656,-0.96,4.93,-2.42,-0.14,-0.12,-1.11
1665,-2.40,5.46,2.67,-0.06,0.03,-1.08
1674,-2.12,3.73,0.84,-0.01,0.26,-1.09
1683,1.07,3.69,-6.17,-0.06,0.11,-1.10
1692,-1.02,5.50,-4.14,-0.13,-0.10,-1.11
1701,-4.97,7.71,3.77,-0.13,-0.08,-1.11
1710,-1.65,3.67,1.14,-0.03,0.20,-1.08
1719,-0.97,4.84,-2.64,-0.01,0.17,-1.06
1728,-0.79,4.95,-5.30,-0.10,-0.00,-1.11
1737,-0.64,4.47,-1.58,-0.13,-0.14,-1.10
1746,-4.10,4.73,4.81,-0.08,0.04,-1.11
1755,-1.24,3.98,0.10,-0.03,0.22,-1.10
1764,0.24,4.79,-6.13,-0.05,0.10,-1.09
1773,-1.25,5.86,-3.00,-0.13,-0.10,-1.12
1782,-1.90,5.77,2.46,-0.13,-0.04,-1.13
1791,0.12,2.00,1.48,-0.02,0.19,-1.08
