timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.00,2.62,1.64,-0.06,0.14,-1.07
9,0.99,3.94,-2.26,-0.04,0.18,-1.08
18,0.25,5.02,-5.65,-0.08,0.03,-1.10
27,-3.79,6.07,-1.61,-0.14,-0.10,-1.11
36,-1.80,3.40,1.85,-0.08,0.02,-1.08
45,-1.12,5.57,0.53,-0.02,0.16,-1.04
54,0.69,3.50,-4.36,-0.06,0.12,-1.11
63,-0.01,3.41,-3.99,-0.12,-0.08,-1.10
72,-1.70,3.39,2.44,-0.11,-0.08,-1.08
81,-1.34,3.91,2.20,-0.05,0.12,-1.08
90,0.99,4.56,-3.54,-0.03,0.18,-1.08
99,-0.16,4.40,-4.87,-0.09,-0.01,-1.11
108,-0.78,2.73,-0.38,-0.14,-0.12,-1.10
117,-1.35,3.22,2.16,-0.07,0.03,-1.06
126,-0.25,5.12,0.16,-0.02,0.20,-1.07
135,1.28,3.22,-5.11,-0.07,0.09,-1.12
144,-0.13,2.59,-4.26,-0.12,-0.09,-1.11
153,-2.21,3.64,2.02,-0.11,-0.07,-1.08
162,-0.85,5.26,0.98,-0.04,0.16,-1.06
171,1.08,4.76,-3.53,-0.03,0.16,-1.08
180,-0.62,4.34,-4.46,-0.11,-0.03,-1.11
189,-2.06,2.88,-0.35,-0.13,-0.13,-1.08
198,-2.23,4.21,2.02,-0.05,0.09,-1.06
207,0.13,4.21,-0.67,-0.03,0.19,-1.08
216,0.87,4.17,-5.27,-0.07,0.06,-1.11
225,-2.69,4.11,-2.33,-0.13,-0.14,-1.09
234,-4.35,6.18,2.64,-0.10,-0.03,-1.09
243,-0.05,4.84,0.11,-0.02,0.15,-1.07
252,0.96,4.48,-3.69,-0.04,0.15,-1.10
261,-1.08,4.22,-4.38,-0.12,-0.05,-1.12
270,-3.09,4.18,-0.24,-0.12,-0.09,-1.09
279,-1.91,4.26,2.79,-0.05,0.10,-1.08
288,0.67,4.23,-2.18,-0.03,0.19,-1.07
297,0.29,5.02,-5.21,-0.08,0.04,-1.09
306,-3.13,4.92,-1.90,-0.14,-0.12,-1.11
315,-2.94,5.05,2.18,-0.09,0.02,-1.10
324,-0.57,4.21,0.45,-0.02,0.15,-1.06
333,-0.37,4.98,-3.32,-0.05,0.14,-1.11
342,-0.66,3.94,-4.40,-0.12,-0.06,-1.11
351,-3.23,5.08,0.22,-0.11,-0.06,-1.09
360,-3.63,5.65,4.13,-0.06,0.07,-1.07
369,0.23,5.06,-2.73,-0.03,0.21,-1.08
378,0.21,4.71,-5.48,-0.08,0.02,-1.09
387,-2.49,5.17,-1.69,-0.13,-0.08,-1.11
396,-0.45,1.42,2.03,-0.09,0.01,-1.09
405,-0.21,4.34,0.59,-0.02,0.17,-1.07
414,-0.48,5.32,-3.83,-0.06,0.12,-1.10
423,-0.58,4.54,-4.47,-0.12,-0.07,-1.12
432,-2.38,4.81,1.86,-0.11,-0.09,-1.08
441,-0.58,4.34,1.61,-0.05,0.14,-1.07
450,0.67,5.67,-2.94,-0.03,0.18,-1.10
459,0.26,3.53,-4.85,-0.09,0.01,-1.10
468,-2.30,4.40,-0.24,-0.13,-0.09,-1.11
477,0.64,0.40,2.08,-0.07,0.01,-1.06
486,-0.65,5.61,0.16,-0.02,0.19,-1.07
495,0.77,3.59,-4.48,-0.07,0.11,-1.11
504,0.08,3.64,-4.06,-0.12,-0.08,-1.10
513,-2.01,3.58,2.46,-0.11,-0.07,-1.08
522,-1.24,3.70,2.02,-0.04,0.15,-1.07
531,1.76,4.40,-4.13,-0.03,0.17,-1.08
540,0.04,3.67,-4.53,-0.11,-0.04,-1.11
549,-0.29,2.03,-0.21,-0.14,-0.11,-1.10
558,0.17,1.29,1.64,-0.05,0.06,-1.06
567,-1.05,5.35,0.12,-0.02,0.22,-1.08
576,1.51,3.34,-5.18,-0.07,0.06,-1.10
585,0.21,2.40,-4.21,-0.12,-0.10,-1.10
594,-2.08,3.68,2.65,-0.11,-0.06,-1.08
603,-1.39,5.84,1.01,-0.03,0.16,-1.07
612,1.45,4.21,-3.72,-0.03,0.15,-1.08
621,-0.72,4.24,-4.53,-0.11,-0.04,-1.11
630,-1.19,2.29,-0.31,-0.13,-0.12,-1.09
639,-1.71,3.93,1.99,-0.05,0.09,-1.06
648,-0.41,4.22,-0.20,-0.02,0.22,-1.08
657,0.98,4.14,-5.55,-0.07,0.05,-1.10
666,-1.90,3.21,-2.99,-0.13,-0.14,-1.10
675,-4.58,6.82,3.14,-0.10,-0.01,-1.10
684,-1.13,4.62,0.65,-0.02,0.17,-1.06
693,0.06,5.42,-4.03,-0.04,0.14,-1.07
702,-0.52,4.11,-4.97,-0.12,-0.06,-1.11
