timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.54,3.95,-4.49,-0.14,-0.11,-1.10
9,-2.42,4.81,2.02,-0.12,-0.12,-1.08
18,-2.83,4.45,2.11,-0.03,0.17,-1.09
27,0.61,3.64,-3.45,-0.00,0.20,-1.07
36,0.46,3.66,-6.06,-0.10,-0.01,-1.10
45,-1.32,5.02,-1.11,-0.15,-0.15,-1.11
54,-4.24,6.11,3.98,-0.07,0.01,-1.08
63,-0.93,3.59,0.64,-0.01,0.24,-1.09
72,1.25,3.59,-6.36,-0.04,0.11,-1.08
81,-0.11,4.47,-3.92,-0.13,-0.12,-1.10
90,-4.55,8.20,3.56,-0.13,-0.07,-1.11
99,0.19,1.65,1.63,-0.03,0.19,-1.09
108,-1.24,4.86,-2.41,-0.02,0.19,-1.06
117,0.42,3.47,-5.95,-0.10,-0.03,-1.10
126,-0.59,4.44,-1.40,-0.14,-0.14,-1.11
135,-3.70,5.32,5.07,-0.09,0.07,-1.11
144,-1.37,3.88,-0.26,-0.03,0.21,-1.08
153,0.09,4.54,-5.93,-0.05,0.09,-1.06
162,-0.61,4.80,-3.38,-0.13,-0.13,-1.11
171,-1.33,5.29,2.19,-0.12,-0.02,-1.11
180,-0.66,2.60,2.18,-0.03,0.15,-1.08
189,-2.17,5.35,-2.97,-0.04,0.18,-1.10
198,0.44,4.27,-5.77,-0.10,-0.06,-1.10
207,-0.45,3.99,-0.61,-0.12,-0.11,-1.11
216,-0.57,2.41,4.14,-0.08,0.08,-1.09
225,-0.96,5.31,-1.37,-0.04,0.20,-1.09
234,-0.09,4.75,-5.53,-0.07,0.04,-1.09
243,-1.03,4.19,-2.33,-0.13,-0.13,-1.10
252,1.11,1.05,1.76,-0.10,-0.03,-1.09
261,-1.29,4.97,1.57,-0.02,0.18,-1.06
270,-1.67,4.71,-3.15,-0.06,0.16,-1.10
279,0.46,4.47,-5.05,-0.12,-0.09,-1.10
288,0.11,1.85,-0.08,-0.11,-0.11,-1.09
297,-0.85,3.16,4.06,-0.06,0.11,-1.09
306,0.16,4.22,-3.17,-0.02,0.23,-1.08
315,0.45,4.05,-5.69,-0.09,0.01,-1.09
324,-1.25,3.70,-1.98,-0.15,-0.15,-1.10
333,0.52,1.74,1.43,-0.07,0.00,-1.06
342,-1.39,5.46,0.71,-0.00,0.23,-1.07
351,-0.40,3.74,-4.04,-0.07,0.13,-1.09
360,1.09,3.59,-4.94,-0.14,-0.12,-1.09
369,0.06,0.63,0.33,-0.11,-0.11,-1.08
378,-2.53,5.64,4.11,-0.05,0.13,-1.08
387,1.89,2.71,-4.03,0.00,0.22,-1.07
396,1.22,2.90,-5.64,-0.10,-0.04,-1.10
405,-2.31,5.33,-0.45,-0.16,-0.13,-1.11
414,-0.58,3.40,1.10,-0.07,-0.01,-1.08
423,-1.78,4.64,0.60,0.00,0.26,-1.07
432,0.69,3.29,-5.12,-0.06,0.10,-1.09
441,0.78,4.13,-4.86,-0.13,-0.12,-1.11
450,-2.34,4.21,1.93,-0.13,-0.10,-1.09
