timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.23,5.38,-5.43,-0.12,-0.04,-1.12
9,-1.07,4.56,-1.63,-0.12,-0.10,-1.10
18,-3.42,3.64,5.36,-0.09,0.03,-1.09
27,-0.71,3.82,-1.09,-0.02,0.25,-1.10
36,1.20,4.29,-6.08,-0.05,0.06,-1.08
45,-1.70,4.83,-2.67,-0.14,-0.09,-1.11
54,0.60,2.86,1.94,-0.12,-0.06,-1.10
63,-1.04,3.06,1.92,-0.03,0.17,-1.08
72,-0.74,4.43,-2.80,-0.04,0.17,-1.09
81,1.10,3.89,-6.14,-0.10,-0.02,-1.10
90,0.52,2.55,0.08,-0.12,-0.16,-1.09
99,-0.98,3.06,3.69,-0.08,0.10,-1.12
108,0.14,2.89,-2.59,-0.03,0.22,-1.07
117,-0.19,5.24,-5.54,-0.06,0.05,-1.08
126,0.65,2.80,-2.72,-0.15,-0.15,-1.09
135,0.99,1.87,1.16,-0.09,-0.04,-1.08
144,-2.38,4.64,1.93,-0.02,0.19,-1.07
153,-0.98,3.85,-4.11,-0.05,0.15,-1.10
162,2.04,2.11,-6.18,-0.11,-0.07,-1.09
171,-0.68,2.41,0.63,-0.13,-0.12,-1.11
180,-2.70,4.92,3.65,-0.05,0.14,-1.09
189,0.04,4.36,-2.93,-0.01,0.20,-1.07
198,-0.79,5.46,-5.31,-0.08,0.02,-1.10
207,0.18,3.77,-2.30,-0.15,-0.17,-1.11
216,-1.61,4.28,2.08,-0.07,0.03,-1.08
225,-0.99,4.04,1.50,-0.02,0.20,-1.08
234,0.20,3.27,-4.79,-0.05,0.15,-1.11
243,0.14,3.08,-4.53,-0.12,-0.14,-1.10
252,-2.91,5.09,1.79,-0.13,-0.08,-1.12
261,-0.88,5.45,2.36,-0.03,0.12,-1.07
270,-0.93,5.26,-2.32,-0.01,0.21,-1.10
279,-0.88,5.14,-5.15,-0.10,-0.00,-1.11
288,-1.10,4.86,-3.31,-0.13,-0.11,-1.11
297,-2.09,4.42,2.82,-0.08,0.01,-1.09
306,-1.97,3.78,1.29,-0.02,0.24,-1.08
315,0.90,3.06,-5.61,-0.05,0.11,-1.07
324,-2.11,5.44,-3.64,-0.13,-0.10,-1.11
333,-3.28,5.96,2.20,-0.13,-0.07,-1.11
342,-1.15,4.04,1.51,-0.02,0.16,-1.07
351,-1.68,6.00,-2.12,-0.02,0.20,-1.09
360,-0.34,5.36,-5.50,-0.10,-0.04,-1.10
369,-1.33,4.84,-2.92,-0.12,-0.12,-1.11
378,-2.95,3.87,4.75,-0.09,0.03,-1.10
387,-1.29,3.48,-0.00,-0.02,0.25,-1.10
396,1.06,3.78,-5.91,-0.05,0.07,-1.06
