timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.56,2.06,-8.54,-0.16,-0.27,-1.07
9,-1.69,2.93,4.60,-0.18,-0.24,-1.09
18,-2.67,6.30,5.99,-0.02,0.21,-1.07
27,3.92,-1.04,-3.51,0.04,0.38,-1.06
36,0.13,3.00,-9.32,-0.12,-0.05,-1.10
45,-0.62,4.38,-2.50,-0.22,-0.34,-1.11
54,-3.54,4.81,6.49,-0.07,0.00,-1.07
63,0.28,2.71,0.93,0.04,0.39,-1.05
72,-0.18,4.78,-9.92,-0.02,0.16,-1.06
81,-2.33,5.15,-7.22,-0.17,-0.24,-1.11
90,-5.13,6.61,5.04,-0.17,-0.17,-1.12
99,-3.63,4.53,4.60,0.00,0.22,-1.05
108,1.56,1.48,-3.87,0.05,0.35,-1.05
117,-0.48,3.01,-9.47,-0.13,-0.05,-1.10
126,-1.09,4.58,-2.22,-0.21,-0.30,-1.12
135,-5.96,6.69,8.31,-0.07,0.05,-1.07
144,-0.84,3.66,2.78,0.04,0.37,-1.06
153,-1.16,5.76,-10.52,-0.01,0.18,-1.09
162,-1.94,6.03,-5.80,-0.17,-0.24,-1.12
171,-4.17,6.66,4.85,-0.16,-0.13,-1.13
180,-1.92,3.16,4.41,0.01,0.27,-1.07
189,-2.06,7.24,-4.77,0.03,0.34,-1.07
198,-0.67,4.50,-10.12,-0.12,-0.06,-1.12
207,-1.32,4.13,-0.36,-0.19,-0.27,-1.12
216,-4.31,4.33,8.07,-0.08,0.10,-1.10
225,-0.33,3.62,0.99,0.02,0.37,-1.06
234,-0.39,4.71,-9.09,-0.03,0.15,-1.09
243,1.05,4.11,-4.11,-0.16,-0.25,-1.12
252,-0.64,3.65,4.52,-0.13,-0.10,-1.10
261,-2.85,4.36,5.16,0.01,0.25,-1.07
270,-1.71,7.22,-4.57,0.01,0.33,-1.10
279,0.58,3.70,-10.06,-0.12,-0.10,-1.10
288,0.40,2.96,0.39,-0.18,-0.27,-1.11
297,-2.53,3.00,7.48,-0.08,0.12,-1.11
306,1.39,4.25,-0.28,0.03,0.36,-1.07
315,-0.71,5.02,-9.11,-0.06,0.07,-1.10
324,1.45,2.85,-3.46,-0.18,-0.30,-1.11
333,1.15,0.75,5.19,-0.10,-0.09,-1.08
342,-3.03,6.27,5.21,0.01,0.29,-1.07
351,-1.38,7.32,-6.28,-0.02,0.30,-1.10
360,2.60,1.83,-10.26,-0.14,-0.19,-1.09
369,-0.01,1.57,2.26,-0.17,-0.24,-1.09
378,-2.58,4.03,7.43,-0.04,0.16,-1.08
387,2.25,2.73,-1.64,0.04,0.40,-1.07
396,-0.45,4.16,-8.73,-0.10,-0.02,-1.10
405,0.94,2.75,-3.02,-0.20,-0.32,-1.09
414,0.41,1.90,5.30,-0.07,-0.02,-1.07
423,-1.69,4.63,3.63,0.04,0.38,-1.06
432,1.12,5.63,-7.32,-0.03,0.20,-1.08
441,2.73,1.50,-8.52,-0.17,-0.30,-1.07
450,-1.14,2.29,3.82,-0.18,-0.21,-1.11
459,-2.79,5.85,5.90,-0.01,0.20,-1.06
468,3.58,-0.99,-3.15,0.04,0.36,-1.06
477,-0.48,3.03,-8.89,-0.13,-0.06,-1.11
486,0.06,4.10,-3.08,-0.21,-0.31,-1.10
495,-2.83,4.99,6.06,-0.07,0.01,-1.08
504,-1.05,3.07,2.34,0.05,0.39,-1.07
513,0.78,3.17,-10.24,-0.01,0.19,-1.07
522,-2.89,5.17,-6.89,-0.18,-0.24,-1.12
531,-5.37,6.57,4.99,-0.17,-0.13,-1.12
540,-3.26,5.14,4.39,0.01,0.25,-1.05
549,-0.96,4.70,-3.60,0.03,0.34,-1.07
558,-2.60,5.74,-9.37,-0.12,-0.03,-1.13
567,-1.01,5.06,-3.57,-0.18,-0.26,-1.11
576,-6.51,6.17,7.82,-0.08,0.07,-1.09
585,-1.09,3.21,2.45,0.02,0.36,-1.08
594,-0.73,5.94,-10.24,-0.01,0.19,-1.08
603,-2.68,5.92,-5.71,-0.16,-0.21,-1.10
612,-3.60,6.39,4.15,-0.14,-0.09,-1.13
