timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.88,3.28,-2.69,-0.15,-0.14,-1.10
9,1.61,1.27,1.84,-0.10,-0.04,-1.09
18,-0.76,4.32,2.45,-0.03,0.16,-1.06
27,0.08,2.85,-3.84,-0.06,0.18,-1.10
36,2.26,1.53,-6.62,-0.12,-0.09,-1.10
45,-0.64,2.43,0.74,-0.12,-0.11,-1.09
54,-1.08,4.78,3.63,-0.06,0.10,-1.06
63,0.88,2.94,-2.99,-0.00,0.24,-1.09
72,-0.35,4.95,-5.05,-0.09,-0.01,-1.09
81,-0.30,3.48,-2.64,-0.15,-0.16,-1.11
90,-0.12,2.78,1.85,-0.07,0.00,-1.07
99,-1.92,4.30,0.92,-0.02,0.21,-1.07
108,0.81,2.95,-4.81,-0.05,0.12,-1.09
117,-0.81,3.17,-4.49,-0.12,-0.15,-1.08
126,-1.99,3.52,1.55,-0.14,-0.09,-1.11
135,-2.25,5.94,2.08,-0.05,0.10,-1.08
144,0.50,4.03,-3.14,-0.01,0.21,-1.08
153,-0.86,5.15,-5.13,-0.09,-0.00,-1.08
162,-0.56,3.60,-2.87,-0.14,-0.13,-1.11
171,-3.45,5.14,3.40,-0.08,-0.01,-1.09
180,-2.11,3.57,0.93,-0.02,0.24,-1.08
189,0.48,4.55,-6.33,-0.04,0.11,-1.09
198,-2.06,5.71,-3.85,-0.12,-0.11,-1.10
207,-3.61,5.99,1.81,-0.13,-0.07,-1.12
216,-1.13,4.21,0.59,-0.02,0.19,-1.09
225,-2.46,5.80,-2.21,-0.02,0.17,-1.09
234,-0.93,4.94,-5.45,-0.10,0.00,-1.12
243,-0.56,4.36,-3.15,-0.12,-0.11,-1.11
252,-4.63,5.64,4.89,-0.08,0.04,-1.09
261,-1.88,4.29,0.47,-0.03,0.22,-1.10
270,0.55,4.20,-6.34,-0.05,0.10,-1.09
279,-2.57,7.26,-3.31,-0.13,-0.09,-1.14
288,-2.78,6.47,1.98,-0.12,-0.04,-1.10
297,-0.09,2.70,0.99,-0.02,0.17,-1.09
306,-2.07,5.37,-2.30,-0.03,0.19,-1.09
315,-0.02,5.27,-5.14,-0.11,-0.04,-1.12
324,-1.43,5.14,-0.28,-0.12,-0.13,-1.10
333,-2.22,3.21,4.24,-0.08,0.11,-1.11
342,-0.66,4.31,-1.07,-0.02,0.22,-1.07
351,0.81,3.90,-6.56,-0.06,0.07,-1.08
360,-1.50,5.43,-1.48,-0.14,-0.11,-1.12
369,-0.35,5.23,2.22,-0.11,-0.04,-1.10
378,0.37,2.32,1.90,-0.02,0.15,-1.07
387,-1.15,4.16,-2.98,-0.05,0.18,-1.12
396,1.01,3.57,-5.51,-0.11,-0.05,-1.10
405,-0.05,3.76,0.25,-0.13,-0.15,-1.09
414,-0.62,1.65,4.34,-0.07,0.10,-1.10
423,0.96,4.10,-2.40,-0.01,0.22,-1.08
432,0.22,4.64,-5.37,-0.08,0.01,-1.09
441,0.69,3.00,-1.94,-0.15,-0.16,-1.10
450,1.88,0.92,1.81,-0.08,-0.00,-1.09
459,-0.62,4.43,2.25,-0.02,0.18,-1.07
468,-0.79,3.44,-3.49,-0.06,0.14,-1.10
477,2.40,1.87,-6.51,-0.12,-0.12,-1.10
486,-0.33,2.20,0.92,-0.12,-0.11,-1.10
495,-1.24,4.77,4.01,-0.05,0.10,-1.07
504,0.46,3.18,-3.24,-0.00,0.23,-1.08
513,-0.36,4.98,-5.37,-0.10,-0.01,-1.10
522,-0.40,3.75,-2.17,-0.15,-0.14,-1.10
531,0.30,2.29,1.36,-0.07,0.00,-1.07
540,-2.57,4.87,1.21,-0.01,0.26,-1.07
549,0.31,3.70,-4.60,-0.06,0.11,-1.09
558,-0.47,3.75,-4.82,-0.13,-0.11,-1.10
567,-2.23,3.81,0.96,-0.13,-0.09,-1.12
576,-2.48,5.89,2.45,-0.03,0.15,-1.08
585,-1.59,5.27,-2.16,-0.01,0.18,-1.08
594,-0.39,5.00,-5.50,-0.10,0.01,-1.10
603,-1.27,4.68,-1.41,-0.13,-0.12,-1.12
612,-4.63,5.01,4.83,-0.08,0.01,-1.10
621,-1.28,4.12,-0.26,-0.02,0.23,-1.09
630,0.11,4.73,-6.00,-0.04,0.10,-1.09
639,-1.35,5.42,-2.58,-0.12,-0.08,-1.12
648,-1.05,5.19,2.10,-0.13,-0.07,-1.12
657,-0.36,2.57,1.98,-0.03,0.19,-1.09
666,-1.69,5.18,-2.85,-0.02,0.18,-1.09
675,0.03,4.82,-5.17,-0.10,-0.02,-1.11
