timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.11,5.11,-4.56,-0.09,0.00,-1.09
9,-0.64,4.04,-2.26,-0.15,-0.16,-1.11
18,-1.36,4.24,1.87,-0.06,0.01,-1.07
27,-2.82,4.75,1.62,-0.02,0.22,-1.07
36,0.81,3.11,-5.53,-0.06,0.13,-1.10
45,0.21,2.83,-4.75,-0.12,-0.16,-1.08
54,-3.51,4.80,2.21,-0.13,-0.08,-1.11
63,-1.84,5.82,1.91,-0.05,0.14,-1.09
72,0.87,4.10,-3.66,-0.00,0.20,-1.06
81,-1.28,5.08,-4.81,-0.10,-0.00,-1.10
90,-1.02,4.30,-2.65,-0.14,-0.13,-1.11
99,-2.19,4.70,2.95,-0.07,0.05,-1.10
108,-2.42,4.81,1.31,-0.02,0.23,-1.09
117,0.69,3.77,-5.99,-0.05,0.10,-1.09
126,-1.70,5.77,-3.88,-0.12,-0.11,-1.11
135,-4.06,7.26,2.78,-0.13,-0.06,-1.12
144,-1.20,3.51,1.13,-0.03,0.18,-1.07
153,-1.46,5.57,-2.23,-0.02,0.18,-1.07
162,-0.62,4.88,-5.17,-0.11,-0.02,-1.10
171,-1.18,4.44,-1.86,-0.13,-0.12,-1.10
180,-2.55,3.93,4.71,-0.09,0.02,-1.09
189,-0.51,4.36,-0.37,-0.02,0.22,-1.10
198,0.63,4.39,-5.80,-0.05,0.08,-1.09
207,-1.48,5.28,-3.37,-0.13,-0.09,-1.12
216,-0.40,3.91,1.83,-0.11,-0.06,-1.12
225,-0.21,2.60,2.05,-0.03,0.17,-1.07
234,-1.78,4.87,-2.48,-0.04,0.18,-1.08
243,0.62,3.81,-5.81,-0.10,-0.02,-1.10
252,0.05,3.99,0.02,-0.13,-0.15,-1.11
261,-1.99,3.96,4.30,-0.08,0.10,-1.11
270,-0.73,4.06,-1.46,-0.02,0.21,-1.09
279,-0.17,4.80,-5.77,-0.07,0.06,-1.09
288,0.89,3.30,-2.70,-0.14,-0.14,-1.09
297,1.27,1.38,1.21,-0.10,-0.04,-1.10
306,-2.02,3.46,2.59,-0.03,0.16,-1.09
315,-0.92,4.03,-3.20,-0.06,0.16,-1.10
324,2.30,1.92,-6.63,-0.10,-0.08,-1.09
333,-0.56,2.65,0.35,-0.13,-0.11,-1.09
342,-1.26,4.16,3.02,-0.06,0.11,-1.10
351,0.93,4.22,-3.12,-0.01,0.21,-1.07
360,-0.88,5.51,-4.90,-0.09,0.02,-1.09
369,1.36,2.64,-2.77,-0.15,-0.16,-1.11
378,0.39,2.47,1.58,-0.07,-0.00,-1.07
387,-1.57,4.00,2.27,-0.03,0.20,-1.09
396,-0.06,2.93,-4.50,-0.06,0.15,-1.09
405,1.78,1.35,-5.71,-0.12,-0.14,-1.08
414,-2.06,3.69,1.73,-0.13,-0.07,-1.10
423,-1.35,5.24,2.35,-0.03,0.13,-1.06
432,0.09,4.51,-3.24,0.00,0.21,-1.06
441,-1.29,5.20,-4.49,-0.11,-0.01,-1.11
450,-0.40,3.58,-2.97,-0.14,-0.12,-1.12
459,-2.28,4.71,2.50,-0.06,0.04,-1.08
468,-2.05,4.23,1.31,-0.02,0.23,-1.11
477,1.09,2.93,-5.54,-0.05,0.11,-1.08
486,-1.03,4.09,-3.84,-0.13,-0.12,-1.09
495,-4.09,6.28,2.66,-0.14,-0.07,-1.12
504,-1.00,5.19,1.25,-0.02,0.16,-1.09
513,-0.19,4.66,-2.78,-0.00,0.18,-1.07
522,-1.16,4.86,-5.06,-0.11,-0.01,-1.12
531,-0.53,4.75,-3.07,-0.13,-0.11,-1.10
540,-2.84,5.13,3.73,-0.08,0.02,-1.10
549,-1.11,4.04,-0.22,-0.03,0.23,-1.09
558,1.29,3.59,-6.21,-0.05,0.09,-1.09
567,-1.72,5.61,-2.26,-0.13,-0.08,-1.13
576,-0.10,3.45,2.15,-0.13,-0.05,-1.13
585,-0.23,2.85,1.21,-0.02,0.17,-1.07
594,-1.14,5.02,-2.86,-0.03,0.19,-1.09
603,0.40,4.79,-5.28,-0.11,-0.04,-1.12
612,0.11,3.36,0.06,-0.12,-0.13,-1.09
621,-1.15,3.03,3.67,-0.08,0.10,-1.10
630,0.02,4.25,-1.74,-0.03,0.23,-1.09
639,0.62,4.14,-5.72,-0.06,0.06,-1.10
648,-0.06,3.27,-1.55,-0.14,-0.11,-1.11
657,1.37,1.12,1.67,-0.11,-0.05,-1.10
666,-1.24,4.38,1.91,-0.03,0.16,-1.08
675,-1.24,3.84,-3.30,-0.05,0.17,-1.10
684,1.89,2.41,-6.22,-0.11,-0.05,-1.09
693,-0.26,2.65,0.19,-0.12,-0.14,-1.11
702,-2.01,4.28,3.41,-0.06,0.11,-1.10
711,1.10,3.34,-3.17,-0.01,0.21,-1.07
720,-0.21,4.63,-5.16,-0.08,0.03,-1.09
729,0.65,2.63,-2.55,-0.15,-0.17,-1.10
738,-0.56,3.34,1.51,-0.07,-0.02,-1.09
747,-1.66,4.63,1.58,-0.02,0.20,-1.08
756,0.51,2.98,-4.75,-0.06,0.15,-1.10
765,0.53,2.91,-5.06,-0.12,-0.12,-1.09
774,-2.45,4.41,1.36,-0.12,-0.10,-1.10
783,-1.52,5.36,2.59,-0.04,0.14,-1.08
792,0.11,3.95,-3.00,-0.00,0.21,-1.09
801,-0.70,4.96,-5.05,-0.10,0.01,-1.11
810,-0.90,4.36,-3.02,-0.14,-0.14,-1.10
819,-2.58,4.64,2.60,-0.07,0.03,-1.09
828,-2.73,3.94,1.38,-0.02,0.24,-1.09
837,0.81,3.45,-5.88,-0.04,0.12,-1.08
846,-1.72,5.58,-3.92,-0.13,-0.12,-1.10
855,-4.08,6.87,2.33,-0.13,-0.07,-1.12
864,-1.70,4.39,1.52,-0.03,0.14,-1.08
873,-1.33,5.93,-2.14,-0.01,0.19,-1.08
882,-0.28,4.91,-5.31,-0.10,-0.01,-1.12
891,-1.32,4.80,-2.65,-0.13,-0.11,-1.11
900,-3.44,4.55,4.77,-0.09,0.01,-1.10
909,-1.23,3.51,-0.10,-0.02,0.24,-1.10
918,0.66,4.22,-5.87,-0.04,0.09,-1.07
927,-2.35,6.90,-3.38,-0.13,-0.07,-1.12
936,-1.49,5.31,1.63,-0.13,-0.07,-1.11
945,-0.52,3.43,1.12,-0.03,0.19,-1.08
954,-2.66,5.83,-1.57,-0.03,0.19,-1.08
963,-0.18,5.03,-5.76,-0.10,-0.02,-1.12
972,-0.76,4.27,-0.50,-0.12,-0.14,-1.10
981,-3.52,3.98,5.06,-0.09,0.08,-1.11
990,-1.26,3.93,-1.07,-0.03,0.22,-1.09
999,0.07,4.72,-5.79,-0.05,0.08,-1.06
1008,-1.02,4.61,-2.31,-0.14,-0.11,-1.11
1017,1.01,2.29,1.26,-0.11,-0.05,-1.10
1026,-1.33,3.69,2.17,-0.02,0.16,-1.06
1035,-1.62,4.49,-2.35,-0.06,0.16,-1.10
1044,1.36,3.55,-5.93,-0.10,-0.04,-1.09
1053,0.17,2.87,0.10,-0.12,-0.15,-1.09
1062,-1.34,3.28,3.83,-0.07,0.11,-1.10
1071,0.86,3.54,-3.15,-0.02,0.21,-1.08
1080,-0.07,4.82,-5.52,-0.07,0.03,-1.10
1089,0.31,3.39,-1.58,-0.15,-0.14,-1.11
1098,1.58,1.52,0.94,-0.08,-0.01,-1.07
1107,-1.09,4.16,1.81,-0.02,0.19,-1.08
1116,-0.74,3.26,-3.17,-0.06,0.15,-1.09
1125,2.55,1.89,-6.62,-0.11,-0.08,-1.09
1134,-0.88,2.74,0.88,-0.12,-0.12,-1.08
1143,-2.47,4.81,3.81,-0.05,0.14,-1.09
1152,0.93,3.61,-3.13,-0.00,0.20,-1.07
