timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.40,3.23,-4.97,-0.11,-0.08,-1.08
9,-1.99,4.95,0.99,-0.13,-0.12,-1.10
18,-0.98,4.01,2.58,-0.04,0.15,-1.07
27,-0.73,4.39,-1.78,-0.02,0.19,-1.06
36,-0.33,4.48,-5.47,-0.10,0.02,-1.11
45,0.51,2.82,-3.07,-0.14,-0.15,-1.08
54,-1.86,4.08,3.11,-0.08,0.05,-1.10
63,-0.65,3.78,1.25,-0.03,0.19,-1.07
72,0.83,2.97,-5.34,-0.04,0.14,-1.08
81,-0.93,4.30,-4.02,-0.13,-0.11,-1.08
90,-2.28,5.58,1.28,-0.13,-0.07,-1.11
99,-0.16,4.24,2.48,-0.03,0.11,-1.07
108,-0.59,4.57,-2.51,-0.02,0.21,-1.07
117,0.13,4.87,-5.52,-0.10,-0.02,-1.09
126,-1.02,4.13,-2.16,-0.13,-0.13,-1.09
135,-0.69,2.45,3.76,-0.09,0.01,-1.08
144,-0.63,3.07,-0.11,-0.02,0.23,-1.07
153,0.53,4.12,-5.23,-0.05,0.09,-1.07
162,-2.07,6.35,-3.21,-0.13,-0.10,-1.11
171,-0.99,3.58,1.04,-0.12,-0.07,-1.10
180,-1.55,3.82,1.88,-0.03,0.17,-1.08
189,-1.43,5.14,-1.91,-0.03,0.17,-1.08
198,0.16,5.15,-5.72,-0.10,-0.02,-1.10
207,-1.46,4.85,-0.94,-0.13,-0.13,-1.11
216,-2.57,3.34,4.59,-0.09,0.05,-1.10
225,-0.86,3.00,-0.70,-0.02,0.21,-1.09
234,-0.25,4.90,-5.22,-0.06,0.08,-1.09
243,-1.33,6.30,-3.23,-0.14,-0.11,-1.11
252,0.05,1.99,1.22,-0.10,-0.06,-1.09
261,-1.44,3.79,2.07,-0.03,0.18,-1.09
270,-0.80,4.58,-3.24,-0.04,0.16,-1.08
279,0.55,4.84,-5.73,-0.11,-0.04,-1.10
288,-0.86,3.97,-0.14,-0.13,-0.13,-1.09
297,-0.72,3.08,2.68,-0.07,0.10,-1.09
306,0.14,2.87,-1.98,-0.02,0.21,-1.06
315,-0.49,4.86,-5.42,-0.08,0.05,-1.09
324,-0.69,5.37,-2.37,-0.14,-0.12,-1.11
333,-0.01,2.34,1.59,-0.09,-0.05,-1.08
342,-2.58,4.73,2.08,-0.03,0.20,-1.08
351,-0.09,3.47,-4.29,-0.04,0.16,-1.09
360,1.02,3.61,-5.43,-0.11,-0.07,-1.10
369,-0.82,3.08,0.73,-0.14,-0.13,-1.09
378,-2.35,3.85,3.03,-0.04,0.15,-1.09
387,-0.04,3.31,-2.44,-0.00,0.22,-1.06
396,-0.68,4.98,-5.45,-0.08,0.03,-1.11
405,0.46,3.39,-2.71,-0.15,-0.16,-1.09
414,-1.96,4.92,2.45,-0.07,0.03,-1.08
423,-1.56,4.82,1.47,-0.02,0.20,-1.07
432,0.72,2.73,-5.15,-0.04,0.13,-1.07
441,1.03,2.73,-5.56,-0.13,-0.11,-1.10
450,-2.11,4.81,1.37,-0.14,-0.10,-1.08
459,-1.26,5.08,2.63,-0.04,0.11,-1.08
468,-0.34,4.10,-2.29,-0.01,0.21,-1.07
477,-0.35,4.93,-5.68,-0.09,0.00,-1.09
486,0.06,2.65,-2.77,-0.14,-0.14,-1.10
495,-1.89,4.50,2.43,-0.08,0.03,-1.09
504,-1.22,3.67,0.83,-0.01,0.22,-1.06
513,0.22,3.73,-4.98,-0.04,0.12,-1.08
522,-0.92,4.21,-4.15,-0.13,-0.11,-1.10
531,-3.18,6.53,1.60,-0.12,-0.06,-1.11
540,-1.37,4.21,2.53,-0.03,0.12,-1.05
549,-1.02,5.09,-2.25,-0.02,0.20,-1.07
558,-0.09,4.92,-5.70,-0.10,-0.02,-1.10
567,-1.73,5.08,-0.97,-0.13,-0.12,-1.10
576,-3.00,4.82,5.05,-0.09,-0.00,-1.10
585,-1.11,3.68,-0.85,-0.01,0.24,-1.08
594,-0.29,5.05,-5.13,-0.05,0.09,-1.08
603,-0.45,5.02,-3.68,-0.13,-0.10,-1.11
612,0.33,1.75,1.64,-0.11,-0.07,-1.09
621,-2.39,4.16,2.40,-0.04,0.19,-1.09
630,-0.55,4.37,-3.78,-0.03,0.18,-1.09
639,0.88,3.85,-5.81,-0.10,-0.04,-1.09
648,-1.03,4.06,0.40,-0.13,-0.12,-1.10
657,-1.45,4.60,2.36,-0.08,0.09,-1.10
666,-0.64,4.66,-2.06,-0.02,0.21,-1.07
675,-1.02,5.28,-5.40,-0.07,0.08,-1.09
684,1.05,3.22,-2.78,-0.14,-0.12,-1.11
693,-0.97,3.91,2.54,-0.10,-0.07,-1.07
702,-1.74,4.52,2.24,-0.03,0.20,-1.08
711,0.32,2.39,-4.92,-0.04,0.18,-1.09
720,1.08,2.08,-5.23,-0.11,-0.08,-1.09
729,-1.39,4.28,0.72,-0.14,-0.13,-1.10
738,-1.87,4.98,2.76,-0.05,0.13,-1.09
747,-1.41,5.57,-2.11,-0.01,0.22,-1.06
756,-0.68,4.88,-5.43,-0.09,0.03,-1.08
765,1.17,2.07,-3.12,-0.15,-0.15,-1.10
774,-2.18,5.19,3.00,-0.08,-0.01,-1.09
783,-1.23,4.36,1.50,-0.02,0.20,-1.06
792,0.79,2.60,-5.28,-0.04,0.16,-1.08
801,0.78,1.77,-5.12,-0.11,-0.10,-1.10
810,-2.70,5.84,2.00,-0.14,-0.11,-1.10
