timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.02,4.07,-3.03,-0.01,0.18,-1.07
9,-0.47,4.84,-5.23,-0.10,-0.01,-1.10
18,-0.25,4.54,-1.94,-0.15,-0.13,-1.11
27,-4.14,5.92,4.70,-0.08,0.04,-1.10
36,-1.65,3.36,0.24,-0.01,0.22,-1.08
45,0.76,4.38,-6.14,-0.04,0.10,-1.08
54,-0.21,3.33,-3.73,-0.13,-0.12,-1.11
63,-2.89,6.39,2.52,-0.14,-0.03,-1.13
72,-0.17,2.36,1.82,-0.03,0.16,-1.09
81,-1.40,4.85,-2.72,-0.03,0.18,-1.09
90,-0.46,4.96,-5.31,-0.11,-0.03,-1.10
99,0.24,4.55,-1.32,-0.13,-0.14,-1.12
108,-0.43,2.66,4.16,-0.08,0.07,-1.09
117,-1.77,4.73,-0.54,-0.03,0.21,-1.08
126,0.21,4.95,-5.74,-0.06,0.08,-1.08
135,0.00,3.41,-2.76,-0.13,-0.14,-1.11
144,0.20,1.54,2.25,-0.12,-0.03,-1.13
153,-0.36,3.70,1.59,-0.03,0.15,-1.07
162,-1.81,4.51,-3.05,-0.04,0.18,-1.10
171,0.43,4.20,-4.81,-0.12,-0.07,-1.10
180,0.06,3.61,-0.60,-0.12,-0.11,-1.11
189,-0.28,2.32,4.17,-0.06,0.08,-1.08
198,-1.17,5.48,-2.71,-0.03,0.23,-1.10
207,0.68,4.72,-6.11,-0.08,0.02,-1.09
216,-0.88,3.61,-1.89,-0.13,-0.14,-1.12
225,1.04,-0.08,2.06,-0.09,-0.01,-1.10
234,-1.27,5.23,0.87,-0.02,0.19,-1.06
243,-0.09,3.83,-3.56,-0.06,0.14,-1.10
252,0.45,4.01,-4.88,-0.13,-0.09,-1.12
261,1.00,0.66,-0.38,-0.11,-0.12,-1.08
270,-2.44,6.32,3.73,-0.04,0.11,-1.07
279,0.17,3.91,-2.44,-0.01,0.23,-1.10
288,0.45,4.05,-5.65,-0.09,-0.01,-1.11
297,-1.26,3.83,-1.42,-0.15,-0.15,-1.11
306,-1.45,3.70,1.19,-0.07,0.02,-1.08
315,-1.63,4.31,0.75,-0.00,0.25,-1.08
324,0.20,3.79,-4.58,-0.05,0.12,-1.08
333,-0.10,4.21,-4.52,-0.14,-0.11,-1.10
342,-1.98,4.49,1.18,-0.12,-0.11,-1.09
351,-2.86,5.44,2.57,-0.03,0.16,-1.09
360,0.36,3.80,-2.71,-0.01,0.20,-1.08
369,0.34,3.56,-5.98,-0.10,-0.02,-1.10
378,-0.98,4.32,-1.24,-0.15,-0.15,-1.10
387,-3.62,6.09,3.62,-0.08,0.03,-1.07
396,-0.80,3.34,0.55,-0.01,0.24,-1.08
405,1.17,3.69,-6.32,-0.04,0.11,-1.08
414,-0.11,4.44,-4.12,-0.13,-0.12,-1.11
423,-5.02,8.63,3.57,-0.13,-0.05,-1.12
432,-0.47,2.21,1.59,-0.03,0.17,-1.09
441,-0.57,4.47,-3.09,-0.02,0.18,-1.09
450,0.39,3.77,-6.00,-0.10,-0.02,-1.10
459,-0.48,4.27,-1.24,-0.13,-0.13,-1.11
468,-3.08,4.38,4.94,-0.09,0.06,-1.09
477,-1.05,3.89,-0.44,-0.02,0.22,-1.09
486,0.38,4.40,-6.27,-0.05,0.08,-1.08
495,-0.58,4.29,-3.35,-0.13,-0.12,-1.11
504,-0.85,4.83,1.85,-0.12,-0.04,-1.11
513,-0.83,3.13,2.24,-0.03,0.15,-1.08
522,-2.24,5.20,-2.24,-0.05,0.18,-1.11
531,0.39,4.19,-5.91,-0.10,-0.05,-1.10
540,-0.09,4.07,-1.14,-0.12,-0.12,-1.09
549,-0.42,2.28,4.23,-0.07,0.08,-1.09
558,-1.20,5.00,-0.94,-0.03,0.20,-1.09
567,-0.30,4.63,-5.48,-0.07,0.05,-1.09
576,-0.90,4.07,-2.59,-0.14,-0.13,-1.12
585,1.44,0.52,1.60,-0.09,-0.04,-1.08
594,-2.27,5.14,1.36,-0.02,0.19,-1.08
603,0.22,3.35,-4.45,-0.06,0.16,-1.10
612,0.54,4.12,-5.32,-0.12,-0.10,-1.10
621,-0.92,1.95,0.75,-0.11,-0.11,-1.09
630,-2.88,5.65,2.90,-0.05,0.12,-1.07
639,0.88,3.95,-2.85,-0.01,0.22,-1.09
648,-0.57,4.09,-5.25,-0.09,-0.01,-1.08
657,-1.42,4.82,-1.37,-0.15,-0.13,-1.11
666,-2.21,5.63,2.03,-0.06,0.00,-1.06
675,-1.48,3.59,0.50,-0.01,0.25,-1.08
684,0.16,4.11,-5.13,-0.06,0.11,-1.08
693,0.01,4.31,-5.02,-0.13,-0.11,-1.11
702,-3.17,5.09,2.69,-0.12,-0.12,-1.09
711,-2.61,4.05,1.84,-0.04,0.17,-1.10
720,1.20,3.56,-3.45,-0.00,0.19,-1.07
729,-0.86,4.43,-5.33,-0.09,-0.01,-1.10
738,-1.30,4.94,-1.21,-0.16,-0.13,-1.13
747,-3.98,6.83,3.07,-0.07,0.04,-1.08
756,-2.07,3.74,0.52,-0.01,0.23,-1.08
765,-0.23,4.77,-6.14,-0.05,0.11,-1.09
774,0.56,3.99,-4.73,-0.13,-0.12,-1.11
783,-4.76,8.39,3.75,-0.13,-0.06,-1.11
792,-0.16,1.49,2.09,-0.04,0.19,-1.09
801,-0.68,4.14,-3.40,-0.01,0.19,-1.08
810,-0.30,4.04,-5.41,-0.09,-0.01,-1.09
819,-0.75,5.04,-0.78,-0.14,-0.13,-1.12
828,-0.59,3.52,3.40,-0.08,0.07,-1.10
837,-2.25,5.26,0.22,-0.03,0.21,-1.09
846,-0.13,5.13,-5.78,-0.05,0.10,-1.09
855,0.43,3.99,-4.12,-0.12,-0.13,-1.11
864,-0.91,3.87,2.47,-0.12,-0.03,-1.12
873,-1.29,2.91,2.59,-0.04,0.14,-1.10
882,-1.11,3.77,-3.48,-0.04,0.18,-1.10
891,-0.40,4.25,-5.06,-0.10,-0.05,-1.09
900,-0.13,3.42,-0.72,-0.13,-0.13,-1.10
909,-0.06,2.20,3.79,-0.07,0.06,-1.11
918,-1.32,5.22,-1.81,-0.03,0.20,-1.10
927,-0.68,5.84,-5.47,-0.07,0.05,-1.10
936,-0.09,4.13,-2.93,-0.12,-0.13,-1.10
945,0.73,0.69,2.46,-0.09,-0.04,-1.09
954,-1.07,4.68,1.92,-0.03,0.18,-1.07
963,-0.32,3.15,-3.78,-0.05,0.16,-1.11
972,-0.17,3.97,-4.75,-0.12,-0.08,-1.12
981,0.27,1.07,0.16,-0.12,-0.11,-1.10
990,-1.26,5.33,2.97,-0.05,0.12,-1.09
999,-0.97,5.30,-2.04,-0.01,0.23,-1.09
1008,-0.99,5.38,-5.05,-0.09,0.01,-1.09
1017,-0.36,3.79,-2.54,-0.14,-0.14,-1.12
1026,-0.80,3.25,1.28,-0.07,0.01,-1.08
1035,-2.11,4.45,1.31,-0.01,0.23,-1.07
1044,0.70,2.87,-4.54,-0.06,0.12,-1.10
1053,0.20,3.70,-4.66,-0.13,-0.10,-1.12
1062,-1.24,3.25,0.70,-0.12,-0.12,-1.10
1071,-2.72,5.49,2.29,-0.03,0.14,-1.09
1080,0.13,4.24,-2.33,-0.01,0.20,-1.06
1089,-0.64,4.68,-5.20,-0.10,-0.00,-1.11
1098,-0.39,3.86,-2.09,-0.15,-0.15,-1.12
1107,-3.67,5.99,3.48,-0.08,0.01,-1.09
1116,-1.26,2.91,0.83,-0.02,0.24,-1.09
1125,1.01,3.78,-5.74,-0.04,0.11,-1.09
1134,0.16,3.63,-4.41,-0.13,-0.12,-1.10
1143,-5.17,8.02,3.91,-0.13,-0.05,-1.12
1152,-0.55,2.35,1.29,-0.03,0.19,-1.09
1161,-0.52,4.84,-2.74,-0.01,0.19,-1.07
1170,-0.73,4.94,-5.18,-0.10,-0.01,-1.12
1179,-0.23,4.19,-1.42,-0.14,-0.14,-1.12
1188,-3.76,5.86,4.36,-0.08,0.07,-1.10
1197,-1.41,3.99,0.25,-0.02,0.22,-1.08
1206,0.76,4.70,-6.45,-0.05,0.09,-1.08
1215,-0.04,3.49,-3.92,-0.13,-0.12,-1.11
1224,-4.38,8.15,3.76,-0.14,-0.02,-1.12
1233,0.25,1.44,1.68,-0.03,0.15,-1.09
1242,-0.94,4.20,-2.64,-0.03,0.19,-1.09
1251,-0.79,4.79,-4.76,-0.11,-0.05,-1.09
1260,-0.04,4.71,-1.35,-0.12,-0.13,-1.09
1269,-0.53,2.93,3.80,-0.07,0.07,-1.10
1278,-1.85,5.50,0.35,-0.03,0.21,-1.09
1287,0.07,4.91,-5.88,-0.06,0.05,-1.09
1296,-0.21,3.88,-3.70,-0.13,-0.13,-1.11
1305,-0.41,2.80,2.60,-0.11,-0.03,-1.12
1314,-0.18,3.33,2.09,-0.03,0.16,-1.07
1323,-1.15,3.63,-3.41,-0.04,0.18,-1.09
1332,-0.45,4.71,-4.66,-0.12,-0.08,-1.10
1341,0.29,3.32,-0.89,-0.12,-0.11,-1.09
1350,-0.45,3.02,3.85,-0.05,0.09,-1.08
1359,-1.95,5.48,-1.69,-0.03,0.24,-1.09
1368,0.35,5.03,-5.93,-0.08,0.01,-1.10
1377,-0.16,3.45,-2.62,-0.13,-0.14,-1.11
1386,0.11,0.59,2.91,-0.08,-0.00,-1.08
1395,-1.48,4.33,0.32,-0.01,0.23,-1.07
1404,0.10,3.99,-4.96,-0.05,0.13,-1.09
1413,0.00,4.34,-4.64,-0.13,-0.10,-1.10
1422,-1.82,4.47,1.15,-0.12,-0.12,-1.08
1431,-3.20,5.46,2.37,-0.03,0.12,-1.08
1440,0.03,3.92,-2.41,-0.01,0.21,-1.08
1449,0.23,3.15,-6.03,-0.10,-0.00,-1.12
1458,-1.23,3.88,-1.48,-0.16,-0.15,-1.10
1467,-4.45,6.39,3.85,-0.08,0.01,-1.09
1476,-0.81,3.33,0.48,-0.00,0.26,-1.09
1485,0.63,4.17,-5.83,-0.05,0.11,-1.09
1494,0.08,4.48,-4.21,-0.14,-0.12,-1.10
1503,-4.30,8.53,3.39,-0.13,-0.09,-1.11
1512,-0.23,1.92,1.60,-0.02,0.20,-1.09
1521,-0.94,4.32,-2.55,-0.01,0.19,-1.07
1530,0.81,3.28,-6.01,-0.10,-0.01,-1.10
1539,-0.40,3.97,-1.14,-0.14,-0.15,-1.10
1548,-3.25,4.64,4.84,-0.09,0.06,-1.11
1557,-1.34,3.64,-0.17,-0.02,0.22,-1.09
1566,0.40,4.46,-6.24,-0.04,0.10,-1.08
1575,-0.32,4.81,-3.54,-0.13,-0.12,-1.10
1584,-1.06,5.07,1.80,-0.13,-0.04,-1.13
1593,-1.16,2.90,2.60,-0.04,0.14,-1.07
1602,-1.58,4.46,-2.79,-0.03,0.20,-1.09
1611,0.73,4.03,-5.94,-0.10,-0.04,-1.09
1620,-0.59,3.76,-0.92,-0.13,-0.12,-1.10
1629,-0.57,2.31,4.15,-0.09,0.06,-1.11
1638,-0.23,4.60,-1.93,-0.03,0.21,-1.10
1647,-0.48,4.81,-5.47,-0.06,0.06,-1.08
1656,-0.85,4.55,-2.74,-0.14,-0.13,-1.11
1665,1.36,0.33,1.61,-0.10,-0.05,-1.10
1674,-1.06,4.45,2.08,-0.03,0.16,-1.08
1683,-1.47,3.85,-3.65,-0.05,0.17,-1.11
1692,0.71,4.29,-5.35,-0.11,-0.08,-1.11
1701,0.26,2.26,-0.18,-0.12,-0.11,-1.09
1710,-1.09,3.95,3.81,-0.06,0.10,-1.09
1719,-0.21,4.13,-2.69,-0.02,0.22,-1.09
1728,0.11,4.05,-5.57,-0.08,0.02,-1.10
1737,-0.86,4.37,-2.12,-0.14,-0.13,-1.11
1746,1.05,0.80,1.52,-0.08,-0.01,-1.07
1755,-2.11,5.37,1.42,-0.02,0.21,-1.07
1764,-0.37,3.92,-4.25,-0.06,0.14,-1.10
1773,0.53,4.31,-5.33,-0.12,-0.10,-1.11
1782,0.30,0.78,-0.17,-0.11,-0.12,-1.08
1791,-3.68,6.19,3.78,-0.05,0.11,-1.09
