timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.85,3.61,2.63,-0.04,0.12,-1.08
9,-1.21,4.83,-2.25,-0.01,0.22,-1.08
18,-0.58,5.12,-5.47,-0.09,0.02,-1.10
27,1.01,2.50,-3.75,-0.14,-0.14,-1.09
36,-1.55,4.47,2.80,-0.08,0.04,-1.09
45,-1.56,4.26,1.13,-0.03,0.21,-1.09
54,0.57,2.74,-5.20,-0.03,0.12,-1.08
63,0.10,1.94,-4.75,-0.12,-0.10,-1.09
72,-2.60,5.81,1.74,-0.13,-0.07,-1.11
81,-0.65,4.58,2.41,-0.04,0.10,-1.07
90,-2.09,6.31,-2.16,-0.02,0.22,-1.07
99,-0.26,5.54,-5.97,-0.10,-0.01,-1.09
108,0.10,3.89,-2.74,-0.13,-0.13,-1.09
117,-0.98,3.77,3.73,-0.09,-0.00,-1.09
126,-1.15,3.43,0.37,-0.02,0.24,-1.08
135,0.55,3.12,-5.25,-0.05,0.09,-1.07
144,-0.94,3.50,-3.60,-0.13,-0.11,-1.12
153,-1.51,4.57,1.21,-0.12,-0.06,-1.11
162,-2.06,4.46,2.37,-0.04,0.18,-1.08
171,-2.02,6.75,-2.15,-0.03,0.18,-1.08
180,0.15,5.61,-6.25,-0.09,-0.03,-1.08
189,-1.07,4.99,-1.46,-0.13,-0.13,-1.10
198,-2.85,3.96,5.01,-0.09,0.06,-1.09
207,-1.01,2.95,-0.57,-0.02,0.22,-1.07
216,-0.28,3.75,-4.57,-0.07,0.09,-1.08
225,-0.57,4.24,-3.43,-0.13,-0.10,-1.12
234,0.03,2.58,1.25,-0.11,-0.07,-1.09
243,-1.80,4.18,2.58,-0.04,0.17,-1.09
252,-1.23,5.85,-2.58,-0.05,0.16,-1.09
261,0.81,4.36,-5.74,-0.10,-0.05,-1.09
270,-1.40,4.98,-0.15,-0.13,-0.12,-1.10
279,-1.66,3.78,2.89,-0.06,0.09,-1.10
288,-0.39,3.39,-1.13,-0.02,0.20,-1.07
297,-0.44,4.10,-5.04,-0.08,0.05,-1.10
306,0.57,2.92,-3.42,-0.14,-0.13,-1.11
315,-2.06,4.73,2.92,-0.09,-0.06,-1.09
324,-0.91,4.56,1.74,-0.03,0.21,-1.09
333,0.98,2.90,-5.29,-0.04,0.16,-1.09
342,0.11,3.29,-4.68,-0.11,-0.09,-1.08
351,-1.75,4.83,0.94,-0.14,-0.13,-1.11
360,-0.31,3.45,2.46,-0.04,0.13,-1.07
369,-1.04,3.76,-1.32,-0.02,0.20,-1.07
378,-0.21,4.43,-5.31,-0.10,0.03,-1.10
387,0.34,2.81,-3.49,-0.13,-0.15,-1.09
396,-1.24,3.64,2.90,-0.08,0.02,-1.10
405,-1.11,4.05,0.94,-0.03,0.18,-1.08
414,1.30,3.00,-5.51,-0.04,0.15,-1.09
423,-1.22,4.47,-3.86,-0.12,-0.11,-1.11
432,-1.90,4.81,1.06,-0.13,-0.08,-1.10
441,-0.59,3.83,2.63,-0.04,0.08,-1.07
450,-0.19,4.21,-2.14,-0.02,0.22,-1.09
459,0.20,5.29,-5.54,-0.10,-0.02,-1.09
468,-0.97,3.94,-2.39,-0.13,-0.12,-1.10
477,-0.59,2.70,3.80,-0.08,0.02,-1.08
486,-0.72,3.23,-0.39,-0.02,0.24,-1.08
495,0.71,3.57,-4.81,-0.05,0.10,-1.07
504,-2.12,5.70,-3.21,-0.13,-0.10,-1.11
513,-0.53,3.12,0.73,-0.12,-0.08,-1.10
522,-2.15,4.48,2.23,-0.03,0.12,-1.06
531,-1.05,4.92,-2.18,-0.03,0.18,-1.09
540,0.03,5.63,-5.76,-0.10,-0.03,-1.09
549,-1.57,4.88,-0.97,-0.13,-0.13,-1.09
558,-3.13,4.51,5.08,-0.09,0.02,-1.10
567,-0.13,2.41,-0.81,-0.01,0.23,-1.08
576,0.03,3.65,-4.70,-0.06,0.08,-1.07
585,-1.63,5.71,-2.96,-0.14,-0.11,-1.11
594,0.03,2.13,0.91,-0.11,-0.07,-1.09
603,-1.66,4.26,2.19,-0.03,0.20,-1.09
612,-0.29,4.80,-3.33,-0.04,0.16,-1.08
621,0.45,5.21,-5.78,-0.11,-0.04,-1.09
630,-1.13,4.17,0.07,-0.13,-0.13,-1.10
639,-1.54,4.07,2.81,-0.08,0.09,-1.08
648,-0.21,2.41,-1.40,-0.02,0.21,-1.07
657,-0.60,4.50,-4.99,-0.07,0.07,-1.09
666,0.05,4.62,-3.18,-0.14,-0.12,-1.11
675,-0.40,2.93,1.57,-0.10,-0.06,-1.08
684,-2.52,4.64,2.17,-0.03,0.19,-1.09
693,0.28,3.80,-4.44,-0.05,0.15,-1.10
702,0.62,4.07,-5.34,-0.11,-0.06,-1.09
711,-0.80,3.22,0.40,-0.13,-0.14,-1.09
720,-1.83,3.42,2.82,-0.05,0.12,-1.11
729,-0.34,3.90,-1.43,-0.02,0.20,-1.06
738,-0.45,4.59,-5.60,-0.08,0.05,-1.10
747,0.36,3.64,-2.80,-0.14,-0.16,-1.10
756,-1.89,4.11,2.34,-0.08,0.00,-1.08
765,-1.12,4.84,1.51,-0.02,0.19,-1.08
774,0.78,2.82,-4.96,-0.04,0.15,-1.08
783,0.45,2.95,-5.02,-0.12,-0.09,-1.08
792,-1.40,3.86,0.78,-0.13,-0.11,-1.09
801,-1.11,4.76,2.56,-0.04,0.11,-1.07
810,-0.16,3.44,-2.20,-0.01,0.22,-1.06
819,-0.52,5.17,-5.69,-0.09,0.02,-1.09
828,0.17,2.93,-3.05,-0.14,-0.15,-1.10
