timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.67,7.20,1.87,-0.12,-0.10,-1.09
9,-1.37,3.74,2.39,-0.03,0.11,-1.07
18,0.45,3.29,-2.50,-0.01,0.22,-1.07
27,-0.01,4.17,-5.54,-0.10,-0.01,-1.11
36,-1.07,3.71,-2.09,-0.15,-0.15,-1.11
45,-2.40,4.30,4.29,-0.08,0.01,-1.09
54,-0.26,2.77,0.43,-0.01,0.24,-1.09
63,1.14,4.13,-6.07,-0.04,0.11,-1.08
72,-0.78,5.01,-4.10,-0.13,-0.11,-1.12
82,0.15,2.18,1.72,-0.12,-0.07,-1.11
91,-2.04,3.88,2.54,-0.04,0.16,-1.09
100,-0.97,4.55,-3.93,-0.05,0.17,-1.09
110,0.15,4.75,-5.40,-0.11,-0.08,-1.10
120,-2.92,5.98,1.10,-0.13,-0.11,-1.11
129,-1.45,4.76,2.37,-0.04,0.11,-1.08
138,0.79,3.39,-2.64,-0.00,0.23,-1.07
147,0.02,3.89,-5.29,-0.10,0.02,-1.11
156,-0.30,3.11,-2.53,-0.14,-0.15,-1.11
165,-2.60,5.10,3.54,-0.08,0.01,-1.09
174,-0.44,2.85,0.59,-0.01,0.25,-1.08
183,1.01,3.60,-5.57,-0.04,0.13,-1.09
192,-0.74,4.93,-4.54,-0.13,-0.11,-1.11
201,-4.28,7.60,2.55,-0.14,-0.08,-1.13
210,-1.81,3.58,2.46,-0.03,0.16,-1.10
219,-0.49,4.14,-2.57,-0.00,0.22,-1.08
228,0.15,4.51,-6.25,-0.09,0.00,-1.11
237,-1.11,4.29,-1.82,-0.15,-0.14,-1.11
246,-3.63,5.04,5.43,-0.10,0.00,-1.11
255,-0.61,2.76,0.00,-0.01,0.22,-1.08
264,0.24,4.57,-5.60,-0.04,0.11,-1.07
273,0.00,4.00,-4.00,-0.13,-0.10,-1.10
282,-1.81,5.23,1.85,-0.13,-0.07,-1.09
291,-1.34,3.46,2.52,-0.04,0.16,-1.08
300,-1.08,5.04,-2.39,-0.02,0.20,-1.08
309,0.62,4.65,-6.11,-0.09,-0.01,-1.09
318,-1.15,5.19,-0.73,-0.14,-0.13,-1.12
327,-1.08,3.80,3.72,-0.10,0.05,-1.10
336,-1.37,4.09,-0.83,-0.02,0.22,-1.09
345,-0.69,4.66,-4.98,-0.05,0.08,-1.09
354,0.49,3.47,-4.09,-0.13,-0.10,-1.11
363,0.29,1.79,1.89,-0.11,-0.08,-1.10
372,-3.10,4.82,3.23,-0.04,0.17,-1.08
381,-1.74,4.85,-3.50,-0.04,0.17,-1.09
390,0.39,4.57,-5.94,-0.09,-0.04,-1.10
399,-1.06,4.94,-0.18,-0.13,-0.12,-1.11
408,-0.97,4.31,2.64,-0.07,0.08,-1.11
417,-1.28,5.18,-1.19,-0.02,0.20,-1.08
426,-0.40,3.65,-5.29,-0.07,0.06,-1.12
435,0.53,2.68,-3.42,-0.13,-0.12,-1.11
444,-0.46,1.99,2.09,-0.09,-0.04,-1.08
453,-1.58,4.83,2.50,-0.03,0.19,-1.10
462,-0.55,4.24,-3.77,-0.05,0.16,-1.10
471,-0.24,4.50,-5.34,-0.11,-0.08,-1.09
480,-0.81,3.53,-0.25,-0.13,-0.12,-1.08
489,-1.61,5.00,2.81,-0.04,0.13,-1.09
498,-1.03,5.05,-1.75,-0.01,0.22,-1.09
507,-0.58,3.65,-5.11,-0.09,0.02,-1.10
516,0.05,2.52,-2.61,-0.14,-0.14,-1.10
525,-1.58,3.17,2.03,-0.07,0.03,-1.09
534,-0.96,3.53,1.40,-0.02,0.21,-1.09
543,0.63,4.52,-4.50,-0.05,0.13,-1.08
552,-0.31,4.67,-4.79,-0.13,-0.11,-1.10
561,-1.95,5.36,0.91,-0.13,-0.11,-1.11
570,-0.77,4.75,2.30,-0.03,0.11,-1.09
579,0.65,3.38,-2.41,-0.01,0.22,-1.07
