timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.07,4.73,-5.87,-0.06,0.07,-1.08
9,-0.97,4.81,-2.34,-0.14,-0.12,-1.10
18,0.91,2.49,1.65,-0.10,-0.06,-1.09
27,-1.50,3.44,2.60,-0.03,0.17,-1.08
36,-1.22,4.19,-2.74,-0.05,0.17,-1.11
45,1.37,2.84,-5.93,-0.10,-0.06,-1.10
54,-0.21,3.07,0.20,-0.13,-0.14,-1.09
63,-1.00,3.39,3.24,-0.06,0.12,-1.09
72,0.13,4.40,-1.77,-0.01,0.21,-1.08
81,-0.44,4.88,-5.16,-0.08,0.02,-1.09
90,1.07,2.94,-2.73,-0.15,-0.16,-1.10
99,1.24,1.98,1.21,-0.07,-0.01,-1.07
108,-1.21,3.92,2.47,-0.03,0.20,-1.07
117,-0.54,2.64,-3.74,-0.06,0.15,-1.10
126,2.52,1.20,-6.42,-0.12,-0.11,-1.09
135,-0.96,2.87,0.96,-0.13,-0.10,-1.11
144,-1.70,4.40,3.41,-0.05,0.13,-1.06
153,0.78,3.79,-3.17,-0.01,0.21,-1.07
162,-0.51,4.89,-4.93,-0.10,0.01,-1.10
171,-0.64,3.92,-3.39,-0.14,-0.15,-1.11
180,-2.53,4.58,3.86,-0.07,0.03,-1.08
189,-2.00,3.32,1.20,-0.02,0.22,-1.08
198,0.62,3.94,-5.93,-0.05,0.12,-1.08
207,-2.05,5.29,-3.64,-0.12,-0.16,-1.08
216,-4.52,6.79,2.59,-0.13,-0.06,-1.11
225,-1.09,3.75,0.97,-0.03,0.13,-1.08
234,-1.22,5.62,-2.43,-0.01,0.19,-1.07
243,-0.92,5.24,-5.24,-0.11,-0.02,-1.10
252,-0.94,4.64,-2.64,-0.13,-0.11,-1.13
261,-3.76,5.08,4.95,-0.08,-0.00,-1.08
270,-0.88,4.01,0.31,-0.02,0.24,-1.09
279,0.79,4.15,-5.97,-0.05,0.09,-1.07
288,-2.09,6.28,-3.33,-0.13,-0.10,-1.10
297,-1.66,5.18,1.86,-0.13,-0.05,-1.11
306,-0.02,2.93,1.41,-0.02,0.19,-1.08
315,-1.37,5.34,-3.05,-0.02,0.18,-1.08
324,-0.24,5.20,-5.01,-0.10,-0.02,-1.11
333,-0.45,4.58,-0.51,-0.13,-0.12,-1.11
342,-1.69,3.76,3.78,-0.08,0.09,-1.10
351,-0.84,4.54,-1.04,-0.02,0.21,-1.08
360,0.34,4.35,-5.92,-0.06,0.08,-1.09
369,-0.33,3.71,-2.69,-0.13,-0.11,-1.11
378,0.88,2.05,2.09,-0.11,-0.05,-1.09
387,-0.90,3.06,2.18,-0.03,0.14,-1.08
396,-0.90,3.61,-3.26,-0.04,0.17,-1.11
405,1.34,2.75,-5.75,-0.11,-0.04,-1.11
414,0.56,2.95,-0.30,-0.13,-0.14,-1.10
423,-0.65,3.22,3.24,-0.07,0.09,-1.10
432,0.62,3.71,-2.45,-0.02,0.21,-1.08
441,-0.22,5.02,-5.36,-0.07,0.04,-1.09
450,1.40,2.56,-3.07,-0.14,-0.14,-1.10
459,0.84,1.78,1.96,-0.09,-0.04,-1.09
468,-1.45,3.62,1.95,-0.03,0.19,-1.07
477,-0.48,3.13,-4.16,-0.05,0.16,-1.08
486,1.59,1.76,-5.79,-0.11,-0.08,-1.09
495,-1.30,3.31,1.05,-0.13,-0.11,-1.10
504,-0.95,4.09,2.55,-0.04,0.13,-1.08
513,-0.73,4.20,-2.82,-0.02,0.19,-1.07
522,-0.90,5.37,-4.88,-0.09,0.01,-1.10
531,0.08,3.78,-2.70,-0.14,-0.16,-1.10
540,-2.25,4.38,2.62,-0.07,0.04,-1.08
549,-1.63,3.96,1.17,-0.02,0.21,-1.08
558,1.41,2.85,-5.69,-0.04,0.13,-1.09
567,-1.23,4.25,-3.85,-0.13,-0.14,-1.09
576,-3.12,5.41,1.77,-0.13,-0.07,-1.12
585,-1.48,5.60,2.21,-0.03,0.10,-1.07
594,-0.76,4.95,-2.00,-0.01,0.21,-1.07
603,-0.65,5.13,-5.16,-0.10,-0.01,-1.10
612,-0.88,4.14,-3.40,-0.13,-0.11,-1.11
621,-2.87,4.73,3.71,-0.08,-0.00,-1.08
630,-1.95,3.49,1.04,-0.01,0.25,-1.08
639,0.67,3.89,-5.92,-0.05,0.10,-1.08
648,-2.02,5.82,-4.02,-0.13,-0.08,-1.11
657,-2.90,5.81,2.17,-0.14,-0.07,-1.12
666,-1.80,4.27,1.25,-0.02,0.19,-1.08
675,-1.65,5.25,-2.34,-0.02,0.19,-1.09
684,-0.49,5.31,-5.77,-0.11,-0.02,-1.11
693,-0.98,4.89,-2.48,-0.13,-0.12,-1.11
702,-4.17,4.79,5.24,-0.09,0.05,-1.11
711,-1.45,3.88,-0.03,-0.03,0.23,-1.09
720,1.13,3.84,-6.67,-0.05,0.09,-1.09
729,-2.09,6.43,-2.89,-0.13,-0.08,-1.12
738,-1.00,4.29,2.07,-0.12,-0.06,-1.09
747,-0.43,3.06,1.31,-0.03,0.17,-1.08
756,-1.84,5.56,-2.45,-0.04,0.17,-1.09
765,-0.09,5.47,-5.40,-0.11,-0.03,-1.11
774,-0.96,4.79,-0.34,-0.12,-0.15,-1.08
783,-2.33,3.75,3.90,-0.08,0.11,-1.11
792,-0.71,4.20,-1.45,-0.02,0.21,-1.08
801,0.21,4.22,-5.93,-0.06,0.06,-1.10
810,-0.94,4.58,-1.72,-0.14,-0.13,-1.12
819,0.95,1.83,1.83,-0.10,-0.04,-1.08
828,-1.73,3.91,2.05,-0.03,0.18,-1.08
837,-1.50,4.54,-3.42,-0.05,0.17,-1.10
846,1.26,3.49,-5.81,-0.11,-0.06,-1.10
855,0.03,3.04,0.11,-0.12,-0.12,-1.09
864,-1.09,3.02,3.23,-0.05,0.12,-1.08
873,-0.26,4.51,-1.79,-0.02,0.22,-1.09
882,0.07,4.30,-5.26,-0.09,0.01,-1.09
891,1.34,2.34,-2.73,-0.15,-0.16,-1.10
900,0.96,1.72,1.60,-0.07,0.01,-1.07
909,-1.17,4.38,1.64,-0.02,0.21,-1.08
918,-0.35,3.11,-3.80,-0.06,0.13,-1.09
927,1.71,2.01,-5.92,-0.12,-0.14,-1.10
936,-0.51,2.42,0.35,-0.12,-0.10,-1.09
945,-1.89,5.16,3.41,-0.04,0.12,-1.08
954,-0.22,3.87,-2.99,-0.01,0.22,-1.07
963,-0.47,4.88,-5.24,-0.09,-0.00,-1.10
972,-1.77,4.84,-2.35,-0.14,-0.15,-1.09
981,-2.85,4.57,3.43,-0.07,0.05,-1.08
990,-1.46,3.58,-0.16,-0.02,0.24,-1.09
999,0.24,4.43,-5.57,-0.05,0.11,-1.09
1008,-1.92,6.41,-3.79,-0.13,-0.12,-1.09
1017,-2.76,6.06,2.15,-0.13,-0.06,-1.11
1026,-1.69,3.68,1.60,-0.03,0.14,-1.07
