timestamp,accX,accY,accZ
0,-1042,3070,-1550
2,-1162,3166,-1490
3,-554,3580,-1752
4,-864,3798,-1606
6,-1338,3230,-1240
7,-1330,3332,-1074
9,-1006,3646,-1284
10,-910,3570,-1366
11,-1278,3450,-944
13,-1096,3292,-940
14,-888,3284,-742
15,-1150,3520,-848
17,-1264,3440,-592
18,-860,3264,-784
19,-1032,3340,-598
21,-1550,3606,-368
22,-1816,4102,-192
24,-900,2994,-1128
25,-628,3048,-1076
26,-1422,3556,-558
28,-1536,3496,-804
29,-508,3430,-1144
30,-724,3214,-1374
32,-1734,3740,-1056
33,-1574,4202,-1054
35,-978,2932,-1530
36,-1232,3334,-1704
37,-1274,3680,-1638
39,-738,3766,-1534
40,-890,3422,-1550
41,-1090,2872,-1372
43,-888,3420,-1620
44,-656,3772,-1682
46,-974,3472,-1358
47,-1430,3108,-1216
48,-1306,3302,-1076
50,-946,3782,-1246
51,-976,3440,-1148
52,-1168,3192,-950
54,-740,3168,-860
55,-974,3450,-658
56,-1382,3548,-492
58,-964,3134,-938
59,-918,3290,-750
61,-1258,3268,-466
62,-1476,3356,-378
63,-794,3800,-1016
65,-16,2770,-1170
66,-476,2842,-606
68,-1612,3614,-478
69,-842,3310,-810
70,-626,3324,-1676
72,-1052,2860,-1588
73,-1612,3750,-1104
74,-752,3368,-1250
76,-882,3018,-1612
77,-1172,3560,-1740
78,-564,3638,-1588
80,-586,3836,-1422
81,-838,2824,-1440
83,-1216,3014,-1376
84,-898,3534,-1714
85,-1020,3824,-1656
87,-1196,3336,-1482
88,-1534,3500,-1088
89,-1008,3872,-1206
91,-836,3668,-1240
92,-1368,3348,-740
94,-1078,3196,-994
95,-710,3582,-674
96,-1478,3788,-454
98,-1278,3236,-920
99,-1074,3686,-870
100,-1116,3474,-666
102,-1090,3106,-36
103,-1780,4154,-510
105,-240,2994,-1170
106,80,3510,-924
107,-1862,3790,-278
109,-1332,3350,-674
110,-592,3606,-1532
111,-688,3018,-1758
113,-1398,4184,-1096
114,-1256,3844,-1004
116,-588,3086,-1596
117,-1394,3546,-1764
118,-1124,3642,-1624
120,-442,3736,-1580
121,-920,3178,-1632
122,-1230,2800,-1304
124,-1190,3646,-1578
125,-756,4020,-1774
127,-888,3644,-1280
128,-1714,3224,-1072
129,-1364,3634,-1076
131,-784,3698,-1142
132,-1160,3546,-1010
133,-1410,3324,-918
135,-694,3156,-788
136,-1334,3862,-436
138,-1470,3086,-568
139,-1030,3380,-1048
140,-902,3640,-730
142,-1536,3546,-198
143,-2202,4090,-24
144,-1078,2820,-1248
146,-170,3044,-1124
147,-1292,3624,-420
149,-1226,3342,-590
150,-764,3538,-948
151,-620,3140,-1550
153,-1570,3718,-1222
154,-1740,4226,-1152
156,-678,3004,-1494
157,-1164,3384,-1588
158,-1424,3564,-1596
160,-416,3846,-1714
161,-676,3658,-1532
162,-1264,2788,-1242
164,-1194,3356,-1394
165,-820,3862,-1710
167,-986,3440,-1488
168,-1408,3138,-1076
169,-1734,3618,-1172
171,-832,3758,-1232
172,-964,3668,-924
173,-1096,3076,-1070
175,-552,2846,-994
176,-940,3816,-324
177,-1440,3450,-368
179,-1140,3106,-1202
180,-900,3710,-914
182,-1182,3670,-432
183,-1906,3790,-292
184,-608,2954,-990
186,-6,2710,-1020
187,-1426,3886,-644
189,-1512,3430,-500
190,-814,3334,-1302
191,-778,3176,-1568
193,-1508,3682,-1134
194,-964,3542,-1378
196,-640,3132,-1454
197,-902,3506,-1552
198,-1124,3634,-1488
200,-680,3718,-1698
201,-794,3278,-1800
202,-998,2962,-1428
204,-1254,3556,-1418
205,-826,3944,-1554
207,-850,3772,-1510
208,-890,3140,-1230
209,-1380,3500,-1078
211,-1150,3726,-1062
212,-1092,3610,-1012
213,-1084,3298,-926
215,-604,3120,-932
216,-1178,3742,-470
218,-1416,3632,-480
219,-1208,3250,-904
220,-932,3642,-976
222,-896,3544,-286
223,-2014,3964,-112
224,-1528,3654,-1074
226,-302,2982,-1036
227,-1064,3776,-954
229,-1322,3320,-674
230,-940,3454,-966
231,-800,3156,-1330
233,-1158,3832,-1250
234,-1474,4028,-1414
235,-822,3530,-1570
237,-1086,3290,-1568
238,-1400,3522,-1314
240,-920,3668,-1662
241,-620,3638,-1884
242,-802,3256,-1340
244,-1130,3146,-1314
245,-1168,3804,-1304
246,-916,3490,-1618
248,-940,3060,-1624
249,-1456,3298,-1020
251,-1196,3736,-1122
252,-1052,3614,-964
253,-1148,3200,-1120
255,-560,2992,-1018
256,-886,3440,-312
257,-1270,3360,-354
259,-1292,3162,-668
260,-1138,3426,-1052
262,-1014,3498,-716
263,-1720,4082,-168
264,-1792,2978,-740
266,-418,2960,-1002
267,-748,3374,-780
268,-1398,3608,-690
270,-912,3408,-886
271,-860,3254,-1246
272,-1482,3750,-1228
274,-1444,3958,-1262
