timestamp,accX,accY,accZ
0,-988,3492,-1764
2,-1430,3708,-1216
3,-824,3454,-1442
4,-992,3800,-1604
6,-902,3252,-1582
7,-598,2750,-1530
9,-952,3180,-1208
10,-1086,3766,-1270
11,-932,3182,-1312
13,-1252,3600,-1722
14,-1082,3626,-1156
15,-1210,3926,-996
17,-1544,3150,-952
18,-884,2948,-974
19,-642,3270,-792
21,-1118,3386,-478
22,-1478,3408,-472
24,-1360,3276,-920
25,-808,3510,-816
26,-1276,3936,-366
28,-1138,3506,-802
29,-510,2792,-742
31,-702,3624,-742
32,-1240,3470,-700
33,-942,3234,-1124
35,-994,3420,-1252
36,-1002,2964,-1178
37,-1794,3938,-1142
39,-598,3302,-1528
40,-516,3056,-1728
41,-1194,3486,-1402
43,-1122,3420,-1324
44,-950,3654,-1526
46,-766,3368,-1842
47,-882,3128,-1492
48,-708,3566,-1230
50,-1244,3950,-1148
51,-990,3350,-1580
52,-1072,3448,-1550
54,-1042,3524,-1306
55,-1204,3920,-834
57,-1280,3428,-874
58,-1052,2950,-918
59,-772,3464,-906
61,-870,3468,-738
62,-1234,3414,-578
63,-1302,3278,-714
65,-930,3378,-844
66,-1032,4242,-468
67,-1342,3814,-722
69,-770,2910,-774
70,-740,3512,-594
72,-1218,3610,-606
73,-774,3254,-1168
74,-962,3564,-1182
76,-1022,3154,-1200
77,-1330,4168,-1070
78,-914,3666,-1376
80,-602,3140,-1794
81,-1152,3566,-1530
83,-1194,3516,-1328
84,-964,3596,-1472
85,-914,3500,-1704
87,-926,3412,-1646
88,-600,3106,-1586
89,-1310,3862,-1144
91,-1278,3722,-1388
92,-1008,3298,-1572
93,-1016,3526,-1590
95,-1178,3902,-988
96,-1504,3786,-818
98,-952,3150,-992
99,-902,3302,-1010
100,-1014,3478,-870
102,-946,3412,-530
103,-1280,3342,-612
105,-1224,3320,-824
106,-1366,3980,-692
107,-1530,4212,-532
109,-1004,2726,-722
110,-1086,3294,-730
111,-1250,3690,-642
113,-1004,3206,-1110
114,-964,3562,-1146
115,-1094,3354,-1110
117,-1536,3934,-1080
118,-1320,4080,-1158
120,-868,3150,-1714
121,-1132,3496,-1608
122,-1098,3534,-1286
124,-982,3574,-1452
125,-950,3354,-1464
126,-880,3224,-1646
128,-642,3164,-1830
129,-1156,3588,-1138
131,-1052,3330,-1228
132,-1060,3292,-1556
133,-960,3510,-1312
135,-1242,3638,-1018
136,-1734,3838,-1004
138,-794,3018,-880
139,-740,3246,-872
140,-1168,3464,-726
142,-1112,3352,-546
143,-934,3346,-684
144,-1202,3268,-840
146,-1270,3612,-692
147,-1516,4268,-756
148,-626,2816,-862
150,-1028,2896,-754
151,-1396,3592,-654
153,-580,3180,-854
154,-882,3474,-1298
155,-1100,3046,-1156
157,-1254,3592,-1022
158,-1488,4226,-1480
159,-714,2986,-1602
161,-1098,3418,-1618
162,-1130,3504,-1406
164,-902,3590,-1580
165,-1176,3528,-1602
166,-876,3350,-1486
168,-532,3128,-1778
169,-858,3186,-1356
170,-1440,3736,-1098
172,-1058,3390,-1584
173,-1028,3496,-1576
174,-1200,3594,-1176
176,-1374,3728,-786
177,-960,3280,-1046
179,-806,3144,-1064
180,-794,3470,-722
181,-1128,3428,-486
183,-1178,3258,-572
184,-1256,3376,-574
185,-1060,3270,-770
187,-1492,4316,-510
188,-612,3194,-1022
190,-606,2682,-658
191,-1628,3794,-490
192,-796,3306,-796
194,-632,3286,-1260
195,-1150,3106,-1344
196,-1192,3158,-944
198,-1620,4080,-1196
199,-622,3066,-1536
201,-890,3154,-1506
202,-984,3560,-1296
203,-818,3492,-1246
205,-1090,3342,-1580
206,-788,3098,-1690
207,-592,3184,-1728
209,-1094,3516,-1426
210,-1406,3656,-1174
212,-1374,3398,-1502
213,-776,3386,-1680
214,-884,3478,-960
216,-1686,3768,-772
217,-1342,3440,-868
218,-722,3116,-1188
220,-1154,3536,-884
221,-1246,3582,-684
223,-1164,3260,-712
224,-1136,3358,-692
225,-1098,3256,-558
227,-1630,4380,-326
228,-956,3824,-822
230,-330,2908,-696
231,-1578,3794,-510
232,-1480,3714,-1022
234,-798,3508,-1286
235,-974,3452,-1344
236,-1168,3616,-890
238,-1472,4282,-1114
239,-698,3522,-1672
241,-1272,3480,-1694
242,-1292,3782,-1460
243,-866,3656,-1356
245,-1272,3672,-1650
246,-1048,3174,-1570
247,-780,3306,-1930
249,-932,3476,-1556
250,-1088,3470,-980
251,-1318,3590,-1266
253,-850,3394,-1690
254,-708,3704,-1244
256,-1624,3724,-860
257,-1578,3456,-932
258,-534,3110,-1068
260,-790,3284,-922
261,-1208,3506,-452
262,-1090,3266,-522
264,-938,3308,-642
265,-1166,3206,-610
267,-1688,3982,-384
268,-1388,4426,-1092
269,-326,2546,-832
271,-1514,3418,-558
272,-1812,3270,-634
273,-436,3274,-1302
