timestamp,accX,accY,accZ
0,-1086,3278,-1362
2,-1388,3692,-1146
3,-1226,3658,-1300
4,-776,3150,-1250
6,-1336,3770,-984
7,-1170,3234,-1200
8,-660,3006,-792
10,-1550,3454,-704
11,-1134,3770,-862
13,-428,3224,-916
14,-844,3488,-840
15,-1256,3012,-384
17,-1164,3326,-404
18,-1082,3438,-690
19,-554,2724,-1226
21,-1380,3598,-626
22,-986,3498,-632
24,-818,3206,-700
25,-1318,3412,-1144
26,-628,3108,-1212
28,-632,3358,-1194
29,-1508,3552,-1206
31,-798,2778,-1502
32,-1266,4408,-1648
33,-588,3400,-1900
35,-682,2872,-1560
36,-1306,3508,-1074
37,-794,3086,-1286
39,-742,3332,-1762
40,-1118,3580,-1446
42,-878,3228,-1374
43,-1432,3540,-1344
44,-732,2964,-1152
46,-930,3380,-1022
47,-1276,3396,-1350
48,-418,2964,-1222
50,-1162,3244,-552
51,-1882,4078,-722
52,-654,3324,-1058
54,-572,3648,-1022
55,-1300,3352,-630
57,-1036,3062,-534
58,-1210,3846,-572
59,-638,3120,-1130
61,-562,3958,-696
62,-1430,3962,-688
63,-1066,3322,-842
65,-1370,3564,-1132
66,-998,3362,-1152
67,-574,3054,-1172
69,-1558,4046,-1058
70,-1174,3236,-1120
72,-970,3814,-1658
73,-1206,4144,-1648
74,-524,3334,-1444
76,-1306,3454,-1452
77,-1486,3434,-1116
79,-790,3512,-1734
80,-1010,3810,-1676
81,-1082,3546,-1308
83,-1276,3558,-1370
84,-1174,3448,-1114
85,-882,3488,-996
87,-1068,3498,-1290
88,-772,3232,-962
89,-692,3580,-620
91,-1818,4032,-596
92,-1394,3742,-950
94,-742,3412,-1152
95,-1086,3512,-920
96,-1296,3096,-414
98,-1348,3598,-514
99,-1120,3664,-1362
100,-924,3314,-982
102,-1540,4054,-770
103,-1394,3110,-714
105,-1188,3418,-1172
106,-1106,3632,-1296
107,-582,3058,-1214
109,-1236,3742,-1204
110,-1496,3894,-1294
111,-1166,3152,-1310
113,-1348,4078,-1608
114,-984,3166,-1552
115,-902,3326,-1562
117,-1326,3516,-1132
118,-800,3234,-1540
120,-880,3710,-1724
121,-1048,3432,-1506
122,-1188,3290,-1446
124,-1320,3528,-1194
125,-1050,3368,-986
126,-1026,3472,-1150
128,-998,3392,-1184
129,-1040,3202,-740
131,-1518,3774,-692
132,-1768,3414,-866
133,-766,3192,-940
135,-774,3510,-852
136,-1170,3244,-354
137,-1074,3180,-512
139,-1560,3594,-908
140,-510,3174,-1172
141,-926,3466,-626
143,-1446,3618,-608
144,-1018,3296,-742
146,-960,3424,-1240
147,-828,3210,-1326
148,-812,3194,-1362
150,-1446,3498,-1188
151,-1018,2960,-1268
152,-1284,3578,-1670
154,-796,3590,-1608
155,-710,3466,-1580
157,-864,3256,-1078
158,-1150,3264,-1344
159,-1060,3472,-1616
161,-942,3652,-1654
162,-1112,3554,-1414
164,-1350,3342,-1190
165,-1098,3574,-992
166,-926,3510,-1416
168,-872,3230,-1300
169,-858,3164,-1080
171,-1244,3932,-674
172,-1290,3688,-740
173,-1022,3240,-1074
175,-992,3486,-948
176,-974,3398,-634
177,-1076,3424,-360
179,-1376,3544,-508
180,-724,3246,-1044
182,-1066,3752,-814
183,-1544,3792,-696
184,-1338,3334,-1004
186,-846,3498,-1066
187,-864,3406,-1320
189,-1274,3596,-1264
190,-1358,3830,-1026
191,-808,3316,-1200
193,-1288,3848,-1636
194,-1076,3592,-1624
195,-818,3638,-1630
197,-894,3234,-1442
198,-1334,3432,-1588
200,-1108,3660,-1452
201,-672,3560,-1630
202,-1330,3592,-1280
204,-1188,3212,-1224
205,-1050,3722,-1046
206,-920,3426,-1246
208,-870,3158,-1194
209,-1106,3342,-728
211,-1350,3690,-904
212,-1572,3858,-800
213,-1108,3304,-728
215,-922,3398,-1080
216,-916,3378,-570
217,-1260,3396,-414
219,-1410,3390,-832
220,-844,3574,-1082
222,-808,3558,-1076
223,-1034,3612,-706
224,-1448,3474,-632
226,-970,3290,-1136
227,-872,3430,-1268
228,-1098,3450,-1476
230,-1216,3262,-1252
231,-1196,3438,-964
233,-1274,3744,-1602
234,-932,3324,-1628
235,-1078,4086,-1650
237,-730,2962,-1246
238,-1522,3632,-1376
239,-1222,3624,-1620
241,-658,3528,-1768
242,-1540,4330,-1546
244,-1176,3344,-1230
245,-1200,3658,-1062
246,-1450,3892,-1022
248,-778,3122,-1210
249,-1180,3502,-886
250,-1330,3484,-828
252,-1192,3776,-634
253,-1112,3540,-636
255,-1142,3192,-896
256,-914,3346,-820
257,-1082,3648,-458
259,-1144,3138,-568
260,-1248,3456,-940
262,-962,3436,-900
263,-976,3462,-836
264,-1594,3674,-920
266,-762,3274,-1018
267,-728,3486,-1138
268,-794,3560,-1376
270,-1110,3342,-1248
271,-974,3242,-1198
273,-1292,3626,-1442
274,-794,2964,-1602
