timestamp,accX,accY,accZ
0,-470,3074,-1450
2,-1536,4208,-1586
3,-1884,3962,-1500
5,-938,3764,-1614
6,-934,4254,-1844
7,-272,2628,-1466
9,-1790,4074,-1100
10,-1294,3984,-1552
11,16,3216,-1938
13,-1850,3990,-1486
14,-1698,3554,-1122
16,-882,3842,-1308
17,-1278,3900,-1316
18,-1036,2986,-804
20,-1196,3948,-848
21,-1080,3902,-878
22,-1204,2782,-604
24,-2168,3834,-372
25,-1720,3254,-730
27,-370,2814,-938
28,-1824,3692,126
29,-698,3276,-420
31,160,2272,-950
32,-1146,3914,-618
34,-1010,2882,-484
35,-1064,3568,-652
36,-1170,3040,-1290
38,-536,2336,-1236
39,-2132,4140,-938
40,-134,2780,-1714
42,-554,3258,-1538
43,-1738,3452,-1446
44,-776,3278,-1298
46,-586,4008,-1840
47,-624,2532,-1728
49,-1354,3216,-1114
50,-1600,3564,-1884
51,-388,3152,-1928
53,-1118,3500,-1134
54,-1192,3284,-1176
56,-766,3376,-1310
57,-948,3482,-1254
58,-1168,3010,-818
60,-1344,3458,-922
61,-1122,3430,-860
62,-648,2700,-776
64,-1764,3106,-582
65,-1096,3856,-666
66,-40,2968,-928
68,-954,4298,-198
69,-1676,3736,-114
71,-30,2376,-858
72,-1458,4296,-634
73,-1162,3086,-604
75,-926,4260,-1078
76,-710,3806,-1100
77,-316,2506,-1102
79,-2262,4362,-1022
80,-662,3276,-1408
82,-86,4126,-1678
83,-1774,3924,-1584
84,-1056,3008,-1526
86,-504,3956,-1820
87,-400,2862,-2006
89,-1000,3880,-1194
90,-1232,3850,-1580
91,-262,3122,-1778
93,-770,3794,-1378
94,-1688,3570,-1132
95,-836,3240,-1384
97,-1034,3670,-1412
98,-1064,3150,-1048
99,-1392,3748,-814
101,-998,3816,-1008
102,-536,3012,-590
104,-1946,3518,-296
105,-1732,4030,-560
106,-736,2884,-964
108,-1640,3834,-538
109,-1990,4082,-582
111,-332,2878,-768
112,-1260,4162,-818
113,-1112,2770,-552
115,-1438,3752,-852
116,-1076,4172,-1114
117,-442,2936,-1060
119,-2114,4010,-1146
120,-1476,3612,-1598
121,-526,3696,-1470
123,-1554,4224,-1644
124,-1274,3080,-1438
126,-662,3832,-1764
127,-572,3476,-1792
128,-1518,3448,-1248
130,-1548,3980,-1414
131,-678,3144,-1726
132,-1150,3554,-1722
134,-1870,3694,-990
135,-1236,3404,-1360
137,-858,3786,-1270
138,-1022,3100,-914
139,-1388,3532,-686
141,-1300,3892,-800
142,-686,2770,-1036
144,-1496,3034,-476
145,-1864,3904,-424
146,-452,3130,-944
148,-1008,3440,-308
149,-1064,3056,-500
150,-546,2764,-518
152,-1158,3808,-694
153,-890,2760,-480
155,-1186,3310,-1124
156,-568,3450,-1132
157,-596,3024,-1038
159,-1516,3738,-1234
160,-678,2880,-1530
161,-532,3358,-1504
163,-1130,3790,-1534
164,-1078,3158,-1392
166,-868,3506,-1722
167,-304,2792,-1936
168,-984,3070,-1514
170,-1724,3768,-1632
171,-252,3004,-1790
172,-678,3268,-1580
174,-1688,3622,-1080
175,-950,3312,-1044
177,-814,3524,-1476
178,-978,3188,-1170
179,-1274,3332,-600
181,-1206,3746,-876
182,-668,3034,-940
184,-914,3504,-468
185,-1830,4104,-376
186,-956,3466,-802
188,-1550,3990,-494
189,-1466,3764,-352
190,-716,3280,-626
192,-1222,4076,-810
193,-830,3268,-650
195,-940,3716,-860
196,-1210,3772,-1048
197,-558,3102,-1018
199,-1824,3950,-1068
200,-1326,3284,-1212
201,-642,3832,-1458
203,-1226,4112,-1640
204,-1078,3484,-1490
206,-784,3510,-1702
207,-548,3166,-1712
208,-614,3610,-1350
210,-1440,3860,-1474
211,-768,3434,-1718
212,-520,3542,-1742
214,-1598,3646,-1342
215,-1242,3422,-1274
216,-902,3730,-1274
218,-870,3288,-1450
219,-1030,3660,-786
221,-1360,3918,-726
222,-938,3422,-1006
223,-1382,3148,-644
225,-1716,3860,-606
226,-1238,3020,-738
227,-1248,3524,-622
229,-1822,4216,-642
230,-418,2618,-644
232,-1286,4008,-616
233,-1300,2828,-490
234,-968,3244,-754
236,-1592,4094,-1086
237,-606,2828,-1218
239,-1364,3902,-1012
240,-1758,2774,-1504
241,-824,3232,-1464
243,-1342,4204,-1540
244,-860,3302,-1522
245,-818,3536,-1626
247,-908,2758,-1650
248,-988,3282,-1444
250,-1404,3958,-1698
251,-640,3170,-1840
252,-998,3348,-1740
254,-1182,3612,-1332
255,-1016,3446,-1162
257,-988,3558,-1316
258,-822,3090,-1260
259,-1168,3468,-952
261,-1320,3626,-784
262,-952,3112,-764
264,-1026,2908,-600
265,-1502,3916,-522
266,-952,3462,-630
268,-828,3912,-440
269,-1278,3662,-358
270,-434,2672,-604
272,-956,4252,-654
273,-1040,3372,-570
275,-800,3768,-1022
