timestamp,accX,accY,accZ
0,-1088,3092,-710
2,-968,3722,-642
3,-862,3496,-734
5,-900,2998,-650
6,-1400,3902,-666
7,-864,3390,-732
9,-662,3756,-944
10,-1400,3722,-866
11,-740,3186,-894
13,-574,3652,-916
14,-1400,3434,-1244
15,-1096,3214,-1410
17,-864,3720,-1390
18,-992,3322,-1622
20,-1112,3750,-1190
21,-1110,3884,-1290
22,-512,3226,-1778
24,-1300,3660,-1838
25,-1174,3470,-1322
26,-738,3772,-1414
28,-1352,3876,-1580
29,-972,3164,-1518
31,-1002,3650,-1288
32,-1156,3518,-1200
33,-1078,3236,-844
35,-1128,3398,-798
36,-1234,3652,-1296
37,-1126,3642,-846
39,-1074,3404,-706
40,-1324,3334,-596
42,-1014,3328,-758
43,-938,3738,-662
44,-770,3122,-730
46,-1508,3676,-770
47,-1374,3704,-644
48,-1080,3458,-794
50,-1412,3790,-1058
51,-1252,3160,-1056
53,-980,3488,-836
54,-1176,3548,-1224
55,-1424,3400,-1190
57,-726,3480,-1476
58,-918,3536,-1552
59,-1374,3296,-1368
61,-1438,3688,-1220
62,-942,3266,-1584
63,-954,3356,-1840
65,-1214,3538,-1242
66,-906,3350,-1212
68,-1264,3744,-1406
69,-1292,3120,-1550
70,-686,3216,-1398
72,-1022,3580,-1122
73,-1266,3274,-950
74,-1076,3154,-884
76,-1134,3418,-1150
77,-1034,3836,-1006
79,-988,3494,-800
80,-1224,3132,-628
81,-1136,3112,-614
83,-1084,3648,-722
84,-700,3060,-860
85,-1150,3218,-924
87,-1542,3668,-560
88,-738,3254,-578
90,-1166,3564,-1060
91,-948,3270,-1176
92,-628,3130,-954
94,-1116,3580,-1086
95,-1334,3370,-1118
96,-808,3296,-1506
98,-822,3542,-1608
99,-1018,3136,-1496
101,-1442,3566,-1374
102,-784,3406,-1458
103,-858,3416,-1628
105,-932,3520,-1416
106,-940,3348,-1290
107,-1186,3590,-1274
109,-906,3200,-1618
110,-734,3326,-1372
111,-714,3488,-1098
113,-1160,3444,-1076
114,-1128,3252,-888
116,-1042,3564,-1322
117,-1310,4076,-974
118,-954,3788,-670
120,-1222,3226,-742
121,-1230,3062,-582
122,-1184,3752,-618
124,-736,3434,-844
125,-740,3102,-854
127,-1480,3802,-632
128,-1150,3490,-532
129,-1014,3628,-1058
131,-1186,3596,-1154
132,-708,3310,-882
133,-1214,3452,-806
135,-1502,3526,-1072
136,-1098,3362,-1410
138,-930,3684,-1430
139,-1002,3440,-1402
140,-1164,3600,-1094
142,-1040,3660,-1428
143,-824,3264,-1924
144,-1092,3646,-1740
146,-1002,3582,-1328
147,-978,3630,-1118
149,-1314,3494,-1394
150,-682,3420,-1404
151,-874,3556,-1428
153,-1220,3536,-1120
154,-1034,3254,-892
156,-1182,3326,-908
157,-1320,3848,-916
158,-864,3542,-1048
160,-1068,3326,-782
161,-1162,3096,-552
162,-1228,3532,-412
164,-988,3646,-894
165,-1000,3312,-1060
167,-1404,3680,-640
168,-1456,3372,-562
169,-1264,3510,-794
171,-1244,3682,-1288
172,-924,3112,-1120
173,-1032,3380,-896
175,-1410,3532,-920
176,-946,3228,-1294
178,-896,3558,-1436
179,-850,3342,-1560
180,-1200,3400,-1284
182,-1304,3534,-1384
183,-980,3314,-1440
184,-856,3406,-1896
186,-974,3576,-1414
187,-1184,3606,-1256
188,-1382,3518,-1510
190,-994,3296,-1242
191,-662,3438,-1444
193,-998,3532,-1186
194,-1184,3376,-980
195,-1104,3176,-734
197,-1252,3914,-922
198,-1044,3828,-1124
199,-882,3430,-902
201,-1108,3050,-634
202,-1290,3346,-454
204,-1152,3486,-734
205,-734,3304,-914
206,-986,3420,-730
208,-1280,3564,-544
209,-1146,3464,-654
210,-1250,3624,-1156
212,-724,3236,-1084
213,-802,3284,-914
215,-1094,3506,-1090
216,-1318,3414,-1042
217,-960,3228,-1488
219,-1034,3744,-1600
220,-1088,3560,-1582
221,-1108,3442,-1228
223,-1054,3454,-1440
224,-910,3246,-1838
226,-1032,3736,-1588
227,-984,3678,-1374
228,-1156,3382,-1340
230,-978,3290,-1400
231,-774,3274,-1284
232,-1054,3626,-1304
234,-1052,3394,-1026
235,-906,3306,-774
237,-1516,3674,-1062
238,-1394,3880,-976
239,-948,3248,-864
241,-970,3046,-862
242,-1214,3228,-370
243,-1036,3586,-644
245,-904,3354,-720
246,-760,3478,-890
248,-1346,3770,-586
249,-1156,3574,-716
250,-1256,3546,-930
252,-992,3406,-1106
253,-622,3310,-964
254,-1266,3590,-1074
256,-1406,3542,-1186
257,-1220,3268,-1398
258,-1108,3710,-1544
260,-1008,3744,-1498
261,-1016,3322,-1302
263,-1094,3418,-1334
264,-986,3208,-1650
265,-964,3518,-1734
267,-1076,3800,-1372
268,-1100,3460,-1366
270,-1114,3324,-1446
271,-920,3440,-1218
272,-1018,3578,-1252
274,-1140,3472,-1206
