timestamp,accX,accY,accZ
0,-1102,3596,-1578
2,-1196,3882,-1574
3,-742,3230,-1230
4,-1244,3538,-1228
6,-1494,3244,-1232
7,-798,3372,-1126
9,-1064,3706,-1234
10,-1322,3470,-882
11,-1118,3352,-640
13,-1174,3412,-888
14,-1010,3288,-684
15,-886,3478,-888
17,-978,3142,-804
18,-1078,3108,-660
20,-1712,3876,-558
21,-674,3172,-790
22,-766,3240,-1062
24,-1312,3510,-856
25,-820,3120,-604
26,-1114,3454,-824
28,-1108,3202,-1398
29,-828,3234,-1316
30,-1238,3778,-1180
32,-1174,3218,-1442
33,-1090,3256,-1382
35,-1226,3782,-1588
36,-744,3198,-1562
37,-896,3188,-1348
39,-1084,3400,-1198
40,-850,3288,-1350
41,-1160,3640,-1726
43,-680,3226,-1492
44,-918,3444,-1158
46,-1440,3320,-1062
47,-824,3044,-1176
48,-934,3476,-1184
50,-1110,3678,-1144
51,-1004,3354,-810
52,-1040,3284,-756
54,-1192,3402,-546
55,-956,3380,-816
56,-994,3498,-768
58,-910,3126,-746
59,-1306,3380,-442
61,-1288,3764,-724
62,-722,3148,-854
63,-864,3676,-820
65,-1196,3444,-818
66,-888,3296,-870
67,-1040,3524,-1230
69,-1078,3330,-1330
70,-768,3734,-1116
72,-1164,3730,-1372
73,-1152,3260,-1300
74,-1068,3682,-1472
76,-894,3606,-1468
77,-632,3270,-1600
78,-1220,3562,-1276
80,-1212,3384,-1140
81,-998,3688,-1570
83,-744,3478,-1590
84,-718,3310,-1308
85,-1516,3676,-992
87,-982,3144,-1240
88,-960,3768,-1158
89,-1232,3744,-1148
91,-974,3452,-874
92,-1060,3188,-858
94,-1238,3268,-618
95,-1182,3530,-828
96,-914,3584,-720
98,-726,3356,-674
99,-1500,3608,-462
100,-1604,3794,-380
102,-1062,3538,-1026
103,-948,3448,-1018
105,-1148,3536,-1002
106,-1098,3408,-750
107,-1136,3446,-912
109,-1144,3398,-1324
110,-1018,3624,-1480
111,-1116,3836,-1206
113,-1026,3254,-1246
114,-1282,3476,-1298
116,-996,3650,-1486
117,-618,3380,-1892
118,-1018,3498,-1514
120,-1166,3358,-1154
121,-1150,3566,-1482
122,-908,3492,-1658
124,-940,3428,-1372
125,-1366,3638,-1156
127,-1148,3228,-1018
128,-1056,3390,-1052
129,-1350,3728,-1222
131,-938,3474,-934
132,-884,3322,-936
133,-1146,3288,-436
135,-1126,3332,-538
136,-982,3540,-738
138,-768,3264,-974
139,-1166,3446,-698
140,-1618,3666,-542
142,-976,3476,-760
143,-748,3342,-1072
144,-952,3406,-1018
146,-1028,3374,-724
147,-1198,3430,-1006
149,-1240,3382,-1188
150,-856,3330,-1548
151,-1108,3738,-1584
153,-988,3280,-1396
154,-1334,3448,-1238
155,-956,3372,-1526
157,-650,3282,-1850
158,-756,3642,-1262
160,-1170,3262,-1158
161,-1288,3392,-1336
162,-1206,3380,-1750
164,-682,3298,-1534
165,-1044,3536,-1054
167,-1086,3420,-1132
168,-1138,3390,-1154
169,-1338,3674,-1168
171,-1146,3792,-1076
172,-934,3248,-834
174,-1230,3274,-704
175,-1312,3232,-656
176,-976,3612,-678
178,-668,3482,-956
179,-878,3510,-640
180,-1614,3674,-398
182,-1222,3564,-758
183,-860,3464,-1076
185,-976,3354,-1102
186,-1038,3446,-814
187,-1118,3458,-838
189,-1204,3388,-1156
190,-1146,3606,-1390
192,-1020,3760,-1332
193,-982,3326,-1330
194,-1390,3564,-1130
196,-1146,3536,-1496
197,-658,3376,-1990
198,-910,3632,-1648
200,-1080,3380,-1264
201,-1410,3528,-1304
202,-920,3332,-1606
204,-714,3428,-1544
205,-1160,3574,-1384
207,-1226,3508,-1064
208,-994,3272,-1094
209,-1234,3462,-1096
211,-1326,3764,-932
212,-798,3342,-970
213,-958,3124,-586
215,-1318,3376,-474
216,-1138,3556,-472
218,-872,3412,-958
219,-1022,3500,-804
220,-1476,3560,-500
222,-1448,3600,-542
223,-892,3448,-1022
224,-900,3314,-1104
226,-1000,3410,-874
227,-978,3372,-856
229,-1106,3432,-1028
230,-1100,3546,-1296
231,-1018,3636,-1622
233,-946,3424,-1512
234,-1148,3520,-1278
235,-1292,3530,-1338
237,-814,3340,-1724
238,-754,3472,-1650
240,-868,3528,-1418
241,-1378,3618,-1200
242,-1184,3108,-1484
244,-778,3338,-1366
245,-1032,3654,-1244
246,-1018,3414,-1146
248,-1064,3398,-998
249,-1102,3570,-946
251,-1188,3834,-942
252,-968,3644,-932
253,-976,3158,-930
255,-1244,3218,-438
256,-1250,3598,-498
258,-832,3442,-864
259,-886,3332,-836
260,-1470,3682,-452
262,-1324,3538,-550
263,-1068,3480,-944
264,-876,3374,-1100
266,-814,3352,-984
267,-1108,3286,-900
269,-1266,3350,-1100
270,-1254,3694,-1316
272,-910,3650,-1604
273,-834,3386,-1526
274,-1280,3544,-1166
