timestamp,accX,accY,accZ
0,-1376,3354,-1370
2,-1108,3418,-1582
3,-832,3864,-1548
5,-1082,3618,-1626
6,-1070,2764,-1562
7,-830,3346,-1522
9,-1016,3932,-1410
10,-1138,3270,-1424
11,-1172,3286,-1568
13,-940,3342,-1130
14,-1466,3978,-1098
16,-1368,3672,-850
17,-1082,3010,-1074
18,-798,3160,-1076
20,-936,3352,-320
21,-1402,3548,-400
22,-1046,3252,-830
24,-866,3596,-872
25,-1452,3926,-414
27,-1660,3866,-818
28,-550,3082,-844
29,-656,3142,-960
31,-1006,3548,-816
32,-1070,3436,-938
33,-970,3492,-1274
35,-760,3268,-1278
36,-1666,3986,-1248
38,-1126,3898,-1508
39,-754,3296,-1538
40,-1244,3364,-1512
42,-1310,3480,-1536
43,-840,3702,-1578
44,-902,3716,-1724
46,-942,2982,-1578
47,-776,2882,-1534
49,-1120,3938,-1196
50,-922,3376,-1392
51,-1058,3290,-1508
53,-1092,3502,-1264
54,-1328,3838,-872
56,-1524,3402,-860
57,-854,3066,-1088
58,-730,3154,-820
60,-926,3358,-540
61,-1432,3570,-192
62,-1366,3226,-876
64,-800,3456,-956
65,-1092,3846,-462
67,-1446,3620,-560
68,-918,3072,-800
69,-778,3388,-842
71,-1118,3478,-770
72,-944,3342,-1112
73,-980,3388,-966
75,-1074,3116,-1226
76,-1426,4066,-1254
78,-832,3568,-1572
79,-724,3312,-1652
80,-1276,3424,-1278
82,-1222,3364,-1254
83,-884,3434,-1550
84,-830,3686,-1760
86,-912,3406,-1630
87,-746,3246,-1490
89,-1270,4000,-1084
90,-1110,3664,-1474
91,-1118,3440,-1582
93,-1020,3512,-1480
94,-1238,3892,-892
95,-1422,3702,-828
97,-1032,3164,-1140
98,-898,3322,-1088
100,-858,3400,-738
101,-1166,3486,-378
102,-1122,3198,-706
104,-1008,3276,-800
105,-924,4198,-612
106,-1310,3716,-632
108,-1090,3230,-552
109,-1090,3546,-712
111,-876,3522,-940
112,-938,3330,-1146
113,-1096,3364,-1004
115,-1090,3242,-960
116,-1508,4036,-1140
118,-978,3604,-1620
119,-924,3540,-1556
120,-1084,3542,-1506
122,-1122,3436,-1326
123,-996,3456,-1688
125,-942,3440,-1794
126,-834,3474,-1678
127,-780,2890,-1652
129,-1248,3898,-966
130,-1012,3552,-1306
131,-692,3234,-1756
133,-1314,3708,-1284
134,-1388,3638,-878
136,-1392,3524,-822
137,-900,3220,-1148
138,-860,3176,-872
140,-878,3430,-548
141,-1270,3550,-408
142,-1166,3138,-582
144,-1096,3464,-796
145,-1312,3964,-596
147,-1216,3370,-736
148,-966,3014,-684
149,-1346,3324,-600
151,-928,3458,-904
152,-616,3238,-1140
153,-1000,3418,-1054
155,-1340,3278,-1146
156,-1308,3746,-1254
158,-742,3334,-1528
159,-1008,3308,-1560
160,-1060,3494,-1260
162,-926,3452,-1260
163,-1090,3436,-1544
164,-1206,3494,-1682
166,-664,3604,-1664
167,-534,3062,-1624
169,-1526,3636,-1090
170,-1434,3628,-1066
171,-758,3448,-1722
173,-926,3496,-1620
174,-1410,3616,-912
175,-1426,3698,-696
177,-876,3220,-1002
178,-852,3378,-868
180,-1050,3448,-746
181,-994,3470,-558
182,-1128,3176,-764
184,-1384,3316,-528
185,-1216,3710,-638
186,-920,3764,-736
188,-844,3106,-974
189,-1450,3566,-576
191,-1062,3604,-572
192,-660,3230,-1360
193,-1146,3454,-1088
195,-1282,3366,-1108
196,-1346,3948,-1110
197,-798,3472,-1400
199,-936,3298,-1642
200,-1032,3524,-1514
202,-858,3434,-1340
203,-1086,3278,-1500
204,-1132,3192,-1486
206,-924,3736,-1666
207,-456,3008,-1756
208,-1120,3318,-1332
210,-1594,3450,-1196
211,-742,3304,-1556
213,-746,3498,-1310
214,-1406,3546,-934
215,-1544,3654,-790
217,-1122,3444,-1166
218,-1028,3312,-852
219,-1104,3344,-812
221,-1074,3522,-668
222,-888,3234,-692
224,-1226,3254,-546
225,-1472,3898,-586
226,-1156,4066,-742
228,-638,2958,-814
229,-1394,3244,-464
230,-1514,3632,-640
232,-386,3260,-1128
233,-818,3416,-1342
235,-1182,3358,-1208
236,-1414,3906,-772
237,-1056,3962,-1548
239,-690,3258,-1552
240,-1190,3538,-1656
241,-886,3542,-1356
243,-1104,3552,-1448
244,-1308,3306,-1588
246,-1142,3446,-1736
247,-484,3412,-1680
248,-872,3418,-1224
250,-1468,3444,-1044
251,-1090,3440,-1276
252,-768,3500,-1644
254,-1324,3620,-1002
255,-1686,3780,-762
257,-794,3124,-972
258,-794,3252,-980
259,-1132,3392,-712
261,-1054,3418,-616
262,-958,3262,-744
264,-1262,3232,-528
265,-1452,3576,-554
266,-1574,3900,-812
268,-376,3064,-1194
269,-1014,3004,-642
270,-1434,3676,-484
272,-630,3282,-940
273,-432,3410,-1230
275,-1276,3182,-1198
