timestamp,accX,accY,accZ
0,-838,3104,-480
2,-436,3582,-1102
3,-1228,3496,-770
4,-1322,3408,-590
6,-966,3902,-1210
7,-206,2854,-1418
9,-676,3890,-898
10,-1758,4032,-918
11,-558,3374,-1676
13,-440,3600,-1826
14,-1310,3116,-1408
16,-1160,3300,-1452
17,-770,3612,-1786
18,-618,3116,-1528
20,-1374,3740,-1488
21,-932,3596,-1698
22,-550,3630,-1312
24,-1490,3494,-1124
25,-1252,3024,-1486
27,-672,3766,-1396
28,-876,3630,-1152
29,-1522,3586,-858
31,-1058,3484,-1060
32,-264,2896,-916
34,-760,4308,-292
35,-1820,3980,-490
36,-576,2660,-920
38,-1170,3492,-852
39,-2010,4238,-230
40,-1384,2892,-898
42,-676,3160,-1020
43,-1240,3554,-476
45,-1568,3784,-442
46,-1186,3990,-992
47,-500,2526,-1474
49,-1438,3330,-1008
50,-1940,4160,-1060
51,-572,3310,-1420
53,-932,3618,-1802
54,-1232,3238,-1294
56,-1218,3894,-1232
57,-872,3726,-1672
58,-946,3154,-1482
60,-1316,3736,-1494
61,-1020,3644,-1750
62,-912,3622,-1494
64,-1384,3592,-1214
65,-796,3052,-1510
67,-928,3744,-1392
68,-710,3606,-842
69,-1560,3586,-822
71,-1536,3650,-876
72,-506,2680,-1032
73,-1642,3830,-638
75,-2294,4524,-780
76,-116,2594,-892
78,-824,3090,-876
79,-1850,3950,150
80,-488,3094,-772
82,-694,3086,-1086
83,-1210,3324,-714
84,-1508,3618,-262
86,-1366,3622,-972
87,-164,2580,-1382
89,-1024,2986,-1188
90,-1262,3678,-886
91,-512,3210,-1316
93,-1030,3718,-1676
94,-964,3228,-1388
96,-942,3548,-1620
97,-868,3124,-1714
98,-826,2890,-1446
100,-1438,3838,-1724
101,-670,3376,-1844
102,-644,3364,-1502
104,-1556,3676,-1042
105,-968,3042,-1268
107,-776,3708,-1292
108,-926,3296,-1294
109,-1322,3424,-864
111,-874,3432,-1066
112,-402,2484,-998
114,-1086,4444,-316
115,-1376,4006,-642
116,-210,2892,-960
118,-1348,3180,-866
119,-2178,4188,114
120,-1194,2922,-930
122,-676,2976,-1018
123,-1430,3434,-352
125,-1294,3826,-252
126,-960,4012,-908
127,-608,3134,-1508
129,-1388,3422,-1048
130,-1718,4314,-758
132,-644,3100,-1446
133,-1392,3626,-1634
134,-1502,3400,-1482
136,-762,3752,-1620
137,-874,3530,-1534
139,-1230,3180,-1166
140,-1192,3694,-1466
141,-780,3490,-1840
143,-1084,3560,-1532
144,-1506,3674,-1106
146,-730,3250,-1546
147,-798,3574,-1292
148,-1322,3378,-846
150,-1466,3668,-1074
151,-1330,3856,-1122
152,-654,2558,-940
154,-2004,3768,-364
155,-2196,3380,-746
157,-76,2720,-892
158,-888,3040,-266
159,-1830,4058,84
161,-350,3144,-750
162,-340,3488,-936
164,-1466,3536,-702
165,-1542,3978,-744
166,-878,3730,-1038
168,-526,2582,-1158
169,-1840,4150,-934
170,-1030,3972,-1014
172,-276,3364,-1502
173,-1784,3620,-1538
175,-1142,3336,-1408
176,-504,3822,-1798
177,-864,3074,-1842
179,-1090,3602,-1180
180,-960,3816,-1662
182,-462,3442,-1694
183,-1414,3666,-1440
185,-1544,3544,-1418
186,-738,3520,-1592
187,-908,3612,-1210
189,-1164,3332,-732
190,-1408,3996,-1106
192,-694,3582,-1030
193,-1390,3024,-684
194,-2720,4504,-216
196,-1400,2916,-876
197,-350,2864,-1028
198,-1556,3380,218
200,-1144,3878,-202
201,-38,2874,-1042
203,-534,3488,-858
204,-1672,3736,-418
205,-1346,3870,-978
207,-554,3222,-1190
208,-858,2458,-1236
210,-1590,4338,-814
211,-398,3664,-1324
212,-522,3180,-1624
214,-1652,3280,-1334
215,-892,3368,-1346
216,-674,3588,-1934
218,-830,2652,-1658
219,-1504,3184,-1318
221,-532,3510,-1890
222,-378,3426,-1558
223,-1252,3614,-1138
225,-1254,3146,-1086
226,-712,3350,-1480
228,-1026,3462,-1166
229,-1306,3274,-724
230,-1546,3864,-1148
232,-136,3066,-1374
233,-572,2554,-328
235,-2330,4542,-376
236,-402,3380,-1026
237,220,3094,-1006
239,-2206,3734,-316
240,-2220,4210,-796
241,26,2750,-1118
243,-892,3078,-638
244,-1872,3902,-194
246,-958,3988,-640
247,-366,3620,-1302
248,-1258,2624,-1316
250,-1924,3992,-964
251,-1088,3428,-1496
252,-912,3420,-1640
254,-1752,3070,-1334
255,-846,3932,-1352
257,-454,4116,-1844
258,-548,2634,-1610
259,-1978,3716,-1088
261,-900,3294,-1938
262,-866,3706,-1792
264,-1722,3816,-1008
265,-718,2990,-1386
267,-606,3656,-1686
268,-988,3234,-1160
269,-1424,3066,-702
271,-1446,3768,-1418
272,-10,2610,-1138
273,-1326,3020,-494
275,-2678,4112,-872
276,348,2794,-1044
