timestamp,accX,accY,accZ
0,-1438,3680,-1186
2,-1264,4086,-1734
3,-552,3090,-1794
5,-1636,3790,-1640
6,-1906,3154,-1214
7,-868,3580,-1282
9,-1188,3940,-1214
10,-1142,2934,-666
11,-1192,3552,-890
13,-1008,3872,-838
14,-802,2676,-718
16,-1982,3602,-316
17,-1690,3424,-616
18,-380,2948,-880
20,-1676,3798,32
21,-542,2792,-630
22,-280,2462,-856
24,-1242,3882,-644
25,-660,2598,-522
27,-1276,3590,-1248
28,-418,2932,-1064
29,-514,2652,-1110
31,-1992,3944,-1262
32,-92,2552,-1652
33,-718,3482,-1662
35,-1720,3422,-1476
36,-746,3060,-1500
38,-910,4116,-1746
39,-28,2206,-1842
40,-970,2700,-1418
42,-1854,3766,-1470
43,82,2606,-1670
44,-994,3350,-1486
46,-1554,3442,-1160
47,-478,3010,-1146
49,-1206,3868,-1410
50,-1010,2942,-898
51,-950,3054,-876
53,-1068,3730,-904
54,-416,2536,-884
55,-1384,4048,-316
57,-1602,3998,-642
58,-92,2894,-900
60,-2204,4330,-146
61,-1890,4028,-16
62,-84,2372,-736
64,-1506,4310,-956
65,-1044,3372,-560
66,-730,4150,-1012
68,-1082,3976,-1322
69,-178,2382,-1084
71,-2270,4656,-1014
72,-1122,3350,-1502
73,-6,3980,-1542
75,-1798,4214,-1642
76,-1138,3044,-1582
77,-820,4220,-1792
79,-518,3168,-1840
80,-182,3510,-1240
82,-1630,4292,-1450
83,-446,3212,-1724
84,-1582,3822,-1738
86,-2088,3986,-1192
87,-954,3314,-1246
88,-1226,4024,-1280
90,-1438,3488,-610
91,-1142,3452,-908
93,-1084,3938,-1032
94,-776,2570,-736
95,-1962,3364,-104
97,-1908,4158,-548
98,-1076,2886,-1008
99,-1446,3736,-662
101,-2340,4466,-548
102,-274,2402,-722
104,-1254,4062,-734
105,-1276,2614,-552
106,-1124,3446,-782
108,-1394,4404,-1182
109,-370,2472,-1128
110,-1918,4112,-1104
112,-2146,2552,-1686
113,-510,3320,-1602
115,-1554,4490,-1600
116,-1548,2836,-1478
117,-962,3898,-1638
119,-748,4052,-1956
120,-788,2746,-1546
121,-1802,4184,-1554
123,-1128,2840,-1626
124,-892,3418,-1848
126,-1998,4106,-1196
127,-582,3012,-1134
128,-1038,3780,-1184
130,-1322,3116,-788
131,-970,3102,-706
132,-1188,3824,-1042
134,-522,2746,-928
135,-1100,2822,-532
137,-1956,4060,-502
138,-398,3192,-752
139,-732,3168,-882
141,-1830,3814,-112
142,-498,2570,-692
143,-954,3176,-850
145,-898,3202,-580
146,-800,2902,-672
148,-1356,3900,-1274
149,-248,2680,-1068
150,-1072,3200,-1058
152,-1284,3326,-1438
153,-242,2870,-1818
155,-1422,4098,-1694
156,-1136,3112,-1310
157,-960,3954,-1666
159,-392,3186,-1896
160,-236,2670,-1224
161,-1462,4050,-1536
163,-506,3188,-1536
164,-528,3768,-1724
166,-1934,3736,-1208
167,-916,3166,-1312
168,-902,3742,-1266
170,-1250,3390,-1230
171,-1162,3110,-780
172,-1082,3866,-926
174,-658,3108,-1022
175,-628,3406,-186
177,-1812,3902,-468
178,-1094,3526,-910
179,-1306,3720,-704
181,-1914,4156,-228
182,-908,2874,-592
183,-1206,3972,-778
185,-1082,3652,-664
186,-1208,3586,-872
188,-1344,4180,-1234
189,-436,3066,-1102
190,-1828,3942,-996
192,-1956,3848,-1278
193,-448,3522,-1598
194,-1196,4324,-1768
196,-1322,3502,-1558
197,-1044,3750,-1516
199,-766,3780,-1636
200,-128,3030,-1590
201,-1736,4114,-1314
203,-962,3602,-1516
204,-1036,3504,-1774
206,-1806,3840,-1124
207,-752,3294,-1246
208,-990,3738,-1192
210,-1222,3200,-882
211,-1250,3372,-620
213,-1278,3804,-898
214,-438,2762,-1036
215,-1208,2978,-418
217,-1850,3952,-438
218,-538,3182,-786
219,-712,3230,-390
221,-1558,3562,-306
222,-662,2812,-552
224,-1042,3806,-916
225,-778,3036,-546
226,-1058,3234,-1006
228,-852,3608,-1258
229,-314,2810,-1100
230,-1158,3396,-1132
232,-1230,3200,-1236
233,-532,3172,-1602
235,-798,3902,-1708
236,-1136,3236,-1476
237,-1052,3364,-1586
239,-380,2954,-1782
240,-596,2870,-1774
241,-1612,3884,-1646
243,-558,3338,-1664
244,-814,3404,-1734
246,-1780,3482,-1100
247,-1062,3436,-1114
248,-940,3484,-1494
250,-1072,3256,-1312
251,-1200,3280,-620
252,-1168,3786,-742
254,-652,3118,-1008
255,-686,2804,-364
257,-1738,3974,-442
258,-1114,3520,-358
259,-396,3776,-584
261,-1686,3944,-326
262,-792,2870,-580
263,-1284,4078,-698
265,-898,3462,-688
266,-788,3706,-832
268,-1386,4086,-1218
269,-390,2976,-1118
270,-1762,3982,-1124
272,-1764,3594,-1196
273,-642,3702,-1496
274,-1212,4224,-1724
