timestamp,accX,accY,accZ
0,-646,2548,-1068
2,-2118,5014,-868
3,-1380,3870,-1450
4,-34,3210,-1770
6,-1784,4542,-1370
7,-1014,3668,-1742
9,-862,3854,-1680
10,-1130,3570,-1596
11,-726,2434,-1544
13,-1494,4394,-1348
14,-922,3822,-1642
15,-454,3320,-1424
17,-2140,4534,-1156
18,-1148,3590,-1208
20,-1296,3910,-1182
21,-1432,3638,-1144
22,-912,3112,-604
24,-1004,3720,-654
25,-1102,3434,-722
26,-1096,3278,-642
28,-1358,3872,-508
29,-1192,3730,-648
30,-1480,3312,-702
32,-2704,5208,324
33,-640,1382,-1320
35,-1126,3296,-936
36,-2118,4842,60
37,-456,2750,-626
39,-1260,4312,-1540
40,-1142,2248,-1286
41,-1704,4346,-960
43,-2032,4848,-1708
44,-132,2284,-1728
46,-1614,4184,-1456
47,-1506,4234,-1822
48,-540,3538,-1776
50,-1208,3882,-1582
51,-930,2384,-1478
52,-1196,3788,-1476
54,-1212,4428,-1692
55,-534,2496,-1540
57,-2092,4038,-1412
58,-1858,3070,-1010
59,-746,3506,-1324
61,-1576,4062,-1194
62,-602,2616,-760
63,-970,3564,-618
65,-1292,3028,-710
66,-1114,2988,-586
68,-1374,3640,-726
69,-1284,3300,-608
70,-940,2670,-848
72,-2126,4288,110
73,446,2256,-1220
74,60,1750,-1202
76,-1836,4272,-510
77,-392,2512,116
78,-900,3476,-1640
80,-1436,2622,-1550
81,-668,2950,-1286
83,-2176,5054,-1380
84,-10,1820,-1556
85,-882,3112,-1664
87,-1098,3722,-1672
88,-230,3110,-1740
89,-740,3806,-1610
91,-622,2326,-1616
92,-988,3054,-1254
94,-1414,3868,-1734
95,-296,2448,-1726
96,-1284,3262,-1034
98,-1306,3586,-1076
99,-422,2964,-1116
101,-1270,3834,-1186
102,-704,2640,-896
103,-656,2948,-604
105,-1204,3508,-548
106,-870,2940,-690
107,-1214,3828,-792
109,-1210,3720,-804
110,-854,2954,-584
112,-2684,5004,348
113,-942,3856,-1376
114,-788,2948,-1062
116,-2116,4900,-886
117,-1072,2462,-342
119,-1230,4106,-1650
120,-1416,3796,-1544
121,-214,4062,-1024
123,-2142,5086,-1004
124,-742,1952,-1690
126,-1510,4010,-1458
127,-1658,4424,-1830
128,-378,3336,-1824
130,-960,3802,-1728
131,-1210,3078,-1366
132,-1302,3666,-1268
134,-1248,4394,-1752
135,-350,2428,-1664
137,-1952,3972,-1330
138,-1914,3030,-1042
139,-670,3366,-1122
141,-1458,4132,-1212
142,-650,2642,-752
144,-838,3456,-824
145,-1298,3118,-488
146,-1168,2962,-480
148,-1408,3564,-780
149,-902,3406,-726
150,-898,2812,-904
152,-1956,4942,80
153,108,2632,-990
155,184,1780,-1306
156,-1476,4340,-530
157,-552,2696,-192
159,-932,3238,-1628
160,-888,2934,-1382
162,-620,2852,-1278
163,-1964,4190,-1418
164,-4,2080,-1716
166,-740,2958,-1412
167,-1246,3728,-1530
168,-292,3166,-1708
170,-524,3592,-1618
171,-678,2424,-1746
173,-1170,3068,-1320
174,-950,3838,-1740
175,-274,2478,-1772
177,-1278,4442,-1000
178,-1366,3654,-1034
180,-454,3012,-1292
181,-1354,3808,-1226
182,-836,2766,-812
184,-636,3964,-616
185,-1230,3530,-706
186,-866,2802,-558
188,-1448,3750,-712
189,-1214,3634,-800
190,-668,3136,-680
192,-2332,4690,90
193,-1266,3972,-448
195,540,2704,-1138
196,-1906,4638,-770
197,-1252,2620,-454
199,-1122,3932,-1460
200,-1370,3754,-1594
201,-420,3734,-1094
203,-1986,4818,-1056
204,-980,3140,-1684
206,-1230,3712,-1522
207,-1620,4342,-1508
208,-868,3252,-1824
210,-696,3682,-1868
211,-1118,3146,-1624
212,-1432,3658,-1204
214,-1210,4392,-1332
215,-704,3308,-1760
217,-1774,3848,-1458
218,-1816,4086,-1090
219,-838,3468,-1162
221,-1240,3906,-1222
222,-1182,2792,-782
224,-972,3410,-776
225,-1224,3854,-556
226,-1096,3026,-546
228,-1420,3478,-546
229,-1402,3318,-744
230,-1016,3178,-832
232,-1994,4340,-194
233,42,2300,-1006
235,-414,2384,-1058
236,-1300,4052,-492
237,-578,2912,-292
239,-1088,3398,-1592
240,-794,3050,-1294
241,-836,3428,-1144
243,-1912,4558,-1452
244,-234,2270,-1724
246,-886,3230,-1606
247,-1532,3670,-1578
248,-650,3246,-1650
250,-880,3630,-1706
251,-518,2500,-1654
252,-912,2896,-1468
254,-1686,3960,-1554
255,-76,2610,-1648
257,-1146,3216,-1692
258,-1874,3460,-1070
259,-460,2956,-1026
261,-1298,3820,-1120
262,-836,2798,-928
263,-674,2960,-760
265,-1152,3738,-484
266,-866,3108,-554
268,-1372,3256,-708
269,-1368,3640,-720
270,-644,3066,-744
272,-1484,4780,120
273,-786,3186,-702
275,126,1818,-976
