timestamp,accX,accY,accZ
0,-1170,3370,-1194
2,-1074,3626,-1120
3,-886,3564,-1020
5,-1142,3412,-1096
6,-1090,3216,-830
7,-1172,3476,-738
9,-1320,3652,-572
10,-970,3356,-930
11,-930,3568,-830
13,-994,3488,-604
14,-1258,3680,-268
15,-1450,3914,-642
17,-458,3334,-1172
18,-1122,3492,-808
19,-1732,3650,-620
21,-1258,3210,-856
22,-884,3672,-1298
24,-884,3330,-1420
25,-1036,3816,-998
26,-1448,3960,-1160
28,-792,3174,-1380
29,-1130,3578,-1734
30,-1028,3634,-1574
32,-576,3562,-1542
33,-1206,3324,-1348
35,-1344,3134,-1428
36,-766,3496,-1640
37,-818,3786,-1810
39,-1002,3300,-1192
40,-1302,3124,-1036
41,-1382,3524,-1100
43,-988,3672,-1184
44,-1036,3602,-1124
46,-1230,3412,-934
47,-970,3130,-834
48,-1246,3728,-470
50,-1392,3124,-850
51,-894,3238,-1030
52,-868,3600,-442
54,-1046,3456,-284
55,-1834,3880,-282
57,-1248,3080,-1244
58,-316,3020,-1060
59,-1502,3748,-536
61,-1252,3132,-552
62,-750,3424,-964
64,-900,3226,-1524
65,-1166,3298,-1334
66,-1426,4046,-1180
68,-802,3066,-1460
69,-1130,3332,-1510
70,-1286,3656,-1586
72,-612,3470,-1568
73,-962,3658,-1636
75,-1166,2914,-1328
76,-986,3316,-1450
77,-828,3786,-1700
79,-864,3570,-1506
80,-1084,3158,-1156
81,-1450,3578,-1028
83,-906,3692,-1334
84,-950,3674,-1234
85,-1192,3294,-922
87,-986,3062,-960
88,-954,3824,-218
90,-1174,3432,-636
91,-1066,3088,-882
92,-926,3722,-848
94,-960,3452,-438
95,-1518,3382,-388
96,-1210,3752,-838
98,-132,3040,-1240
99,-412,3716,-772
101,-1736,3482,-662
102,-1074,3042,-1040
103,-942,3818,-1396
105,-780,3018,-1722
106,-1192,4102,-1036
107,-944,3610,-1218
109,-828,3080,-1572
110,-1172,3508,-1620
111,-742,3458,-1612
113,-598,3598,-1636
114,-1292,3280,-1322
116,-1196,2932,-1226
117,-942,3844,-1678
118,-822,3900,-1628
120,-852,3368,-1080
121,-1706,3558,-932
123,-1180,3676,-1180
124,-776,3690,-1132
125,-1298,3580,-1034
127,-1104,3076,-836
128,-954,3590,-562
129,-1348,3754,-254
131,-1022,3194,-924
132,-1036,3710,-1014
134,-872,3746,-478
135,-1726,3572,-364
136,-1878,3856,-534
138,-778,2964,-1062
139,-732,3460,-1044
140,-1724,3770,-562
142,-1568,3214,-760
143,-964,3838,-1118
145,-858,3592,-1598
146,-1422,3696,-1260
147,-1328,3914,-1356
149,-822,3196,-1346
150,-1272,3342,-1650
151,-1242,3432,-1584
153,-646,3738,-1666
154,-958,3542,-1598
156,-1180,2992,-1212
157,-954,3368,-1482
158,-856,3850,-1642
160,-972,3240,-1420
161,-1434,3170,-1146
163,-1694,3596,-1228
164,-892,3746,-1014
165,-930,3684,-964
167,-1002,2984,-884
168,-886,3244,-976
169,-1060,3552,-464
171,-1170,3066,-698
172,-1214,3328,-1044
173,-694,3538,-840
175,-1186,3512,-472
176,-1946,3776,-620
178,-508,3036,-1120
179,-194,3096,-1158
180,-1092,3554,-750
182,-1346,3148,-542
183,-1098,3478,-1300
184,-792,3342,-1636
186,-1220,3320,-1428
187,-1638,3884,-1356
188,-734,3264,-1342
190,-890,3372,-1468
191,-1316,3408,-1592
193,-750,3574,-1472
194,-666,3694,-1464
195,-1276,3134,-1188
197,-1148,3120,-1260
198,-982,3830,-1696
200,-706,3542,-1586
201,-1020,3216,-1020
202,-1434,3516,-1126
204,-1044,3688,-1174
205,-968,3602,-996
206,-1182,3144,-962
208,-1010,2960,-716
209,-1012,3660,-348
210,-1022,3328,-526
212,-1342,3272,-970
213,-782,3542,-1018
215,-876,3696,-440
216,-1552,3660,-492
217,-1068,3154,-950
219,-408,3042,-1070
220,-1118,3720,-802
221,-1404,3258,-748
223,-1252,3536,-1108
224,-890,3558,-1400
226,-936,3496,-1298
227,-1342,3638,-1226
228,-912,3368,-1350
230,-708,3522,-1502
231,-1126,3384,-1534
233,-994,3356,-1568
234,-870,3640,-1704
235,-958,3296,-1578
237,-1212,3266,-1290
238,-1132,3594,-1374
239,-678,3680,-1584
241,-850,3258,-1402
242,-1470,3294,-968
243,-1306,3566,-942
245,-848,3714,-1178
246,-1050,3356,-926
248,-1032,3216,-988
249,-960,3534,-504
250,-930,3444,-500
252,-1364,3354,-758
253,-1008,3410,-960
254,-810,3848,-576
256,-1578,3826,-572
257,-1428,3380,-918
259,-622,3284,-954
260,-856,3684,-1030
261,-1136,3102,-890
263,-1434,3380,-1088
264,-1034,3552,-1454
265,-846,3686,-1376
267,-1448,3842,-1454
268,-972,3324,-1290
270,-896,3482,-1424
271,-1132,3398,-1424
272,-1134,3428,-1636
274,-826,3630,-1694
