timestamp,accX,accY,accZ
0,-1302,3578,-764
2,-930,3348,-1290
3,-986,3228,-1508
4,-1300,3806,-1378
6,-980,3488,-1268
7,-816,3334,-1420
9,-1164,3330,-1480
10,-944,3248,-1552
11,-674,3922,-1682
13,-744,3436,-1662
14,-954,2930,-1486
15,-1106,3712,-1296
17,-1052,3830,-1446
18,-678,3322,-1574
20,-1270,3278,-1290
21,-1226,3354,-834
22,-1192,3828,-974
24,-938,3372,-1064
25,-950,3144,-962
26,-1042,3568,-672
28,-1014,3378,-436
29,-1166,3378,-566
31,-1170,3510,-654
32,-922,3634,-690
33,-1424,3746,-548
35,-1442,3426,-548
36,-1056,3250,-660
37,-682,3474,-1010
39,-882,3486,-912
40,-1322,3612,-904
42,-1154,3608,-916
43,-1016,3306,-1216
44,-1538,3872,-1446
46,-1200,3754,-1512
47,-852,3406,-1596
48,-1158,3572,-1320
50,-1056,3126,-1556
51,-984,3796,-1688
53,-828,3918,-1594
54,-594,2892,-1500
55,-1360,3420,-1372
57,-1354,3722,-1414
58,-866,3596,-1434
59,-1026,3304,-1550
61,-1200,3426,-966
62,-1198,3648,-1002
63,-1098,3682,-982
65,-1126,3180,-988
66,-972,3370,-966
68,-934,3534,-558
69,-1314,3306,-448
70,-1526,3440,-452
72,-1226,3508,-920
73,-1198,4036,-724
74,-1286,3716,-702
76,-1158,3194,-494
77,-1148,3616,-762
79,-722,3210,-1080
80,-1030,3442,-1118
81,-1148,3478,-1012
83,-1222,3426,-956
84,-1414,3754,-1284
85,-1196,3586,-1404
87,-810,3572,-1698
88,-974,3638,-1480
89,-748,3226,-1396
91,-1186,3546,-1296
92,-1034,3658,-1810
94,-746,3360,-1620
95,-1044,3270,-1680
96,-1410,3634,-1128
98,-1024,3642,-1218
99,-816,3382,-1440
100,-954,3442,-1184
102,-1186,3484,-1056
103,-1242,3762,-914
105,-944,3244,-932
106,-1102,3478,-882
107,-1070,3296,-822
109,-976,3270,-426
110,-1418,3476,-284
112,-1106,3272,-810
113,-1132,3876,-776
114,-1060,3246,-802
116,-1212,3188,-520
117,-1460,3612,-794
118,-600,3164,-956
120,-782,3298,-1118
121,-1214,3440,-1068
123,-1216,3398,-1138
124,-1098,3516,-1366
125,-1090,3386,-1398
127,-1148,3520,-1550
128,-912,3690,-1544
129,-864,3196,-1560
131,-1196,3378,-1330
132,-1284,3634,-1582
133,-506,3468,-1806
135,-790,3250,-1474
136,-1368,3534,-1240
138,-1354,3678,-1052
139,-826,3400,-1594
140,-990,3288,-1410
142,-1100,3282,-882
143,-1182,3670,-744
144,-880,3258,-978
146,-1084,3608,-926
147,-948,3454,-932
149,-626,3262,-664
150,-1254,3354,-438
151,-1350,3202,-520
153,-1242,4100,-838
154,-810,3444,-858
156,-1046,3182,-384
157,-1410,3546,-578
158,-780,3328,-666
160,-644,3522,-1206
161,-1018,3362,-1070
162,-1200,3310,-972
164,-1204,3622,-1100
165,-1138,3448,-1272
167,-1254,3510,-1618
168,-924,3646,-1712
169,-600,3426,-1426
171,-996,3330,-1270
172,-1434,3618,-1440
173,-614,3564,-1794
175,-858,3336,-1876
176,-1476,3540,-1268
178,-1446,3538,-1042
179,-996,3592,-1298
180,-756,3364,-1350
182,-1250,3444,-1002
183,-1274,3680,-982
184,-1010,3480,-856
186,-1158,3480,-826
187,-1214,3630,-838
188,-702,3308,-586
190,-1202,3314,-756
191,-1558,3254,-546
193,-1298,3886,-664
194,-740,3732,-968
195,-742,3356,-736
197,-1596,3510,-514
198,-1204,3436,-858
199,-664,3448,-1200
201,-886,3426,-1338
202,-1046,3426,-1208
204,-1274,3634,-966
205,-1370,3666,-1326
206,-1076,3290,-1580
208,-1022,3714,-1872
209,-674,3198,-1574
211,-1172,3234,-1268
212,-1622,3566,-1554
213,-1026,3296,-1798
215,-420,3480,-2052
216,-1302,3630,-1250
217,-1560,3466,-1034
219,-1012,3552,-1162
220,-914,3350,-1560
221,-1202,3448,-1092
223,-1186,3586,-740
224,-864,3292,-918
226,-1126,3356,-722
227,-1254,3490,-914
228,-598,3232,-876
230,-892,3394,-428
231,-1436,3110,-356
232,-1612,3552,-334
234,-1198,4150,-1090
235,-502,3004,-1088
237,-1320,3414,-530
238,-1756,3382,-534
239,-688,3420,-942
241,-730,3698,-1290
242,-1046,3032,-1256
243,-1432,3730,-996
245,-1534,3230,-1148
246,-1096,3178,-1448
248,-1258,3714,-1748
249,-274,3352,-1606
250,-806,3290,-1432
252,-1438,3186,-1212
253,-514,3112,-1674
254,-522,3658,-1976
256,-776,3434,-1366
257,-1582,3284,-1224
259,-1392,3380,-1394
260,-730,3562,-1380
261,-1020,3560,-1390
263,-1146,3614,-926
264,-818,3330,-914
265,-1068,3238,-750
267,-1398,3618,-674
268,-736,3254,-1042
270,-710,3586,-850
271,-1380,3246,-280
272,-1380,3134,-414
274,-1790,4006,-858
