timestamp,accX,accY,accZ
0,-1012,3252,-468
2,-1394,3402,-564
3,-1274,3282,-766
4,-852,3378,-852
6,-1222,3872,-452
7,-1148,3488,-638
9,-684,2864,-842
10,-924,3722,-708
11,-1042,3378,-794
13,-712,3064,-1292
14,-1124,3496,-1070
15,-1246,3128,-968
17,-1540,4164,-1148
18,-522,3320,-1534
20,-664,3150,-1660
21,-1148,3530,-1292
22,-962,3356,-1216
24,-942,3480,-1684
25,-1010,3390,-1624
26,-878,3484,-1670
28,-916,3152,-1670
29,-1192,3568,-1200
31,-1332,3706,-1366
32,-966,3328,-1636
33,-772,3534,-1618
35,-1210,3714,-970
36,-1626,3678,-822
37,-1004,3264,-1130
39,-766,3362,-938
40,-948,3300,-948
42,-1174,3248,-418
43,-1052,3370,-734
44,-1026,3192,-866
46,-1710,4260,-486
47,-1226,3820,-684
48,-596,3128,-620
50,-1642,3808,-568
51,-1096,3406,-640
53,-658,3526,-1152
54,-1066,3606,-1290
55,-978,3080,-904
57,-1554,4070,-1116
58,-978,3606,-1346
59,-514,3596,-1662
61,-1342,3794,-1406
62,-970,3282,-1418
64,-1122,3522,-1652
65,-1090,3380,-1566
66,-912,3654,-1616
68,-656,3204,-1716
69,-838,2998,-1048
70,-1508,3854,-1060
72,-870,3306,-1442
73,-744,3668,-1596
75,-1434,3768,-996
76,-1464,3542,-692
77,-1276,3354,-1118
79,-798,3344,-972
80,-848,3250,-722
81,-1300,3520,-552
83,-1176,3438,-496
84,-852,3344,-610
86,-1510,4026,-584
87,-1514,4206,-878
88,-552,2856,-800
90,-1396,3470,-346
91,-1694,3112,-596
92,-526,3194,-1106
94,-830,3686,-1200
95,-1018,3170,-978
96,-1624,3912,-878
98,-1330,4032,-1484
99,-816,3194,-1708
101,-1394,3822,-1288
102,-742,3332,-1294
104,-996,3556,-1454
105,-1154,3166,-1372
106,-862,3600,-1550
108,-756,3578,-1776
109,-1128,3240,-1336
110,-1642,3726,-990
112,-1276,3280,-1614
113,-564,3390,-1706
115,-1270,3642,-840
116,-1608,3542,-682
117,-974,3322,-968
119,-792,3264,-842
120,-1092,3280,-850
122,-1242,3428,-644
123,-876,3266,-780
124,-1128,3128,-550
126,-1468,4294,-460
127,-836,3876,-978
128,-348,2912,-684
130,-1868,3780,-358
131,-1306,3450,-486
133,-680,3418,-1272
134,-1084,3616,-1324
135,-1134,3166,-1038
137,-1630,4108,-1042
138,-896,3524,-1450
139,-642,2994,-1526
141,-1400,3808,-1468
142,-714,3366,-1406
143,-862,3518,-1670
145,-1318,3290,-1446
146,-912,3324,-1702
148,-818,3368,-1914
149,-764,3098,-1584
150,-1410,3498,-1026
152,-976,3412,-1378
153,-488,3158,-1728
154,-858,3834,-1036
156,-1650,3502,-822
157,-1254,3376,-1148
159,-880,3356,-932
160,-1026,3284,-868
161,-1172,3460,-626
163,-910,3396,-630
164,-872,3290,-672
165,-1308,3858,-460
167,-1580,4334,-528
168,-422,3340,-1024
169,-1376,3438,-432
171,-1932,3864,-366
172,-1106,3112,-1224
174,-748,3614,-1246
175,-1022,3270,-1070
176,-1644,3834,-890
178,-1318,4138,-1198
179,-478,3080,-1612
180,-1554,3756,-1542
182,-1290,3752,-1370
183,-494,3568,-1460
185,-1312,3558,-1524
186,-1282,3150,-1578
187,-546,3514,-1778
189,-628,3502,-1814
190,-1078,3544,-1044
191,-1452,3530,-1022
193,-816,3394,-1528
194,-1128,3718,-1234
196,-1606,3634,-822
197,-1628,3340,-996
198,-674,3330,-1004
200,-846,3374,-740
201,-1440,3350,-704
202,-956,3478,-626
204,-682,3440,-626
205,-1322,3210,-684
206,-1932,4126,-372
208,-1152,2942,-1224
209,-544,2798,-778
211,-1900,3828,-296
212,-770,3118,-726
213,-202,3282,-1216
215,-1062,2988,-1092
216,-1536,3176,-994
218,-1498,4272,-1284
219,-434,2908,-1610
220,-1332,3250,-1540
222,-1706,3576,-1338
223,-562,3508,-1530
225,-960,3604,-1578
226,-1064,3024,-1394
227,-742,3392,-1588
229,-454,3326,-1584
230,-1254,3328,-1186
231,-1744,3644,-1420
233,-578,3368,-1686
234,-712,3540,-1526
235,-1406,3654,-804
237,-1392,3414,-838
238,-730,3354,-1048
240,-506,3330,-916
241,-1374,3406,-540
242,-1284,3498,-658
244,-706,3294,-830
245,-1104,3052,-654
246,-1614,4452,-402
248,-506,3574,-1020
249,-88,2580,-566
251,-2088,3988,-404
252,-1346,3470,-410
253,-290,3682,-1444
255,-960,3274,-1230
256,-1350,2788,-790
257,-1358,4306,-1124
259,-326,3318,-1460
260,-638,3608,-1598
262,-1562,3788,-1348
263,-490,3424,-1522
264,-592,3540,-1768
266,-1440,3194,-1438
267,-882,3204,-1862
268,-804,3708,-1668
270,-1074,3524,-1450
271,-1492,3520,-1022
273,-1036,3632,-1666
274,-464,3472,-1388
