timestamp,accX,accY,accZ
0,-838,3358,-1288
2,-454,3586,-1540
3,-1560,3914,-1236
4,-454,3058,-1384
6,-510,4030,-1372
7,-1308,3082,-1244
9,-1060,2912,-1058
10,-1022,4020,-1068
11,-924,3386,-1108
13,-702,2990,-748
14,-1606,3896,-644
15,-1348,4192,-740
17,-1030,2948,-870
18,-1434,3414,-942
19,-1340,3542,-442
21,-1052,3514,-642
22,-1756,3950,-386
24,-1220,2664,-1076
25,-890,3678,-874
26,-1290,3324,-610
28,-1152,2828,-848
29,-1262,3540,-1312
31,-364,3128,-1274
32,-1128,3726,-1376
33,-2026,4268,-1626
35,-774,2948,-1180
36,-994,4218,-1672
38,-866,2794,-1322
39,-1376,3910,-1668
40,-1010,3842,-1488
42,-846,3164,-1578
43,-1794,4144,-1362
44,-218,2932,-1718
46,-1164,3980,-1332
47,-1280,2790,-1172
49,-970,3242,-1166
50,-1374,4034,-1056
51,-886,3130,-1258
53,-784,2736,-1074
54,-1744,4226,-614
56,-1120,3924,-570
57,-342,2958,-858
58,-1302,3452,-950
60,-1098,3316,-498
61,-804,4006,-484
63,-1416,3442,-588
64,-564,2402,-954
65,-978,4456,-654
67,-940,3818,-824
68,-806,2848,-1224
69,-1316,3606,-1320
71,-584,3460,-1172
72,-684,4074,-1194
74,-1832,3788,-1264
75,-216,3206,-1350
76,-1348,4734,-1486
78,-1090,3526,-1314
79,-570,3730,-1680
80,-968,3856,-1888
82,-584,2790,-1538
83,-1922,4360,-1488
84,-1376,3774,-1162
86,-28,3578,-1454
87,-1620,4036,-1274
89,-1160,3056,-1030
90,-766,4034,-984
91,-1188,3706,-954
93,-364,2568,-756
94,-1896,4146,-470
95,-1550,4172,-776
97,-452,2934,-716
98,-1344,3638,-876
100,-1614,3784,-330
101,-894,3448,-756
103,-1690,4174,-850
104,-404,2440,-922
105,-1352,4162,-606
107,-1454,2982,-742
108,-962,2782,-906
109,-1410,3660,-1216
111,-526,3196,-1126
112,-1012,3654,-1272
114,-1718,2734,-1596
115,-656,2610,-1454
116,-1324,4288,-1352
118,-1346,2734,-1350
119,-1132,3236,-1530
120,-1134,3236,-1278
122,-530,3086,-1476
123,-1582,4000,-1418
125,-534,2716,-1556
126,-764,3332,-1426
127,-1358,3304,-1124
129,-728,2902,-1114
130,-1328,3688,-940
132,-812,3216,-1246
133,-362,2850,-1184
134,-1694,4034,-750
136,-1406,3882,-678
137,-366,3062,-834
138,-1384,3644,-982
140,-1202,3314,-424
141,-848,4022,-486
143,-1372,3468,-798
144,-456,2306,-834
146,-1554,4542,-484
147,-1066,3868,-772
148,-582,3058,-1140
150,-1408,3496,-1204
151,-902,3536,-998
152,-1192,3972,-1324
154,-1538,3652,-1708
155,-430,3272,-1190
157,-1326,4542,-1416
158,-942,2732,-1434
159,-1064,3386,-1918
161,-1226,3716,-1272
162,-988,3422,-1550
164,-1356,3942,-1694
165,-1380,2976,-1406
166,-1230,3756,-1352
168,-1128,3760,-1242
169,-844,3288,-930
171,-1356,3804,-912
172,-456,2908,-1420
173,-724,2868,-936
175,-1808,4312,-766
176,-886,3474,-560
178,-392,2832,-788
179,-1536,3602,-712
180,-1058,3254,-324
182,-1104,4020,-580
183,-888,2860,-838
185,-512,2486,-568
186,-1572,4538,-582
187,-596,3284,-780
189,-614,3314,-1256
190,-1444,3432,-1356
192,-814,3374,-1144
193,-1398,4162,-1366
194,-748,2830,-1826
196,-824,4068,-1410
197,-1254,4254,-1436
199,-488,3098,-1744
200,-1138,3560,-1896
201,-1098,3278,-1200
203,-638,4000,-1602
204,-1302,3618,-1650
205,-762,2934,-1240
207,-1180,3984,-1522
208,-868,3142,-1380
209,-788,3168,-954
211,-1420,3728,-738
212,-872,3272,-1252
214,-296,3112,-726
215,-1928,3928,-442
216,-1824,4366,-808
218,-520,2914,-1002
219,-1200,3544,-940
220,-1442,3594,-180
222,-1234,3920,-408
223,-740,3362,-838
225,-1026,3142,-1062
226,-1884,4562,-550
227,-1124,3060,-1066
229,-948,3056,-1108
230,-1310,3236,-982
232,-834,3648,-974
233,-1014,3854,-1182
234,-1420,2436,-1746
236,-1056,2804,-1318
237,-1432,4538,-1468
238,-424,2744,-1418
240,-1070,3014,-1844
241,-1350,3132,-1078
243,-662,3264,-1546
244,-1340,3668,-1464
245,-600,2794,-1254
247,-1150,3548,-1304
248,-1316,3296,-1256
250,-750,3116,-922
251,-1418,3768,-878
252,-462,2800,-1424
254,-200,2662,-290
255,-2090,4502,-670
257,-1206,3590,-688
258,-174,3488,-916
259,-1534,3746,-712
261,-1234,3282,-246
262,-1174,3882,-756
264,-694,2768,-1016
265,-424,3978,-608
266,-2058,4642,-388
268,-618,3272,-1120
269,-490,3418,-1250
270,-1446,3486,-1286
272,-1004,3564,-1198
273,-1208,4054,-1344
275,-1326,3482,-2048
276,-1572,3480,-1122
