timestamp,accX,accY,accZ
0,-1906,4296,-290
2,-1244,4250,-1176
3,-120,2676,-766
5,-2024,3980,-432
6,-1588,3808,-886
7,-266,3472,-1292
9,-1144,3790,-1212
10,-1044,3312,-778
11,-1512,4230,-1092
13,-920,3708,-1564
14,-1132,3308,-1660
16,-1726,4152,-1414
17,-720,3288,-1530
18,-1002,3708,-1506
20,-1406,3516,-1312
21,-386,2906,-1842
23,-598,3424,-1826
24,-1332,3608,-1222
25,-1474,3512,-1048
27,-1178,3478,-1710
28,-832,3526,-1358
29,-1260,3554,-960
31,-1832,3478,-860
32,-378,2900,-1046
33,-528,3156,-770
35,-1330,3406,-468
36,-1096,3206,-504
38,-1110,3510,-722
39,-1216,3104,-678
40,-1376,3476,-492
42,-1982,3606,-816
43,-108,2340,-964
44,-1094,3138,-444
46,-1052,3400,-532
47,-182,3020,-1026
49,-742,3562,-1274
50,-1264,2746,-1056
51,-1548,3648,-1176
53,-586,3256,-1474
54,-602,2636,-1672
55,-1568,3710,-1382
57,-416,3166,-1540
58,-648,3584,-1544
60,-1330,3202,-1646
61,-662,2920,-1626
62,-398,3204,-1684
64,-1256,3538,-1378
65,-1590,3590,-992
66,-1350,3440,-1800
68,-582,3418,-1602
69,-1006,3536,-696
70,-1764,3618,-656
72,-776,3162,-1084
73,-372,3136,-1058
75,-1246,3422,-658
76,-1364,3404,-390
77,-1228,3412,-754
79,-1144,3362,-768
80,-1142,3218,-800
81,-1748,4326,-472
83,-210,2828,-1036
84,-508,2474,-466
85,-1564,3992,-480
87,-512,2978,-748
88,-262,3984,-1246
90,-1056,2940,-1088
91,-1418,3030,-924
92,-1014,3820,-1470
94,-336,2694,-1652
95,-1008,3246,-1376
96,-878,3430,-1364
98,-514,3222,-1588
99,-958,3710,-1692
100,-816,3264,-1420
102,-380,3000,-1860
103,-1244,3706,-1430
105,-1208,3506,-1190
106,-1430,3594,-1546
107,-810,3682,-1772
109,-688,3444,-1028
110,-1888,3730,-698
111,-1264,3280,-680
113,-540,3042,-1030
114,-932,3608,-992
116,-1220,3378,-578
117,-1234,3500,-556
118,-1132,3562,-586
120,-1088,3164,-666
121,-1912,4512,-406
122,-996,3976,-722
124,-98,2744,-476
125,-2048,4092,-450
127,-1304,3540,-986
128,-214,4010,-1418
129,-1198,3784,-1228
131,-1102,2536,-770
132,-1792,4542,-944
133,-644,3384,-1578
135,-472,3680,-1676
136,-1534,3962,-1428
137,-652,3344,-1510
139,-1214,3720,-1516
140,-1118,3358,-1574
142,-738,3078,-1952
143,-916,3558,-1612
144,-1250,3794,-1136
146,-1384,3396,-1150
147,-1118,3536,-1622
149,-544,3590,-1282
150,-1560,3892,-806
151,-1614,3640,-866
153,-500,3042,-1022
154,-834,3442,-1110
155,-1062,3388,-554
157,-1440,3716,-488
158,-1014,3352,-754
160,-1308,3364,-678
161,-1868,4124,-412
162,-1414,3122,-980
164,-412,2670,-826
165,-1518,3480,-440
166,-882,3220,-498
168,-512,3576,-1148
169,-944,3074,-1214
171,-1368,3182,-1058
172,-1746,4208,-870
173,-1098,2916,-1622
175,-1128,3320,-1608
176,-1498,3840,-1474
177,-624,3456,-1536
179,-946,3798,-1640
180,-1300,3174,-1482
182,-694,3004,-1722
183,-564,3244,-1484
184,-1032,3530,-1280
186,-1400,3374,-1126
187,-1372,3442,-1642
188,-746,3360,-1380
190,-1214,3892,-1154
191,-1688,3248,-860
192,-712,2894,-966
194,-514,3150,-766
195,-1130,3352,-464
197,-1312,3394,-504
198,-1196,3406,-670
199,-998,3220,-688
201,-1456,3468,-308
202,-1352,4002,-560
204,-206,2822,-946
205,-626,3474,-620
206,-1500,3676,-528
208,-766,3232,-1172
209,-984,3644,-1250
210,-1200,2996,-1216
212,-1380,4404,-1018
213,-770,3606,-1412
215,-632,2852,-1578
216,-1268,3596,-1414
217,-678,3408,-1460
219,-680,3784,-1594
220,-988,3254,-1586
221,-864,2894,-1554
223,-720,3610,-1628
224,-1088,3938,-1446
225,-1248,3550,-1466
227,-1324,3302,-1600
228,-854,3378,-1388
230,-1152,3942,-948
231,-1380,3594,-950
232,-918,3116,-1182
234,-526,3368,-960
235,-984,3304,-604
236,-1322,3312,-388
238,-1080,3456,-972
239,-918,3396,-812
241,-1648,3864,-528
242,-1840,4132,-220
243,-786,3282,-772
245,-994,3292,-830
246,-1418,3796,-638
248,-920,3332,-882
249,-962,3794,-1134
250,-1116,3224,-1150
252,-1656,4078,-1084
253,-1178,3926,-1332
254,-482,3262,-1374
256,-1416,3614,-1370
257,-1138,3370,-1604
258,-720,3750,-1712
260,-852,3514,-1750
261,-960,2870,-1616
263,-754,3036,-1672
264,-1258,3956,-1424
265,-1012,3354,-1414
267,-1186,3336,-1570
268,-1080,3432,-1202
270,-1254,3822,-1032
271,-1568,3906,-908
272,-1076,2932,-1112
274,-664,3198,-1056
