timestamp,accX,accY,accZ
0,-596,2596,34
2,-2404,4824,-444
3,-526,3312,-1036
5,-956,3266,-956
6,-2394,4270,-416
7,-1738,2860,-686
9,-298,3070,-1268
10,-1476,3492,-858
11,-774,3720,-294
13,-1568,4536,-572
14,-652,3592,-1058
16,-1116,2954,-1336
17,-2216,4376,-1036
18,-1050,2892,-1650
20,-1032,3692,-1354
21,-1952,3814,-1384
22,-752,3204,-1616
24,-1288,4966,-1464
25,-784,2004,-1616
27,-1554,3256,-1266
28,-1652,4376,-1424
29,-402,2622,-1752
31,-1526,3858,-1570
32,-2352,2964,-1240
33,-216,2912,-1672
35,-1030,3888,-1448
36,-1850,3326,-430
38,-858,3188,-938
39,-578,3062,-1456
40,-1870,3482,4
42,-1912,4282,-194
43,-1746,2738,-1260
44,-602,2840,-1106
46,-1330,3602,96
47,-1288,3778,-2
49,-162,2804,-1356
50,-720,3066,-978
51,-1448,3538,-644
53,-1762,4304,-1078
54,-164,2896,-1256
56,-762,2650,-1176
57,-1476,4118,-950
58,-746,3510,-1422
60,-456,3374,-1376
61,-1242,2996,-1514
62,-1004,2836,-1556
64,-910,4560,-1452
65,-450,2858,-1558
67,-1100,2514,-1446
68,-1122,3894,-1434
69,-252,3350,-1496
71,-864,3714,-1164
72,-1594,3504,-964
73,-672,3198,-1530
75,-1142,3776,-1172
76,-1712,3870,-698
78,-1450,2786,-1106
79,76,2484,-1724
80,-1538,3636,-194
82,-1976,4034,-300
83,-104,2834,-1058
84,-564,2796,-968
86,-1840,3814,-128
87,-1768,4272,314
89,-1056,2748,-1382
90,-434,2544,-1282
91,-1112,3454,-122
93,-1510,3980,-416
94,-260,2930,-1368
95,-640,3250,-1536
97,-1636,3866,-796
98,-1106,3800,-1534
100,-1038,3536,-1254
101,-992,3184,-1638
102,-1102,3746,-1762
104,-1118,4534,-1580
105,-782,3600,-1824
107,-1546,3150,-1404
108,-1152,3698,-1392
109,-626,3408,-1826
111,-1384,3710,-1524
112,-1706,3596,-1106
113,-632,3254,-1520
115,-892,3600,-1446
116,-1320,3832,-508
118,-1214,3252,-720
119,-170,2406,-1036
120,-1810,3946,-92
122,-2014,4456,-278
123,-1198,2632,-1428
125,-668,3054,-1046
126,-1526,3976,100
127,-1716,4032,186
129,-482,3350,-1170
130,-390,2618,-1240
132,-1740,3950,-612
133,-2002,3490,-1002
134,-232,2852,-1200
136,-836,3190,-1348
137,-1380,3784,-1032
139,-980,3634,-1242
140,-954,3508,-1452
141,-1032,2876,-1544
143,-1062,3174,-1744
144,-962,4220,-1422
146,-544,2910,-1532
147,-1262,3464,-1372
148,-1034,3704,-1288
150,-192,3226,-1924
151,-1698,3794,-1094
152,-1450,3366,-910
154,-1078,3378,-1500
155,-1076,3658,-1284
157,-1322,3790,-650
158,-834,2950,-960
159,-30,2332,-1662
161,-1492,4344,-252
162,-1994,4258,-398
163,-166,2942,-1318
165,-990,3396,-894
166,-1904,3816,-202
168,-1620,3802,-654
169,-426,3124,-1334
170,-230,2432,-952
172,-2194,4642,-106
173,-1630,4132,-334
175,-322,2932,-1340
176,-1020,3444,-1532
177,-1346,3754,-972
179,-1014,3642,-1526
180,-1168,3642,-1232
181,-1036,2810,-1618
183,-1258,3802,-1824
184,-1008,4484,-1384
186,-632,2634,-1772
187,-1744,3196,-1286
188,-1162,3412,-1294
190,-276,3468,-1948
191,-1404,3906,-1092
192,-1402,3208,-1020
194,-808,3292,-1422
195,-1148,3596,-1204
197,-1394,3808,-782
198,-1240,3550,-762
199,-288,2640,-1070
201,-2010,3894,-40
202,-1982,4454,-510
203,-40,2666,-1308
205,-634,3174,-1194
206,-1492,3696,-26
208,-1602,3782,198
209,-934,3640,-1222
210,-624,2294,-1358
212,-1416,3608,-818
213,-2166,3644,-828
214,-338,2644,-1082
216,-996,3276,-1500
217,-1216,3656,-1142
219,-750,3336,-1340
220,-1104,3630,-1162
221,-916,2890,-1378
223,-922,3032,-1744
224,-1142,4248,-1666
226,-334,2800,-1668
227,-1224,3660,-1266
228,-930,3558,-1364
230,-378,3092,-2254
231,-1694,4076,-1318
233,-1320,3468,-1052
234,-900,3218,-1392
235,-1302,3804,-1246
237,-1256,3846,-908
238,-1110,3280,-1012
239,-136,2384,-1728
241,-1244,4128,-24
242,-2112,4550,-404
244,-472,3186,-1576
245,-844,3380,-1000
246,-1922,3972,-284
248,-1652,3890,-402
249,-658,3284,-1192
250,-462,2792,-1224
252,-396,4184,-480
253,-1882,4338,-344
255,-784,3040,-1158
256,-1040,3472,-1410
257,-1320,3970,-1370
259,-798,3304,-1514
260,-1288,3642,-1166
261,-1414,3372,-1332
263,-1026,3430,-1814
264,-1076,4530,-1832
266,-616,2670,-1748
267,-1708,3292,-1196
268,-1394,3716,-1314
270,-340,3226,-1960
271,-1258,3986,-1896
272,-1550,3030,-1090
274,-830,2986,-1252
275,-1336,3722,-830
