timestamp,accX,accY,accZ
0,-2246,5148,-226
2,-626,2744,-1194
3,-1498,3952,-1624
4,-1256,3700,-1418
6,-436,3920,-1220
7,-1376,3912,-1312
9,-1330,2960,-1364
10,-1154,3674,-1602
11,-1038,4210,-1680
13,-484,2850,-1574
14,-1694,3310,-1074
16,-1750,3784,-1332
17,-480,3230,-1868
18,-824,3696,-2002
20,-1718,3046,-886
21,-1126,3012,-1236
22,-1098,3620,-1312
24,-792,3344,-902
25,-1278,4016,-1068
27,-1258,1978,-1480
28,-1320,2604,-198
29,-2474,4840,-484
31,-2370,2518,-1318
32,-372,2884,-1124
33,-1188,3912,-218
35,-1250,3214,352
36,-1378,3916,-446
37,-948,2028,-1678
39,-610,2680,-1280
40,-2382,5214,-318
42,26,2260,-894
43,-1130,2928,-1310
44,-1602,3958,-1262
46,-334,3432,-1134
47,-1050,3986,-1318
49,-1240,2738,-1092
50,-842,2910,-1384
51,-942,4176,-1902
53,-288,3172,-1912
54,-1234,2902,-1096
55,-1692,3784,-1196
57,-408,3350,-1476
58,-514,3252,-1606
60,-1394,3796,-974
61,-896,2908,-1052
62,-852,3740,-1120
64,-1064,3592,-690
65,-1174,3500,-1086
66,-652,3040,-1438
68,72,2078,-1118
69,-2412,5092,-296
70,-1014,3556,-822
72,550,2362,-1250
73,-1844,4002,-708
75,-1554,3372,150
76,-1308,3194,-852
77,-976,3356,-1004
79,372,1938,-862
80,-2208,5242,-242
82,-904,3446,-784
83,-180,2130,-1338
84,-1816,4082,-1418
86,-504,3432,-1190
87,-310,3842,-1502
88,-2140,3706,-1042
90,-870,2598,-1522
91,-944,4244,-1788
93,-570,3868,-2182
94,-494,3180,-1138
95,-2082,4242,-1156
97,-770,3472,-1704
98,-822,3694,-1896
99,-1996,4446,-1304
101,-790,2708,-1438
102,-1128,3734,-1258
103,-1622,3768,-772
105,-896,3732,-1132
106,-1266,4014,-1240
108,366,2282,-284
109,-2332,4658,-86
110,-2488,4584,-480
112,530,2798,-1012
113,-1024,3714,-1314
115,-2266,3870,274
116,-956,3388,-592
117,-1138,3908,-758
119,-414,2560,-1282
120,-2004,4788,-486
121,-1662,4594,-998
123,-68,2570,-1188
124,-1716,3872,-1260
125,-1326,3832,-1308
127,-504,3536,-1762
128,-1612,3620,-1008
130,-1026,3004,-1288
131,-796,3788,-1498
132,-874,4060,-1936
134,-1188,2858,-1246
135,-1682,3734,-1288
137,-1548,3184,-1570
138,-368,2970,-1990
139,-1608,4028,-1080
141,-686,2812,-1196
142,-410,2928,-1646
143,-1668,3636,-602
145,-1130,3222,-1084
146,-1054,3866,-1718
148,-402,2456,-834
149,-2178,3722,84
150,-2602,3412,-900
152,148,2442,-1220
153,-522,3298,-596
154,-1632,3762,350
156,-1244,3252,-226
157,-616,3158,-988
159,-252,2506,-1370
160,-1692,4054,-360
161,-1780,3290,-1044
163,-528,2430,-990
164,-1380,3256,-1116
165,-566,3676,-1140
167,-594,3584,-1624
168,-812,3280,-1264
170,-1236,3144,-974
171,-1088,3686,-1692
172,-504,3482,-2006
174,-794,2976,-1108
175,-1660,3836,-1132
177,-790,3576,-1506
178,-530,3454,-1668
179,-1704,3980,-1280
181,-996,3294,-1596
182,-898,3516,-1256
183,-1610,3900,-602
185,-1194,3296,-1196
186,-1016,3872,-1356
188,202,2550,-1544
189,-1656,4530,-216
190,-2374,4450,-484
192,598,2566,-1068
193,-1176,3710,-1156
194,-2172,3730,-252
196,-1404,3412,-772
197,-932,3360,-918
199,-380,2564,-1072
200,-1850,4762,-400
201,-1210,4166,-720
203,4,2782,-1176
204,-1632,3560,-1198
205,-1328,3798,-1214
207,-310,3940,-1582
208,-1282,3244,-1672
210,-1172,2422,-996
211,-1012,4384,-1590
212,-422,3508,-1900
214,-446,3236,-1722
215,-1666,3458,-966
216,-1078,3634,-1702
218,-926,3590,-1738
219,-1286,3476,-1316
221,-1134,3458,-1226
222,-438,3032,-1560
223,-1300,3626,-532
225,-1426,3396,-830
226,-886,3606,-1232
227,62,2728,-598
229,-2076,3942,-98
230,-2826,4798,-882
232,-294,2474,-1200
233,-686,3676,-1192
234,-2046,3904,250
236,-1402,3492,-300
237,-654,3472,-884
238,-648,2740,-1332
240,-2114,4518,-548
241,-1650,4554,-1264
242,-598,2686,-1004
244,-1526,3394,-1236
245,-1874,3482,-1030
247,-510,3802,-1652
248,-1040,3888,-1676
249,-1098,2686,-1012
251,-1600,4356,-1304
252,-842,2884,-1850
254,-840,2940,-2044
255,-1566,3364,-984
256,-642,3532,-1374
258,-700,3618,-1994
259,-1304,3310,-1422
260,-1228,3596,-1034
262,-634,3380,-1620
263,-862,3678,-774
264,-1668,3440,-614
266,-1112,3420,-1632
267,280,2756,-1376
269,-1710,3060,-270
270,-2346,4166,-434
271,382,2408,-1048
273,-440,3088,-1110
274,-1758,3496,-290
