timestamp,accX,accY,accZ
0,-792,3346,-1428
2,-1670,4024,-1632
3,-750,3338,-1184
4,-668,4198,-816
6,-1634,3708,-900
7,-790,2782,-954
9,-844,3614,-930
10,-1148,3454,-616
11,-1386,3384,-638
13,-1204,3676,-796
14,-1032,3570,-804
15,-1638,3730,-484
17,-2230,4734,-120
18,-432,1952,-1012
19,-1096,3258,-728
21,-1928,4240,-640
22,-982,3030,-930
24,-1088,4100,-1376
25,-1176,3334,-1308
26,-1762,4230,-892
28,-1504,4518,-1206
29,-470,2696,-1728
30,-1698,3860,-1448
32,-1246,3776,-1658
33,-484,3816,-1616
35,-1096,3756,-1706
36,-978,2604,-1708
37,-1136,3700,-1500
39,-1118,4218,-1484
40,-1040,3014,-1484
41,-1830,3736,-1468
43,-1234,3174,-1258
44,-1162,3926,-1110
46,-1756,4038,-912
47,-1110,2790,-1090
48,-750,3556,-944
50,-1000,3564,-396
51,-1390,3268,-460
52,-1398,3600,-732
54,-1068,3356,-920
55,-1236,3414,-636
57,-2284,4450,-380
58,44,2332,-1058
59,-300,2590,-826
61,-1690,4092,-422
62,-698,2816,-550
63,-782,3714,-1242
65,-1270,2774,-1166
66,-1466,3486,-1052
67,-1828,4624,-1468
69,-394,2558,-1588
70,-1138,3420,-1522
72,-1684,3380,-1496
73,-490,3426,-1600
74,-776,3870,-1684
76,-772,2636,-1518
77,-682,2664,-1714
78,-1338,4190,-1396
80,-626,2996,-1392
81,-1152,3072,-1560
83,-1676,3516,-1152
84,-744,3380,-1140
85,-1516,4058,-1172
87,-782,2774,-1058
88,-432,3136,-1022
89,-944,3324,-732
91,-1430,3162,-386
92,-1408,3386,-692
94,-896,3474,-708
95,-1042,3268,-940
96,-1588,4554,-102
98,-632,3372,-702
99,40,2116,-1020
100,-1776,4268,-760
102,-880,3250,-424
103,-538,4050,-1334
105,-1192,3300,-1364
106,-948,2766,-1126
107,-1598,4460,-1274
109,-484,2854,-1628
110,-518,2616,-1398
111,-1420,3926,-1420
113,-528,3248,-1676
114,-570,3828,-1788
116,-1046,3344,-1430
117,-452,2502,-1528
118,-1398,4336,-1514
120,-1108,3650,-1462
121,-580,2816,-1590
122,-1418,3884,-1430
124,-964,3230,-1134
125,-928,4182,-930
126,-1026,3288,-1078
128,-562,2682,-940
129,-1190,3718,-830
131,-1110,3308,-420
132,-1346,3456,-754
133,-1196,3552,-774
135,-786,3224,-684
136,-2302,4606,-80
138,-1238,3770,-458
139,-170,2894,-770
140,-1720,4218,-712
142,-1048,3530,-636
143,-640,3770,-1138
144,-1348,3650,-1222
146,-872,2724,-1016
147,-1750,4450,-1208
148,-860,3334,-1464
150,-566,3466,-1558
151,-1522,3944,-1216
153,-846,3534,-1528
154,-930,3636,-1680
155,-1034,3782,-1694
157,-860,2364,-1834
158,-1398,3532,-1482
160,-1600,4504,-1264
161,-518,2754,-1488
162,-1476,3634,-1764
164,-1250,3274,-1028
165,-1282,3740,-700
167,-1596,3984,-1246
168,-504,2898,-996
169,-866,3444,-904
171,-1154,3346,-364
172,-1108,3132,-558
173,-1386,3406,-650
175,-1094,3416,-912
176,-1522,4072,-454
177,-1782,3032,-830
179,-542,2352,-722
180,-1246,3530,-546
182,-648,3170,-702
183,-552,3246,-1026
184,-1294,3834,-1018
186,-1212,3068,-1154
187,-1510,4122,-1138
188,-1232,3094,-1554
190,-858,3088,-1712
191,-1398,3684,-1376
193,-744,3546,-1560
194,-780,3492,-1534
195,-1026,3530,-1684
197,-536,2930,-1760
198,-616,2966,-1212
199,-1478,3972,-1172
201,-806,2964,-1432
202,-1006,3826,-1642
204,-1136,3436,-1126
205,-1064,3432,-852
206,-1784,3472,-1168
208,-626,2902,-1132
209,-638,3324,-912
210,-1262,3320,-476
212,-1118,3120,-492
213,-1234,3592,-582
214,-1204,3272,-870
216,-1092,3602,-388
217,-864,3632,-644
219,-548,2434,-848
220,-966,3932,-684
221,-790,3404,-712
223,-474,3078,-1160
224,-896,3512,-1148
225,-1162,3010,-1036
227,-1338,3726,-1270
228,-952,3402,-1404
230,-856,2954,-1638
231,-1166,3812,-1322
232,-784,3632,-1650
234,-788,3348,-1528
235,-972,3632,-1654
236,-842,3296,-1466
238,-76,3570,-1378
239,-1622,4268,-1144
241,-1234,3408,-1550
242,-1234,3644,-1866
243,-1130,3688,-1470
245,-996,3714,-686
246,-1524,3978,-906
248,-838,3120,-1050
249,-1180,3620,-870
250,-1204,3634,-740
252,-1246,3152,-576
253,-1394,3528,-518
255,-1230,3404,-900
256,-1534,4108,-444
257,-1496,4324,-462
259,-478,2512,-712
260,-1484,3618,-602
261,-1368,3874,-816
263,-470,3372,-1152
264,-1228,3796,-1174
265,-1206,3104,-960
267,-1520,4106,-1026
268,-1114,3846,-1384
269,-978,3102,-1740
271,-1348,3638,-1550
272,-786,3676,-1552
274,-962,3496,-1342
