timestamp,accX,accY,accZ
0,-900,3818,-1238
2,-1382,3602,-1148
3,-2098,4440,-840
4,-488,2544,-1444
6,-1146,3946,-1760
7,-1536,3944,-1432
9,-780,3712,-1526
10,-1044,3768,-1604
11,-964,2934,-1490
13,-1484,4032,-1446
14,-896,3772,-1572
15,-360,3572,-1176
17,-1606,3638,-1196
18,-1282,3158,-1230
20,-954,4092,-1262
21,-1188,3790,-882
22,-810,2534,-878
24,-1772,3782,-464
25,-1456,4440,-810
26,-734,2912,-798
28,-1398,3314,-1100
29,-1480,3608,-240
30,-826,3316,-468
32,-1800,4046,-416
33,-1616,2390,-1326
35,-476,3096,-1114
36,-1650,4558,-550
37,-978,2536,-566
39,-1046,3356,-1296
40,-1080,3242,-1324
41,-876,3116,-1204
43,-2122,4392,-1012
44,-1466,2246,-1422
46,-872,3686,-1610
47,-1520,4300,-1746
48,-1054,3234,-1204
50,-1274,4396,-1790
51,-1000,2422,-1424
52,-1398,3628,-1692
54,-1708,4390,-1712
55,-378,2974,-1330
57,-1694,4078,-1040
58,-796,2830,-1064
59,-862,3786,-1100
61,-1242,4284,-1088
62,-444,2284,-1244
64,-1656,3290,-398
65,-1672,3912,-688
66,-374,3030,-682
68,-1146,3184,-958
69,-1286,3578,-518
70,-474,3154,-442
72,-1228,4012,-412
73,-832,3054,-1068
75,-142,2690,-928
76,-1536,4254,-760
77,-1092,3096,-492
79,-1148,3786,-1298
80,-856,3818,-1398
81,-378,3050,-1220
83,-1408,4000,-1092
84,-682,2718,-1510
86,-664,3116,-1708
87,-954,3318,-1666
88,-1146,3076,-1206
90,-1112,3658,-1278
91,-560,2786,-1442
92,-1324,3370,-1328
94,-790,3128,-1520
95,-188,3122,-1580
97,-1532,3396,-1222
98,-1008,2650,-1224
99,-1120,3606,-1220
101,-914,3620,-1104
102,-558,2800,-1280
103,-1070,3662,-490
105,-1410,4162,-684
106,-684,3536,-850
108,-1384,3320,-1014
109,-1384,3456,-798
110,-828,3626,-532
112,-1460,3850,-516
113,-1430,3212,-1066
115,-922,3574,-978
116,-1166,4264,-652
117,-1052,2776,-752
119,-1434,3290,-1184
120,-1072,3718,-1236
122,-862,3478,-1394
123,-1940,4270,-1140
124,-1058,2602,-1164
126,-1058,4188,-1444
127,-1138,3850,-1558
128,-1422,3558,-1400
130,-1154,4230,-1838
131,-712,2816,-1644
133,-1780,4024,-1614
134,-1574,3816,-1786
135,-270,3658,-1304
137,-1488,4276,-1414
138,-1096,2800,-1096
139,-1480,4036,-970
141,-1182,3992,-1260
142,-476,2680,-1168
144,-1818,3398,-622
145,-1712,4080,-688
146,-300,3068,-818
148,-1160,3262,-922
149,-1436,3288,-490
150,-586,3386,-486
152,-1370,3962,-666
153,-746,2568,-1026
155,-876,3100,-986
156,-1388,3890,-852
157,-812,2932,-736
159,-1310,3096,-1326
160,-728,3436,-1286
161,-428,3316,-1232
163,-1404,3730,-1250
164,-382,2332,-1698
166,-1198,3614,-1100
167,-1120,3028,-1728
168,-984,2794,-1180
170,-1422,4094,-1400
171,-368,2736,-1356
172,-1064,3524,-1396
174,-1828,3012,-1428
175,-320,2908,-1544
177,-1444,4384,-1324
178,-698,2482,-1220
179,-1128,3460,-1008
181,-930,3482,-1096
182,-414,2812,-1400
184,-1002,3640,-516
185,-1588,4148,-718
186,-800,3674,-542
188,-422,3314,-976
189,-1476,3418,-674
190,-1018,3346,-430
192,-1248,3940,-652
193,-964,2850,-872
195,-626,4040,-738
196,-1310,4412,-590
197,-600,3296,-902
199,-1478,3372,-1176
200,-1178,3430,-1172
201,-524,3798,-1268
203,-1604,4126,-1230
204,-1462,3266,-1674
206,-1472,3982,-1162
207,-1226,4676,-1598
208,-642,2660,-1252
210,-1486,3964,-1818
211,-1036,3628,-1426
212,-374,3528,-1732
214,-1794,4318,-1464
215,-1038,3126,-1494
217,-1478,4144,-1412
218,-1376,3796,-1208
219,-940,3344,-930
221,-1558,4136,-850
222,-868,3266,-1448
223,-1672,3458,-448
225,-1862,4274,-480
226,-1542,2908,-668
228,-964,3126,-968
229,-1372,3686,-404
230,-674,3174,-306
232,-1168,3808,-554
233,-1378,3720,-1040
234,-874,3016,-880
236,-1682,4474,-610
237,-1278,2840,-824
239,-1120,3030,-1078
240,-1510,3572,-1186
241,-590,3278,-1094
243,-1142,3794,-1292
244,-620,2444,-1648
246,-776,2776,-1366
247,-1498,3912,-1666
248,-312,2354,-1410
250,-1310,3300,-1854
251,-782,3094,-1008
253,-522,3206,-1556
254,-1642,3812,-1326
255,-230,2464,-1474
257,-980,3572,-1220
258,-1084,3092,-1124
259,-662,2902,-972
261,-1506,3900,-908
262,-452,2852,-1440
264,-436,2792,-1014
265,-2030,4206,-788
266,-1112,3634,-606
268,-328,2962,-1074
269,-1620,3704,-804
270,-1116,3286,-382
272,-1070,4022,-580
273,-1086,3078,-912
275,-308,2310,-780
