timestamp,accX,accY,accZ
0,-226,3458,-1608
2,-1754,3818,-1472
3,-842,2842,-1302
5,-1008,4266,-1692
6,-1124,3472,-1460
7,-902,3610,-1444
9,-1046,3922,-1744
10,-482,3412,-1522
11,-1672,3746,-1276
13,-1640,3568,-960
14,-712,3278,-1680
16,-1014,3712,-1458
17,-1414,3622,-894
18,-1378,3838,-820
20,-1072,3700,-1148
21,158,2898,-426
22,-2470,4848,-224
24,-1768,4446,-920
25,-354,2562,-1042
27,-1700,3660,-806
28,-2440,3632,-180
29,-108,2954,-982
31,-872,3342,-830
32,-1198,2950,-810
34,-1492,4106,-292
35,-1104,3010,-1348
36,-568,2074,-1286
38,-1642,3534,-1308
39,-1860,3396,-1162
40,-406,2944,-1516
42,-1782,3898,-1524
43,-552,2804,-1310
44,-706,3960,-1530
46,-1168,2844,-1598
47,-1316,2884,-1268
49,-1354,3954,-1842
50,-266,3144,-1754
51,-1180,3510,-1504
53,-1842,3364,-944
54,-342,2994,-1534
55,-544,3456,-1096
57,-1370,3370,-812
58,-1212,3322,-766
60,-1290,3956,-1392
61,-166,2114,-1126
62,-2204,3512,-74
64,-2446,3868,-838
65,700,2174,-1062
66,-888,3020,-274
68,-1910,3934,28
69,78,2718,-694
70,-366,3856,-888
72,-1272,3046,-822
73,-1198,3228,-544
75,-1480,4066,-1142
76,-208,2244,-1088
77,-1134,2596,-1046
79,-1090,4088,-974
80,300,2674,-1440
81,-968,4046,-1300
83,-936,2736,-1390
84,-506,2994,-1764
86,-1042,3704,-1844
87,-750,2462,-1400
88,-1534,4168,-1552
90,-378,3414,-1882
91,-508,3090,-1354
92,-1980,3846,-970
94,-668,2922,-1248
95,-142,3864,-1314
97,-1680,3754,-818
98,-1176,2960,-958
99,-1146,4012,-1222
101,8,2540,-1568
102,-1008,2462,122
103,-2014,4726,-920
105,170,2740,-830
106,88,3646,-884
108,-2640,4296,154
109,-986,3648,-932
110,-600,3200,-1084
112,-1626,3382,-754
113,-1310,3940,-470
114,-1044,4552,-1048
116,-366,3308,-1104
117,-1804,3266,-1258
119,-1992,4578,-780
120,-322,2850,-1632
121,-1712,3882,-1676
123,-1816,3450,-1312
124,-522,3878,-1436
125,-1134,4462,-1658
127,-730,2462,-1344
128,-1518,3972,-1486
130,-1020,4008,-1526
131,76,3314,-1544
132,-2050,4042,-1264
134,-1608,3598,-1492
135,-384,3314,-1766
136,-1514,3982,-1176
138,-1612,3098,-662
139,-852,3628,-1186
141,-812,3420,-1290
142,-2264,3424,166
143,-2346,4862,-478
145,-1346,2308,-1258
146,-744,2792,-1050
147,-2192,4182,254
149,-74,2976,-692
150,48,2682,-1308
152,-1136,3248,-850
153,-1448,3480,-412
154,-1450,4416,-1396
156,-570,2542,-1346
157,-1064,2578,-1204
158,-2184,4078,-914
160,-20,2988,-1384
161,-610,3374,-1702
163,-1966,2882,-1500
164,-736,3178,-1346
165,-802,4450,-1736
167,-890,2442,-1542
168,-1594,3262,-1266
169,-1490,3462,-1950
171,-450,3126,-1670
172,-1524,3800,-844
174,-746,3066,-1274
175,-166,3028,-1748
176,-800,4004,-898
178,-1490,3290,-408
179,-974,3064,-1282
181,-290,2904,-1528
182,-824,2616,-532
183,-2614,4770,-968
185,-150,3030,-1042
186,372,2422,-694
187,-2568,4162,82
189,-1572,3914,-54
190,24,2838,-1322
192,-1250,3188,-816
193,-1652,3360,-322
194,-1014,4262,-730
196,-286,3588,-1402
197,-754,2588,-1340
198,-1970,4184,-916
200,-650,3880,-1470
201,-2,3524,-1560
203,-1902,3360,-1398
204,-986,2842,-1616
205,-794,4444,-1682
207,-886,3264,-1712
208,-1414,3434,-1426
209,-982,4028,-1400
211,-162,3606,-1818
212,-1812,3560,-1280
214,-1864,3642,-862
215,-654,3168,-1672
216,-1112,3682,-1424
218,-1700,3778,-558
219,-640,3280,-1162
220,-534,3246,-1346
222,-194,3582,272
223,-2166,4556,-358
225,-1360,3894,-1470
226,-602,2906,-1176
227,-1880,3708,-402
229,-2486,3666,-390
230,198,2736,-1298
232,-456,2792,-852
233,-1396,3874,-350
234,-1620,4252,-352
236,-578,3816,-1416
237,-1084,2676,-1296
238,-1792,3688,-1178
240,-1394,3462,-1264
241,-402,3102,-1664
242,-1660,3366,-1466
244,-1046,3348,-1424
245,-638,4318,-1854
247,-768,2716,-1672
248,-1492,2866,-1452
249,-1612,3832,-1714
251,-326,3314,-1796
252,-1154,3448,-1708
254,-2130,3368,-1012
255,-354,2974,-1528
256,-698,3434,-1054
258,-1626,3670,-472
259,-984,3118,-768
260,-576,2926,-1456
262,-1150,3212,-434
263,-2438,4134,-758
264,-1920,3134,-1154
266,68,2736,-1548
267,-1078,3824,36
269,-1890,4004,-64
270,-682,3422,-1394
271,178,2786,-1006
273,-1592,3590,-722
274,-2078,4290,-560
