timestamp,accX,accY,accZ
0,-910,3692,-656
2,-1406,3218,-448
3,-1212,3048,-768
4,-1422,3646,-724
6,-930,3280,-878
7,-1350,3642,74
9,-858,3434,-742
10,-22,1990,-906
11,-802,4316,-768
13,-934,3226,-428
14,-536,2974,-1260
15,-1138,3426,-1312
17,-808,2710,-1196
18,-1574,4348,-1302
20,-778,3020,-1398
21,-498,2714,-1464
22,-1406,3930,-1318
24,-672,3410,-1718
25,-476,3786,-1786
27,-1062,3822,-1526
28,-760,2738,-1904
29,-1728,4112,-1286
31,-1412,4414,-1332
32,-622,2890,-1638
33,-1652,3940,-1710
35,-1330,3676,-964
36,-778,4080,-730
37,-1376,3822,-1080
39,-836,2768,-834
40,-974,3564,-818
42,-1146,3640,-416
43,-1374,3114,-746
44,-1412,3624,-698
46,-1128,3638,-786
47,-1742,4104,-446
49,-1842,4320,-130
50,-476,2364,-784
51,-1398,3756,-814
53,-1346,3976,-614
54,-680,3422,-1032
55,-1304,3966,-1094
57,-1060,3110,-1188
58,-1580,4320,-1222
59,-1212,4028,-1346
61,-772,2970,-1742
62,-1582,3792,-1422
64,-1022,3772,-1632
65,-882,3550,-1606
66,-1000,3632,-1922
68,-940,2450,-1808
69,-1098,3296,-1528
70,-1660,4502,-1360
72,-404,2608,-1588
73,-1312,3534,-1902
75,-1430,3246,-1020
76,-1158,3592,-880
77,-1658,4150,-1230
79,-390,2682,-990
80,-930,3458,-828
81,-1228,3172,-466
83,-954,3050,-452
84,-1334,3580,-636
86,-1294,3212,-960
87,-1268,3776,-656
88,-1926,4504,-634
90,-494,2292,-648
91,-1142,3326,-628
93,-1388,3254,-628
94,-530,3152,-860
95,-1222,3760,-1120
97,-1094,3016,-1120
98,-1286,3826,-1090
100,-1080,3422,-1320
101,-722,2918,-1590
102,-1202,3736,-1328
104,-836,3554,-1526
105,-762,3374,-1392
106,-1102,3692,-1638
108,-580,2926,-1568
109,-294,2674,-1182
111,-1560,4242,-1160
112,-702,2914,-1880
113,-716,3930,-1726
115,-1360,3590,-1090
116,-862,3152,-722
118,-1214,3780,-1144
119,-678,2812,-886
120,-1282,3796,-854
122,-1252,3544,-494
123,-1026,3024,-638
124,-1472,3676,-578
126,-1290,3482,-800
127,-930,4210,-476
128,-1462,4158,-490
130,-658,2772,-622
131,-1532,3776,-666
133,-1102,3818,-722
134,-482,3478,-1028
135,-1440,3794,-1102
137,-1188,3106,-1122
138,-1014,4092,-1314
140,-1158,3890,-1324
141,-1042,3056,-1776
142,-1298,3674,-1386
144,-964,3898,-1538
145,-950,3370,-1610
146,-970,3396,-1840
148,-960,2674,-1924
149,-1116,3332,-1548
151,-1556,4236,-1226
152,-1344,2776,-1552
153,-1262,3634,-1870
155,-1246,3922,-1102
156,-1280,3512,-910
158,-1704,4020,-1230
159,-340,2826,-1006
160,-986,3470,-830
162,-1330,3290,-484
163,-796,3100,-580
164,-1254,3526,-594
166,-1334,3184,-806
167,-1248,3680,-580
168,-1878,4594,-796
170,-534,2290,-804
171,-1164,3078,-590
173,-1560,3410,-568
174,-326,3090,-892
175,-1172,3792,-1058
177,-1070,2920,-1144
178,-1260,3902,-1088
180,-1332,3368,-1390
181,-936,2978,-1512
182,-1312,3422,-1426
184,-808,3648,-1686
185,-762,3548,-1498
186,-1168,3538,-1622
188,-722,3096,-1588
189,-160,2728,-1972
190,-1486,4306,-1108
192,-1012,3248,-1212
193,-746,2986,-1786
195,-1184,3644,-1266
196,-1000,3200,-940
197,-1734,3924,-1000
199,-610,3064,-1244
200,-348,2952,-780
201,-1406,3654,-408
203,-1158,3218,-426
204,-784,3614,-518
206,-1258,3410,-736
207,-1140,3196,-398
208,-1412,4280,-422
210,-388,2670,-940
211,-818,3804,-562
212,-1220,3752,-632
214,-314,2952,-1158
215,-588,3772,-1158
217,-1232,2972,-1066
218,-1132,3254,-1094
219,-998,3822,-1472
221,-716,2782,-1698
222,-1138,3866,-1392
223,-644,3466,-1568
225,-682,3378,-1624
226,-1126,3488,-1590
227,-702,2990,-1526
229,-98,3554,-1466
230,-1520,4158,-1314
232,-1348,3518,-1112
233,-888,3730,-1818
234,-942,3674,-1540
236,-838,3226,-726
237,-1726,3868,-846
239,-954,3130,-1120
240,-180,3550,-1010
241,-1320,3784,-654
243,-1328,3354,-466
244,-1226,3554,-718
245,-1298,3528,-588
247,-1108,3734,-532
248,-1768,4584,-392
249,-538,3370,-726
251,-1360,3300,-512
252,-1708,4114,-604
254,-742,3274,-1006
255,-1132,3934,-1180
256,-1356,3396,-1118
258,-1216,3894,-1056
259,-1370,4280,-1272
261,-712,2860,-1626
262,-1398,3658,-1540
263,-1130,3768,-1404
265,-600,3604,-1548
266,-1314,3682,-1546
267,-938,3350,-1644
269,-418,3042,-1948
270,-1478,4122,-1384
272,-1430,3020,-1268
273,-1146,3312,-1578
274,-1100,3908,-1318
