timestamp,accX,accY,accZ
0,-746,3356,-1284
2,-1154,3332,-1142
3,-1250,3786,-918
4,-1326,3956,-1102
6,-838,3408,-1638
7,-990,3488,-1652
9,-1060,3638,-1414
10,-882,3318,-1310
11,-1026,3130,-1584
13,-1162,3362,-1564
14,-624,3518,-1702
15,-900,3442,-1528
17,-1260,3332,-1202
18,-1084,3490,-1292
20,-880,3624,-1482
21,-742,3422,-1472
22,-1488,3648,-866
24,-1484,3650,-856
25,-876,3352,-1104
26,-1012,3410,-944
28,-1094,3358,-868
29,-976,3420,-562
31,-1010,3358,-622
32,-1376,3514,-768
33,-1416,4100,-616
35,-904,3074,-1020
36,-1042,3028,-728
37,-1578,3552,-486
39,-714,3390,-812
40,-432,3108,-1280
42,-848,3274,-998
43,-1582,3724,-990
44,-1336,3902,-1300
46,-758,3128,-1600
47,-1154,3366,-1592
48,-1156,3782,-1218
50,-754,3426,-1484
51,-1062,3074,-1520
52,-1314,3530,-1530
54,-704,3754,-1660
55,-522,3482,-1626
57,-1404,3264,-1194
58,-1468,3502,-1230
59,-994,3596,-1628
61,-732,3408,-1644
62,-1388,3518,-966
64,-1336,3488,-884
65,-946,3490,-1036
66,-986,3400,-854
68,-1056,3220,-834
69,-956,3400,-704
70,-962,3238,-712
72,-1480,3330,-398
73,-1584,4088,-812
75,-512,3468,-1104
76,-504,2928,-416
77,-1316,3666,-444
79,-1232,3420,-484
80,-526,3362,-1358
81,-984,3162,-1294
83,-1488,3276,-960
84,-1700,3936,-956
85,-538,3232,-1414
87,-880,3190,-1614
88,-1164,3750,-1540
90,-660,3536,-1266
91,-860,3144,-1558
92,-1420,3088,-1488
94,-934,3440,-1724
95,-592,3600,-1770
97,-1136,3112,-1480
98,-1492,3600,-938
99,-908,3776,-1418
101,-468,3426,-1534
102,-914,3648,-1014
103,-1450,3366,-862
105,-1050,3466,-1072
106,-1178,3480,-968
108,-1084,3220,-864
109,-956,3524,-672
110,-836,3442,-802
112,-1068,3232,-388
113,-1640,3956,-412
114,-1112,4002,-1004
116,-636,3004,-902
117,-1642,3520,-308
119,-1820,3398,-582
120,-316,3388,-1294
122,-674,3398,-1228
123,-1666,3468,-1058
124,-1632,4096,-762
126,-966,3052,-1448
127,-1218,3240,-1586
128,-1442,3702,-1370
130,-490,3506,-1464
131,-904,3276,-1382
133,-1530,3236,-1304
134,-714,3418,-1594
135,-440,3748,-1704
137,-1154,3108,-1362
138,-1638,3284,-950
139,-1418,3558,-1444
141,-364,3272,-1772
142,-1326,3576,-1034
144,-1696,3222,-752
145,-778,3230,-866
146,-920,3572,-868
148,-1140,3234,-842
149,-966,3350,-808
150,-868,3378,-784
152,-1256,3154,-428
153,-1708,3552,-588
155,-712,3776,-1044
156,-46,2892,-1352
157,-988,3760,-392
159,-1580,3478,-238
160,-750,3254,-1476
161,-816,3384,-1366
163,-1122,2908,-1164
164,-1676,3614,-984
166,-666,3396,-1204
167,-740,3028,-1724
168,-1248,3776,-1570
170,-662,3504,-1526
171,-642,3412,-1372
172,-1554,3150,-1366
174,-1100,3032,-1444
175,-656,3786,-1990
177,-878,3556,-1466
178,-1414,3220,-896
179,-1280,3602,-1312
181,-468,3496,-1524
182,-652,3832,-1056
183,-1720,3536,-952
185,-1034,3024,-858
186,-680,3640,-890
188,-1324,3430,-712
189,-1060,3108,-764
190,-838,3640,-854
192,-866,3310,-620
193,-1378,3800,-260
194,-1508,4130,-656
196,-276,3306,-1200
197,-1380,3406,-570
198,-1956,3722,-368
200,-1376,3384,-970
201,-604,3608,-1584
203,-766,3084,-1122
204,-1458,3978,-812
205,-1264,4004,-1078
207,-384,3114,-1466
208,-1444,3644,-1544
210,-1168,3766,-1344
211,-660,3508,-1454
212,-1296,3362,-1458
214,-1410,3096,-1352
215,-494,3588,-1768
216,-734,3894,-1430
218,-832,3122,-1116
219,-1462,3420,-1106
221,-1134,3504,-1558
222,-936,3626,-1270
223,-1494,3684,-934
225,-818,3132,-880
226,-670,3264,-944
228,-1068,3498,-540
229,-1158,3234,-680
230,-918,3366,-946
232,-658,3374,-600
233,-1484,3464,-402
234,-1984,4058,-754
236,-196,2880,-1366
237,-492,3100,-862
239,-1718,3530,-272
240,-1138,3326,-648
241,-470,3530,-1294
243,-966,3044,-1362
244,-1652,3602,-896
245,-1636,3478,-1368
247,-578,2988,-1500
248,-1132,3274,-1368
250,-872,3624,-1472
251,-524,3514,-1600
252,-820,3324,-1496
254,-1136,2966,-1342
255,-950,3208,-1792
256,-824,3752,-1560
258,-1032,3272,-1408
259,-1432,3072,-1334
261,-916,3658,-1370
262,-656,3542,-1134
263,-1206,3662,-1050
265,-1102,3188,-964
266,-582,3364,-974
268,-1302,3588,-588
269,-1336,3294,-650
270,-896,3518,-872
272,-750,3556,-866
273,-1116,3620,-286
274,-1880,4014,-332
