timestamp,accX,accY,accZ
0,-1180,3650,-800
2,-1114,3466,-744
3,-962,3278,-964
5,-972,3380,-1150
6,-876,3196,-1186
7,-1020,3418,-1118
9,-1232,3612,-988
10,-896,3142,-1534
11,-1002,3250,-1466
13,-1084,3814,-1406
14,-672,2972,-1396
15,-1166,3668,-1724
17,-902,3156,-1462
18,-594,3154,-1540
20,-1378,3904,-1244
21,-706,2830,-1560
22,-928,3256,-1338
24,-968,3306,-1118
25,-904,3272,-1158
27,-1038,3300,-1176
28,-902,3200,-1204
29,-1364,3902,-760
31,-1112,3464,-920
32,-878,3210,-834
33,-880,3446,-678
35,-1192,3510,-440
36,-916,3150,-582
38,-1244,3792,-862
39,-824,3316,-922
40,-908,3792,-670
42,-1394,3676,-794
43,-1010,3332,-868
44,-1092,3624,-982
46,-1000,3224,-1126
47,-988,3520,-956
49,-1224,3804,-1064
50,-1124,3442,-1588
51,-1230,3612,-1496
53,-1320,4056,-1408
54,-712,3068,-1402
55,-1316,3646,-1604
57,-1204,3478,-1516
58,-694,3522,-1592
60,-1476,4246,-1426
61,-1066,3364,-1460
62,-1182,3664,-1198
64,-1004,3500,-1334
65,-918,3592,-1092
66,-1220,3552,-1010
68,-902,3120,-1246
69,-1492,3990,-680
71,-1180,3704,-668
72,-1088,3186,-896
73,-966,3218,-828
75,-1058,3538,-612
76,-960,3172,-602
77,-1444,3732,-710
79,-1240,3788,-894
80,-952,3282,-664
82,-1590,3880,-870
83,-1402,3172,-944
84,-860,3590,-812
86,-1124,3634,-1298
87,-974,3104,-1152
88,-1244,3740,-1088
90,-1206,3160,-1568
91,-1072,3100,-1444
93,-1458,3980,-1318
94,-526,3054,-1458
95,-1028,3330,-1516
97,-1442,3212,-1234
98,-548,3062,-1500
100,-1144,3964,-1466
101,-824,2956,-1498
102,-910,3268,-1302
104,-1146,3280,-1166
105,-1018,3396,-1204
106,-1094,3624,-1102
108,-930,3254,-1250
109,-1316,3832,-974
111,-1264,3446,-666
112,-1100,3318,-780
113,-938,3164,-876
115,-1112,3612,-522
116,-822,3158,-672
117,-1240,3880,-860
119,-998,3476,-882
120,-648,3058,-742
122,-1278,3846,-794
123,-1112,3220,-878
124,-616,3202,-1018
126,-980,3432,-1202
127,-1060,3112,-1270
128,-940,3854,-1112
130,-960,3522,-1226
131,-884,2896,-1388
133,-1424,4118,-1524
134,-706,3430,-1456
135,-690,3684,-1740
137,-1378,3500,-1360
138,-716,2936,-1602
139,-1422,4212,-1486
141,-1022,3366,-1396
142,-688,3556,-1220
144,-1114,3474,-1190
145,-1042,3180,-1084
146,-1024,3520,-902
148,-936,3170,-1244
149,-1254,3582,-726
150,-1124,3546,-720
152,-1150,3308,-686
153,-1066,3222,-760
154,-1034,3668,-742
156,-974,3588,-690
157,-1420,3484,-782
159,-1522,3964,-724
160,-844,3136,-750
161,-1354,3762,-1000
163,-1492,3674,-866
164,-714,3378,-806
165,-1132,3800,-976
167,-1186,3016,-1304
168,-1022,3438,-1190
170,-1168,3846,-1444
171,-1048,2992,-1426
172,-1444,3836,-1470
174,-1094,4024,-1522
175,-872,3268,-1590
177,-1332,3712,-1730
178,-1298,3056,-1338
179,-1172,3806,-1536
181,-1272,3900,-1718
182,-718,3322,-1292
183,-1162,3636,-1146
185,-1080,3224,-1202
186,-1072,3514,-1048
187,-986,3350,-1332
189,-1306,3930,-986
190,-1302,3678,-840
192,-1058,3246,-698
193,-1104,3276,-676
194,-1002,3410,-790
196,-966,3214,-718
197,-936,3008,-724
199,-1650,3794,-626
200,-770,3186,-790
201,-910,3428,-912
203,-1434,3426,-960
204,-776,3164,-874
205,-1114,3534,-1000
207,-1142,3266,-1326
208,-884,3160,-1266
210,-1076,3702,-1252
211,-932,3088,-1458
212,-1248,3320,-1298
214,-848,3610,-1478
215,-684,3164,-1538
216,-990,3514,-1444
218,-936,3182,-1180
219,-1008,3440,-1426
221,-940,3350,-1556
222,-558,3118,-1552
223,-1060,3438,-1230
225,-1174,3216,-1104
226,-996,3426,-940
227,-1158,3262,-1204
229,-1246,3754,-1158
230,-1226,3466,-868
232,-1078,3178,-694
233,-1186,3094,-654
234,-1114,3630,-668
236,-856,3618,-768
237,-658,3002,-770
238,-1660,3950,-392
240,-1142,3512,-618
241,-754,3634,-1030
243,-1270,3690,-1100
244,-1016,3292,-804
245,-1116,3534,-838
247,-1254,3504,-1126
248,-990,3218,-1358
249,-1090,3902,-1244
251,-872,3380,-1412
252,-1012,3768,-1382
254,-1204,3860,-1282
255,-662,3184,-1868
256,-1178,3704,-1842
258,-1146,3372,-1320
259,-818,3786,-1326
260,-1204,3586,-1468
262,-750,3030,-1364
263,-998,3570,-1364
265,-1070,3250,-1108
266,-1136,3484,-858
267,-992,3268,-990
269,-1048,3452,-1042
270,-1326,3724,-1024
271,-992,3332,-744
273,-1104,3136,-684
274,-1314,3540,-566
