timestamp,accX,accY,accZ
0,-714,3380,-1566
2,-1316,3714,-1216
3,-1376,3554,-1010
4,-762,3172,-1780
6,-984,3516,-1748
7,-1054,3550,-1426
9,-1294,3714,-1292
10,-1152,3498,-1534
11,-882,3196,-1280
13,-964,3504,-1380
14,-1110,3692,-1252
15,-824,3146,-954
17,-1498,3598,-982
18,-1552,3898,-1054
20,-810,3488,-920
21,-948,3486,-1066
22,-1158,3052,-464
24,-1216,3552,-434
25,-1088,3688,-842
26,-1028,3338,-920
28,-1466,3876,-844
29,-1232,3352,-638
31,-1196,3546,-778
32,-1440,3706,-1022
33,-580,3178,-1070
35,-862,3384,-986
36,-1250,3210,-966
37,-1258,3450,-968
39,-1230,3912,-1626
40,-792,3274,-1736
42,-1184,3622,-1338
43,-1372,3294,-1204
44,-872,3226,-1576
46,-790,3380,-1546
47,-948,3486,-1512
48,-1232,3776,-1332
50,-1360,3794,-1536
51,-900,3154,-1290
53,-1056,3512,-1346
54,-1140,3506,-1172
55,-850,3368,-1156
57,-1244,3346,-1104
58,-1344,3816,-936
59,-962,3636,-814
61,-844,3294,-942
62,-1144,3066,-728
64,-1172,3266,-526
65,-1138,3304,-686
66,-862,3188,-940
68,-1366,3760,-756
69,-988,3428,-538
70,-1064,3434,-714
72,-1400,3420,-784
73,-716,3256,-1008
75,-704,3410,-1244
76,-1172,3292,-1020
77,-1302,3290,-928
79,-1244,3744,-1394
80,-676,3254,-1804
81,-1060,3392,-1318
83,-1128,3508,-1170
84,-868,3188,-1238
86,-990,3430,-1628
87,-860,3264,-1552
88,-920,3532,-1372
90,-1434,3372,-1440
91,-762,2958,-1454
92,-1122,3478,-1290
94,-906,3406,-1206
95,-784,3488,-1046
97,-994,3248,-1100
98,-1494,3622,-926
99,-1284,3830,-862
101,-900,3368,-1040
102,-1006,3248,-802
103,-1066,3514,-596
105,-1056,3442,-456
106,-820,3110,-790
108,-1422,3924,-814
109,-870,3382,-750
110,-862,3668,-814
112,-1458,3552,-832
113,-932,3292,-952
115,-842,3456,-1212
116,-910,3170,-1404
117,-1120,3560,-888
119,-1504,3958,-1128
120,-876,3388,-1748
121,-786,3804,-1524
123,-1304,3816,-1322
124,-730,3280,-1448
125,-1204,3648,-1562
127,-910,3172,-1478
128,-670,3970,-1500
130,-1454,4064,-1434
131,-608,2896,-1280
132,-1304,3702,-1188
134,-1198,3562,-1294
135,-668,3490,-1286
136,-1274,3564,-1126
138,-1418,3424,-778
139,-1170,3692,-736
141,-1076,3648,-888
142,-918,3190,-760
143,-1172,3496,-648
145,-1162,3660,-532
146,-732,3282,-668
147,-1528,4044,-680
149,-1194,3174,-776
150,-1078,3528,-830
152,-1518,3798,-702
153,-1162,3214,-870
154,-870,3512,-972
156,-1050,3444,-1370
157,-1276,3424,-952
158,-1372,3882,-1074
160,-1268,3014,-1636
161,-1036,3382,-1604
163,-1362,4062,-1244
164,-1042,2956,-1542
165,-1088,3382,-1588
167,-1146,3514,-1252
168,-846,3326,-1458
169,-1524,4178,-1570
171,-1080,2720,-1510
172,-1074,3344,-1124
174,-1466,3284,-1274
175,-620,3158,-1232
176,-1086,3706,-1046
178,-1318,3282,-1058
179,-1076,3464,-892
180,-1230,3692,-900
182,-1014,3082,-764
183,-1080,3330,-696
185,-1142,3344,-558
186,-794,2990,-798
187,-1576,3680,-614
189,-800,3318,-632
190,-664,3150,-966
191,-1304,3702,-822
193,-960,3234,-684
194,-798,3332,-1062
196,-1172,3262,-1278
197,-1000,3070,-1200
198,-1138,3546,-1148
200,-1008,3346,-1328
201,-910,3018,-1558
202,-1300,4020,-1382
204,-636,3248,-1428
205,-576,2960,-1680
207,-1148,3496,-1268
208,-856,3080,-1342
209,-1060,4206,-1690
211,-668,3186,-1574
212,-674,3006,-1034
213,-1346,3556,-1270
215,-724,2914,-1094
216,-750,4012,-990
218,-1142,3562,-1274
219,-1032,3278,-732
220,-1222,3564,-776
222,-1074,3224,-606
223,-1068,3564,-766
225,-966,3556,-880
226,-640,3076,-738
227,-1782,4028,-488
229,-1358,3658,-656
230,-592,3472,-1004
231,-1406,3912,-984
233,-1086,3360,-764
234,-1074,3504,-796
236,-1192,3524,-1132
237,-938,3298,-1266
238,-1226,3880,-1120
240,-1230,3732,-1568
241,-1230,3352,-1366
243,-1346,3938,-1420
244,-984,2972,-1660
245,-876,3348,-1826
247,-1300,3760,-1230
248,-956,3204,-1298
249,-1386,3974,-1628
251,-950,2956,-1506
252,-988,3502,-1310
254,-1548,3780,-1118
255,-962,3062,-1142
256,-1260,3802,-970
258,-1296,3764,-1140
259,-1022,3464,-930
260,-1146,3510,-800
262,-1188,3202,-558
263,-1070,3396,-654
265,-1052,3694,-864
266,-738,2996,-820
267,-1394,3582,-656
269,-1882,3512,-638
270,-546,2988,-1042
271,-1108,3508,-1036
273,-1060,3278,-780
274,-716,3216,-736
