timestamp,accX,accY,accZ
0,-1388,3846,-1462
2,-1082,3516,-1486
3,-862,3512,-1280
4,-1166,3434,-1154
6,-1226,3472,-1038
7,-940,3394,-942
9,-892,3344,-1138
10,-1330,3832,-962
11,-994,3376,-792
13,-1086,3326,-628
14,-1066,3212,-640
15,-968,3468,-726
17,-888,3168,-826
18,-1192,3446,-760
20,-1588,3848,-730
21,-796,3206,-710
22,-1110,3676,-1012
24,-1286,3268,-964
25,-870,3276,-852
26,-1146,3516,-1118
28,-1088,3220,-1182
29,-960,3418,-1380
31,-1114,3584,-1380
32,-946,3056,-1488
33,-1460,3634,-1382
35,-1294,3328,-1376
36,-714,3232,-1594
37,-1098,3566,-1436
39,-850,3152,-1292
40,-1200,3624,-1260
42,-1374,3116,-1584
43,-634,3222,-1526
44,-962,3610,-1134
46,-1056,3418,-1156
47,-1004,3338,-998
48,-1070,3648,-1208
50,-1268,4000,-1078
51,-992,3624,-828
53,-1122,3262,-806
54,-1172,3158,-528
55,-996,3680,-634
57,-792,3350,-842
58,-726,2978,-658
59,-1580,3940,-590
61,-1060,3366,-556
62,-850,3250,-978
64,-1206,3598,-1044
65,-702,3150,-936
66,-954,3572,-898
68,-1346,3386,-1204
69,-1004,3164,-1218
70,-998,3816,-1456
72,-838,3164,-1690
73,-1158,3346,-1174
74,-1128,3582,-1348
76,-794,3214,-1440
77,-790,3552,-1578
79,-1012,3442,-1406
80,-1096,3442,-1280
81,-1036,3302,-1582
83,-836,3354,-1530
84,-816,3366,-1304
85,-1176,3428,-1218
87,-1168,3550,-892
88,-1108,3340,-1054
90,-1476,3936,-1026
91,-1098,3828,-898
92,-966,3276,-830
94,-1254,3236,-674
95,-1346,3526,-560
96,-874,3530,-764
98,-716,3216,-852
99,-1558,3822,-472
101,-1332,3632,-632
102,-950,3586,-868
103,-1122,3596,-1038
105,-928,3296,-886
106,-1078,3506,-808
107,-1128,3408,-1114
109,-1226,3368,-1290
110,-1080,3782,-1326
112,-776,3532,-1440
113,-1026,3604,-1350
114,-1280,3608,-1198
116,-1044,3338,-1774
117,-906,3480,-1902
118,-976,3442,-1612
120,-1108,3672,-1238
121,-1170,3402,-1244
123,-848,3278,-1366
124,-732,3396,-1472
125,-926,3246,-1162
127,-1120,3484,-836
128,-980,3008,-1036
129,-1218,3452,-954
131,-904,3782,-1056
132,-822,3316,-840
134,-946,3234,-608
135,-1270,3406,-488
136,-924,3514,-852
138,-812,3268,-974
139,-1260,3464,-706
141,-1506,3556,-548
142,-1030,3444,-672
143,-1022,3480,-1162
145,-900,3408,-1060
146,-858,3366,-1008
147,-1042,3342,-978
149,-1178,3292,-1024
150,-1138,3496,-1524
152,-904,3460,-1538
153,-1192,3564,-1560
154,-1336,3414,-1266
156,-1074,3408,-1376
157,-894,3438,-1678
158,-882,3454,-1610
160,-1198,3674,-1300
161,-1206,3180,-1530
163,-1064,3532,-1522
164,-990,3554,-1436
165,-704,3362,-1226
167,-1260,3724,-1002
168,-1134,3356,-942
169,-1422,3666,-1036
171,-1394,3952,-988
172,-864,3270,-938
174,-1034,3222,-790
175,-1448,3302,-366
176,-864,3454,-734
178,-760,3400,-792
179,-986,3554,-674
181,-1382,3528,-678
182,-1228,3560,-688
183,-1076,3478,-958
185,-1020,3382,-1164
186,-880,3356,-960
187,-1066,3366,-1084
189,-1270,3360,-1106
190,-1058,3504,-1168
192,-774,3440,-1622
193,-944,3682,-1424
194,-1142,3364,-1248
196,-1218,3328,-1588
197,-996,3424,-1730
198,-748,3348,-1796
200,-996,3770,-1308
201,-1148,3336,-1410
203,-932,3264,-1226
204,-774,3350,-1352
205,-890,3220,-1262
207,-1074,3634,-914
208,-934,3046,-1014
210,-1208,3220,-830
211,-1168,3894,-1046
212,-796,3380,-908
214,-768,3204,-706
215,-1364,3378,-428
216,-1176,3398,-656
218,-864,3474,-822
219,-978,3466,-980
221,-1276,3654,-582
222,-1218,3624,-548
223,-1156,3484,-808
225,-1138,3412,-1028
226,-742,3384,-1078
227,-830,3372,-1028
229,-1394,3488,-1002
230,-1358,3586,-1002
232,-794,3452,-1680
233,-1002,3748,-1762
234,-1182,3504,-1282
236,-1164,3526,-1212
237,-970,3504,-1590
238,-842,3392,-1796
240,-1118,3872,-1380
241,-1172,3592,-1398
243,-1116,3392,-1366
244,-916,3430,-1320
245,-822,3268,-1372
247,-1208,3728,-1270
248,-968,3308,-1150
249,-1082,3700,-860
251,-1528,3906,-796
252,-890,3604,-932
254,-876,3092,-1078
255,-1274,3306,-534
256,-1352,3288,-634
258,-998,3426,-668
259,-912,3532,-862
260,-1166,3542,-812
262,-1360,3658,-500
263,-1174,3526,-892
264,-1028,3420,-942
266,-890,3446,-1190
267,-724,3308,-1090
269,-1284,3424,-922
270,-1522,3600,-1172
271,-756,3334,-1660
273,-924,3582,-1626
274,-1162,3372,-1294
