timestamp,accX,accY,accZ
0,-1104,3512,-870
2,-950,3162,-338
3,-1770,4044,-240
4,-1148,3560,-818
6,-474,3300,-1092
7,-1070,3524,-648
9,-1360,3440,-600
10,-1158,3770,-866
11,-612,3374,-1272
13,-922,3544,-1380
14,-1536,4048,-1248
15,-1184,3660,-1374
17,-726,3408,-1588
18,-1200,3436,-1628
20,-908,3850,-1500
21,-930,3792,-1592
22,-852,3150,-1512
24,-1002,3056,-1514
25,-1106,3754,-1490
26,-870,3984,-1384
28,-1176,3124,-1596
29,-1288,3126,-1334
31,-1340,3950,-1038
32,-1072,3732,-1016
33,-1122,3374,-1028
35,-718,3110,-956
36,-930,3404,-742
37,-1186,3572,-506
39,-1210,3364,-580
40,-876,3292,-964
42,-1022,3584,-520
43,-1616,3630,-418
44,-1618,3674,-722
46,-418,3240,-926
47,-402,3006,-1034
48,-1110,3672,-596
50,-1280,3496,-572
51,-872,3514,-1404
52,-1020,3018,-1504
54,-1502,3660,-1302
55,-1354,3990,-1278
57,-762,3242,-1424
58,-1146,3140,-1608
59,-1082,3702,-1472
61,-718,3862,-1598
62,-724,3520,-1694
63,-1116,2894,-1380
65,-976,3272,-1492
66,-946,3934,-1568
68,-1130,3522,-1536
69,-1164,2960,-1062
70,-1462,3852,-1122
72,-1052,3930,-1100
73,-1054,3340,-1110
74,-1100,3218,-978
76,-740,3020,-552
77,-944,3854,-456
79,-1518,3588,-282
80,-954,3412,-1018
81,-990,3710,-886
83,-1176,3520,-182
84,-1742,3820,-464
86,-1030,3432,-682
87,-148,3196,-840
88,-1426,3780,-776
90,-1358,3532,-668
91,-670,3472,-1114
92,-864,3172,-1496
94,-1216,3814,-1202
95,-1286,3882,-1224
97,-888,3400,-1616
98,-892,3314,-1574
99,-1182,3538,-1634
101,-806,3756,-1652
102,-748,3434,-1620
104,-1016,2928,-1434
105,-950,3524,-1354
106,-982,3942,-1620
108,-988,3844,-1638
109,-1100,2902,-1380
110,-1596,3510,-1056
112,-1282,3816,-1066
113,-886,3494,-988
115,-1006,3308,-978
116,-750,3070,-862
117,-1098,3766,-402
119,-1340,3148,-636
120,-1144,3282,-792
121,-1190,3732,-744
123,-806,3368,-496
124,-1786,3726,-208
125,-1884,3828,-894
127,-62,2964,-1210
128,-668,3240,-938
130,-1486,3496,-480
131,-1082,3450,-660
132,-770,3176,-1544
134,-1174,3184,-1644
135,-1574,3978,-1106
137,-1396,3232,-1288
138,-948,3078,-1560
139,-1276,3468,-1514
141,-568,3688,-1654
142,-558,3850,-1506
143,-736,2720,-1388
145,-1110,2930,-1212
146,-1216,3690,-1572
148,-776,3620,-1632
149,-948,3076,-1636
150,-1540,3718,-1064
152,-1050,3742,-1038
153,-758,3636,-1196
154,-972,3140,-956
156,-824,2886,-1006
157,-926,3370,-500
158,-1404,3536,-298
160,-1306,3290,-612
161,-1140,3480,-950
163,-1020,3646,-636
164,-1546,3698,-258
165,-1432,3546,-492
167,-450,3152,-1076
168,-134,3508,-982
169,-1538,3682,-488
171,-1506,3444,-876
172,-1002,3292,-1476
174,-904,3296,-1594
175,-1478,3934,-1280
176,-998,3500,-1236
178,-758,3184,-1540
179,-1332,3486,-1514
181,-900,3476,-1608
182,-820,3748,-1704
183,-850,3104,-1704
185,-912,2694,-1292
186,-1112,3910,-1474
188,-820,3796,-1714
189,-710,3156,-1392
190,-1628,3356,-1106
192,-1456,3686,-1120
193,-916,3682,-1082
195,-1010,3378,-1112
196,-924,3192,-834
197,-784,3332,-736
199,-1218,3674,-424
200,-1206,3170,-750
201,-1054,3320,-1050
203,-902,3748,-620
204,-1474,3592,-266
206,-1642,3632,-670
207,-268,2992,-1212
208,-540,3292,-1002
210,-1106,3520,-718
211,-1292,3418,-610
212,-818,3354,-1414
214,-736,3686,-1484
215,-1270,3804,-1348
217,-1320,3704,-1400
218,-902,3196,-1522
219,-1168,3384,-1534
221,-1194,3706,-1600
222,-708,3746,-1678
223,-564,3450,-1542
225,-1088,2998,-1404
226,-1396,3506,-1264
227,-1026,3710,-1518
229,-876,3360,-1740
230,-1172,3158,-1064
232,-1326,3694,-942
233,-1088,3688,-928
234,-882,3600,-926
236,-886,3034,-1090
237,-854,3152,-512
239,-1380,3616,-242
240,-1076,3076,-592
241,-1350,3600,-940
243,-986,3692,-684
244,-1252,3810,-388
245,-1598,3206,-476
247,-934,3122,-840
248,-462,3266,-1086
250,-998,3628,-810
251,-1310,3368,-812
252,-982,3306,-1076
254,-1308,3816,-1208
255,-1182,3692,-1496
256,-1126,3574,-1456
258,-858,3300,-1646
259,-934,3616,-1356
260,-1006,3470,-1596
262,-930,3454,-1732
263,-596,3540,-1730
265,-628,2904,-1454
266,-1278,3020,-1196
267,-1282,3976,-1244
269,-572,3380,-1726
270,-740,3526,-1380
271,-1618,3536,-988
273,-1140,3504,-756
274,-900,3526,-1142
