timestamp,accX,accY,accZ
0,-1946,4224,-360
2,-1658,4016,-354
3,-754,3084,-1074
4,-1180,3304,-1002
6,-442,3890,-554
7,-1564,4488,-632
9,-886,3266,-860
10,-1254,3358,-1264
11,-1766,4358,-1138
13,-718,2998,-1888
14,-1128,3644,-1256
15,-1728,3608,-1276
17,-954,3280,-1580
18,-1034,4434,-1846
20,-798,3898,-1814
21,-1252,3130,-1434
22,-1488,3822,-1392
24,-942,3130,-1416
25,-1012,3488,-1844
26,-1620,3946,-1338
28,-550,3078,-1428
29,-1252,3504,-984
31,-1676,3550,-658
32,-804,3314,-1078
33,-294,3050,-1252
35,-1966,3592,-4
36,-2140,4400,-72
37,-1626,2708,-1146
39,-684,3090,-1312
40,-1298,3812,-86
42,-960,3380,-14
43,-690,3042,-794
44,-1206,2926,-1162
46,-940,3284,-890
47,-1426,4402,-1110
48,-538,2604,-1022
50,-1172,2800,-1054
51,-1724,4062,-1152
53,-162,3126,-1656
54,-580,3450,-1234
55,-1238,2990,-1198
57,-866,2760,-1386
58,-1120,4294,-1860
60,-392,2868,-1726
61,-1066,2918,-1348
62,-1694,3716,-1276
64,-504,2956,-1296
65,-884,4088,-1412
67,-1102,3548,-1164
68,-314,2850,-1302
69,-894,3966,-758
71,-1318,3246,-702
72,-1020,3326,-1110
73,-120,2862,-1766
75,-760,2676,-692
76,-2162,4778,-274
77,-500,3250,-822
79,66,2362,-1104
80,-2188,4194,-554
82,-1416,3860,158
83,-560,3310,-930
84,-1494,3452,-864
86,-558,2750,-648
87,-1418,4576,-754
88,-798,3554,-1298
90,-660,2324,-1172
91,-1924,4356,-1106
93,-712,3770,-1864
94,-1074,3722,-1442
95,-1906,3832,-1360
97,-964,3212,-1566
98,-1200,4516,-1664
100,-770,3654,-1656
101,-1556,3444,-1282
102,-1428,4144,-1564
104,-740,2858,-1652
105,-1550,3796,-1624
107,-1760,4018,-1342
108,-190,2956,-1742
109,-1382,3868,-1060
111,-1732,3134,-804
112,-1018,3634,-888
114,-670,3452,-1428
115,-1840,3248,-40
116,-2250,4598,-176
118,-1892,2480,-1170
119,-564,2872,-1036
120,-1394,3818,-84
122,-878,3370,-78
123,-276,2914,-1042
124,-1240,3052,-980
126,-896,2976,-830
127,-1520,4304,-1134
129,-414,2848,-1078
130,-912,2438,-1068
131,-1804,3712,-1050
133,-314,3274,-1460
134,-178,3122,-1684
135,-1824,3322,-1284
137,-734,2718,-1408
138,-740,3878,-1880
140,-508,2794,-1820
141,-1040,2714,-1356
142,-1678,3856,-1678
144,-142,2728,-1668
145,-1026,3318,-1174
147,-1222,3426,-1006
148,-78,2464,-1592
149,-642,4296,-760
151,-1252,3230,-530
152,-1172,3128,-1106
153,-358,3156,-1656
155,-258,2310,-708
156,-2294,4990,-326
158,-650,3258,-972
159,488,2232,-892
160,-2216,4102,-674
162,-1796,3892,188
163,-340,3286,-1170
164,-1480,3634,-828
166,-884,2896,-644
167,-1230,4656,-724
169,-660,3816,-1296
170,-404,2880,-1234
171,-2280,4208,-1058
173,-872,3876,-1662
174,-818,3520,-1610
176,-2080,3790,-1474
177,-1180,3156,-1512
178,-1008,4570,-1486
180,-874,3832,-1628
181,-1386,3124,-1262
183,-1700,4340,-1588
184,-428,2812,-1700
185,-1450,3634,-1468
187,-2174,4222,-1076
188,-78,2722,-1810
190,-1070,3912,-636
191,-1264,3082,-500
192,-902,3268,-926
194,-826,2648,-1488
195,-1488,2778,-218
196,-2270,4442,-476
198,-2402,2570,-1382
199,-374,2638,-948
201,-1374,3806,-12
202,-932,3416,-84
203,-30,2584,-1078
205,-1160,3426,-896
206,-1058,2950,-706
207,-1454,4066,-1290
209,-164,2948,-1364
210,-560,2226,-1158
212,-1830,4476,-1016
213,-216,3244,-1446
214,128,3034,-1428
216,-1682,3354,-1290
217,-822,2476,-1360
218,-788,4754,-1622
220,-224,2658,-2078
221,-952,2228,-1284
223,-1256,4200,-1458
224,-26,2676,-1528
225,-564,4496,-1140
227,-1526,3784,-1018
228,-212,2496,-1472
229,-124,4400,-1012
231,-1592,3680,-390
232,-1166,2940,-1208
234,-476,3200,-1792
235,-500,2788,-842
236,-2076,4726,-280
238,-678,3398,-1062
239,102,2302,-990
240,-2256,4248,-632
242,-1938,4272,276
243,-614,2876,-1324
245,-1426,3488,-806
246,-988,3102,-346
247,-1544,4372,-646
249,-572,3718,-1404
250,-406,2808,-1262
252,-2202,4090,-1044
253,-1140,3994,-1762
254,-644,3548,-1536
256,-1880,3818,-1398
257,-1126,2738,-1498
258,-1176,4640,-1392
260,-806,3920,-1758
261,-474,2946,-1332
263,-1600,4078,-1534
264,-700,2922,-1694
265,-1274,3516,-1504
267,-2280,4130,-1226
268,-106,2826,-1672
270,-684,3608,-656
271,-1840,3498,-460
272,-1018,3004,-848
274,-408,2890,-1460
275,-1996,3726,-120
