timestamp,accX,accY,accZ
0,-1754,3604,-1002
2,-308,3178,-1142
3,-666,3886,-740
5,-1758,3576,-526
6,-950,3040,-884
7,-536,3858,-1336
9,-904,3108,-1502
10,-1262,3286,-1138
11,-776,3222,-1244
13,-1054,3408,-1392
14,-1290,3582,-1674
15,-1046,3730,-1584
17,-658,3720,-1852
18,-712,3282,-1186
19,-1544,3654,-1434
21,-922,3278,-1848
22,-890,3942,-1632
24,-1470,3788,-1184
25,-1194,3390,-1056
26,-1150,3734,-1082
28,-686,3356,-1224
29,-1046,3432,-972
30,-1022,2858,-818
32,-1342,4396,-586
33,-954,3502,-572
35,-922,3048,-844
36,-1246,3442,-1094
37,-716,3242,-526
39,-1060,3298,-326
40,-1532,3580,-686
41,-488,3360,-1248
43,-344,3744,-910
44,-1866,3948,-512
45,-1478,3222,-920
47,-876,3830,-1332
48,-716,3516,-1364
50,-902,3084,-1120
51,-1028,3424,-1244
52,-872,3098,-1110
54,-1078,3472,-1786
55,-1046,3314,-1454
56,-816,3876,-1598
58,-960,3120,-1164
59,-1506,3384,-1374
61,-1406,3222,-1546
62,-362,3482,-1916
63,-1356,4158,-1422
65,-1220,2914,-1100
66,-1202,3610,-964
67,-1004,3648,-1076
69,-906,3556,-1308
70,-1032,3094,-904
71,-1050,4008,-602
73,-1364,4136,-490
74,-816,3198,-802
76,-1158,3512,-1108
77,-752,3254,-738
78,-730,3368,-280
80,-1670,3306,-316
81,-1082,3328,-982
82,-546,3534,-1034
84,-1196,3652,-886
85,-1726,3600,-794
87,-878,3312,-1090
88,-692,3684,-1268
89,-756,3548,-1296
91,-944,3226,-1582
92,-1386,3478,-1440
94,-1020,3170,-1490
95,-956,3062,-1534
96,-1374,3692,-1806
98,-694,3012,-1250
99,-1258,3566,-1472
100,-920,2788,-1268
102,-242,3080,-1856
103,-1360,4538,-1404
104,-832,2518,-1128
106,-1240,3404,-1050
107,-1570,3146,-1116
109,-728,3400,-1368
110,-1136,3666,-1064
111,-1378,3290,-818
113,-1716,4406,-630
114,-998,3126,-674
115,-1272,3456,-876
117,-1092,3302,-658
118,-906,3454,-434
120,-1382,3472,-428
121,-1492,3490,-1022
122,-584,3502,-1094
124,-800,3676,-800
125,-1376,3370,-790
126,-1084,3168,-934
128,-858,3534,-1180
129,-900,3470,-1472
131,-1230,3344,-1450
132,-1572,3884,-978
133,-972,3790,-1480
135,-692,3310,-1468
136,-1172,4042,-2020
138,-650,3258,-1362
139,-1596,3974,-1618
140,-1390,3496,-1386
142,-626,3634,-1710
143,-1542,4622,-1330
144,-804,3094,-1174
146,-1454,3746,-852
147,-1346,3654,-934
149,-678,3604,-1228
150,-1176,3386,-812
151,-1108,2956,-1050
153,-1700,3998,-678
154,-686,3246,-882
155,-1144,3264,-984
157,-932,3278,-638
158,-656,3348,-650
160,-1084,3394,-606
161,-1198,3344,-876
162,-1002,3502,-1084
164,-1122,3768,-942
165,-1326,3586,-738
166,-1338,3148,-1024
168,-934,3604,-1188
169,-678,3420,-1244
170,-1180,3022,-1704
172,-1548,3586,-874
173,-1054,4154,-1530
175,-740,2938,-1634
176,-1506,3790,-1808
177,-926,3042,-1114
179,-1030,3692,-1522
180,-1652,3962,-1380
181,-524,2898,-1702
183,-1480,4462,-1340
184,-1132,3928,-1298
186,-1066,3270,-1224
187,-1570,3858,-988
188,-754,3400,-1240
190,-946,3622,-1104
191,-1090,3330,-624
193,-1782,4324,-572
194,-896,3666,-818
195,-702,3346,-872
197,-1366,3516,-690
198,-922,3330,-676
199,-1210,3556,-556
201,-1368,3422,-742
202,-1024,3552,-892
203,-1036,3964,-1042
205,-1108,3710,-902
206,-1244,3144,-934
208,-1192,3656,-1118
209,-670,3402,-1340
210,-1530,3776,-1284
212,-900,2910,-924
213,-1110,4264,-1356
215,-976,3570,-1664
216,-700,3620,-1838
217,-964,3614,-1568
219,-778,3056,-1544
220,-1524,3850,-1368
221,-1052,3116,-1430
223,-504,4096,-1422
224,-1028,3688,-1486
226,-966,2950,-1012
227,-1112,3628,-974
228,-1012,3432,-1104
230,-646,3468,-918
231,-1162,3002,-870
232,-2024,4158,-644
234,-1376,2976,-872
235,-896,3272,-712
237,-1412,3296,-430
238,-678,3046,-522
239,-1102,3692,-526
241,-1492,2898,-988
242,-1024,3330,-876
243,-1288,4112,-964
245,-872,3134,-784
246,-1206,3206,-894
248,-1412,3412,-1126
249,-484,3222,-1314
250,-1192,3894,-1542
252,-896,2744,-1298
253,-1454,3922,-1018
254,-1056,4024,-1592
256,-920,3202,-1636
257,-940,3644,-1944
259,-758,3310,-1468
260,-1338,3724,-1488
261,-1180,3512,-1504
263,-904,3762,-1332
264,-1308,3968,-1328
265,-738,3198,-1024
267,-1188,3522,-934
268,-1230,3418,-1304
270,-630,3408,-1178
271,-982,2980,-874
272,-1514,4452,-420
274,-834,3546,-842
