timestamp,accX,accY,accZ
0,-1250,3342,-1388
2,-1468,3326,-1418
3,-1084,3452,-1704
4,-708,3686,-1880
6,-972,3534,-1160
7,-1340,3376,-1100
9,-1294,3608,-1056
10,-718,3478,-1406
11,-1184,3636,-1240
13,-1278,3534,-1002
14,-1016,3356,-780
15,-1178,3376,-800
17,-1170,3446,-824
18,-830,3434,-858
20,-762,3474,-494
21,-1100,3214,-396
22,-1646,3734,-386
24,-1310,4036,-1138
25,-454,3118,-1004
26,-1336,3562,-842
28,-1646,3356,-500
29,-744,3280,-976
31,-848,3552,-1450
32,-1018,3178,-1222
33,-1346,3766,-1166
35,-1162,3362,-1200
36,-1068,3202,-1484
37,-1340,3630,-1700
39,-894,3454,-1636
40,-828,3390,-1514
41,-1334,3300,-1312
43,-854,3296,-1440
44,-680,3502,-1816
46,-798,3514,-1520
47,-1190,3292,-1082
48,-1414,3388,-1268
50,-902,3490,-1344
51,-914,3636,-1328
52,-1230,3514,-1038
54,-1028,3284,-916
55,-1084,3318,-716
57,-1264,3514,-708
58,-984,3380,-712
59,-674,3410,-694
61,-1066,3282,-616
62,-1490,3320,-312
63,-1666,3876,-766
65,-486,3398,-1100
66,-576,3192,-670
67,-1624,3578,-530
69,-1210,3346,-596
70,-816,3478,-1262
72,-972,3340,-1512
73,-1126,3278,-1350
74,-1308,3800,-1038
76,-1112,3376,-1262
77,-1128,3282,-1672
78,-850,3702,-1714
80,-650,3520,-1492
81,-966,3326,-1220
83,-1266,3196,-1268
84,-896,3262,-1850
85,-838,3778,-1768
87,-1092,3616,-1370
88,-1208,3352,-1062
89,-1128,3438,-1230
91,-990,3638,-1206
92,-996,3536,-1096
93,-1148,3390,-1012
95,-1068,3262,-792
96,-1232,3436,-632
98,-1276,3612,-550
99,-1006,3308,-986
100,-874,3344,-860
102,-1112,3424,-348
103,-1506,3788,-322
104,-1122,3686,-862
106,-498,3138,-1106
107,-1344,3572,-706
109,-1570,3612,-656
110,-1192,3372,-934
111,-882,3470,-1260
113,-936,3306,-1328
114,-1286,3798,-1022
115,-1230,3634,-1176
117,-968,3330,-1422
118,-1074,3544,-1638
120,-876,3564,-1568
121,-1068,3562,-1420
122,-1186,3256,-1372
124,-1166,3332,-1480
125,-818,3668,-1726
126,-776,3710,-1416
128,-1264,3350,-1240
129,-1236,3150,-1050
131,-1174,3730,-1110
132,-1072,3700,-1130
133,-1046,3488,-1016
135,-998,3206,-862
136,-1048,3222,-668
138,-1274,3548,-458
139,-848,3276,-974
140,-856,3430,-940
142,-872,3448,-452
143,-1490,3488,-394
144,-1678,3754,-836
146,-378,3216,-1212
147,-574,3166,-980
148,-1354,3530,-582
150,-1210,3300,-588
151,-864,3468,-1444
153,-818,3138,-1530
154,-1154,3382,-1404
156,-1326,3642,-1350
157,-984,3162,-1306
158,-1210,3286,-1706
160,-778,3488,-1594
161,-688,3574,-1672
162,-896,3194,-1356
164,-1142,3052,-1342
165,-1020,3304,-1684
166,-818,3742,-1568
168,-1008,3608,-1402
169,-1236,3186,-1124
171,-1252,3626,-1096
172,-1000,3808,-1044
173,-978,3454,-1144
175,-1144,3242,-968
176,-978,3088,-682
177,-1380,3738,-238
179,-1204,3456,-986
180,-1022,3388,-1050
182,-876,3596,-846
183,-1176,3652,-266
184,-1686,3710,-512
186,-930,3542,-936
187,-282,3306,-958
188,-1502,3652,-876
190,-1582,3418,-744
191,-1076,3448,-1182
192,-894,3466,-1416
194,-1048,3296,-1306
195,-1376,3942,-1084
197,-802,3398,-1346
198,-1098,3418,-1582
199,-1148,3426,-1618
201,-684,3480,-1648
202,-1050,3620,-1558
203,-1098,2974,-1374
205,-1132,3558,-1392
206,-876,3826,-1602
208,-736,3684,-1572
209,-1016,3160,-1080
210,-1516,3384,-988
212,-1134,3610,-1044
213,-986,3648,-1042
215,-1046,3302,-1000
216,-976,3094,-940
217,-1130,3634,-500
219,-1264,3642,-712
220,-1110,3250,-878
221,-838,3588,-1026
223,-856,3536,-438
224,-1676,3534,-390
226,-1736,3748,-1010
227,-110,3010,-1050
228,-736,3312,-1084
230,-1638,3244,-646
231,-968,3268,-790
232,-1000,3836,-1586
234,-902,3046,-1684
235,-1324,3720,-1298
236,-1348,3400,-1292
238,-1002,3182,-1302
239,-1278,3380,-1622
241,-1136,3516,-1604
242,-674,3756,-1546
243,-1038,3558,-1336
245,-1140,3002,-1186
246,-904,3408,-1460
247,-828,3750,-1598
249,-938,3188,-1420
250,-1384,3206,-1016
252,-1054,3602,-1206
253,-934,3726,-1018
254,-972,3402,-898
256,-934,2950,-972
257,-914,3216,-350
259,-1258,3578,-394
260,-1102,3068,-810
261,-1100,3696,-986
263,-898,3668,-710
264,-1176,3388,-386
265,-1526,3698,-726
267,-450,3118,-1128
268,-208,3680,-1044
269,-1598,3530,-762
271,-1404,3086,-1012
272,-1048,3784,-1212
274,-864,3370,-1570
