timestamp,accX,accY,accZ
0,-1792,3994,-832
2,-1168,3396,-974
3,-780,3328,-1114
4,-1246,3298,-374
6,-1010,3202,-370
7,-1122,3698,-542
9,-1112,2966,-1166
10,-1044,3364,-970
11,-1568,4002,-548
13,-1308,3310,-636
14,-1196,3482,-1102
16,-928,3420,-1330
17,-692,3222,-1090
18,-1326,3642,-998
20,-1576,3180,-1172
21,-624,3004,-1642
22,-1258,3910,-1734
24,-852,3086,-1518
25,-1032,3140,-1326
27,-1398,3266,-1380
28,-736,3020,-1578
29,-962,3698,-1368
31,-958,3384,-1254
32,-840,3148,-1438
33,-1516,3642,-1210
35,-782,3214,-1120
36,-918,3636,-1224
38,-630,2944,-1400
39,-1188,3178,-810
40,-1730,3904,-818
42,-868,3476,-772
43,-748,3302,-882
44,-956,3424,-606
46,-1158,3230,-364
47,-944,3348,-420
49,-792,3220,-1046
50,-592,2976,-1044
51,-1246,4030,-520
53,-1168,3390,-688
54,-1122,3278,-994
55,-896,3434,-1132
57,-670,3102,-1108
58,-966,3860,-1044
59,-1360,3658,-1120
61,-710,2892,-1336
62,-1006,4178,-1578
64,-1048,3660,-1562
65,-648,2992,-1370
66,-1222,3562,-1516
68,-922,2992,-1316
69,-788,4014,-1716
70,-1162,3874,-1374
72,-734,3070,-1454
73,-1282,3664,-1188
75,-868,3208,-1106
76,-688,3294,-1152
77,-902,3350,-1234
79,-828,3008,-1062
80,-1284,3962,-778
81,-1208,3720,-1050
83,-1026,3458,-884
84,-1042,3390,-836
85,-1202,3472,-534
87,-998,3514,-532
88,-1370,3758,-568
90,-744,3194,-1132
91,-874,3798,-624
92,-1488,3738,-614
94,-1190,3394,-1000
95,-890,3422,-998
96,-938,3340,-1192
98,-826,3528,-1104
99,-1300,3776,-1046
101,-1198,3446,-1594
102,-1240,3462,-1490
103,-1388,4334,-1492
105,-896,2970,-1456
106,-1264,3488,-1376
107,-1144,3498,-1298
109,-982,3308,-1720
110,-1250,4188,-1470
112,-1158,3754,-1616
113,-1244,3482,-1386
114,-1234,3680,-1182
116,-952,3424,-1250
117,-1214,3606,-1064
118,-876,3194,-1064
120,-1448,3890,-770
121,-1474,3882,-800
122,-1118,3438,-648
124,-906,3224,-984
125,-1026,3416,-790
127,-1072,3228,-632
128,-1332,3568,-456
129,-1210,3614,-1020
131,-954,3398,-840
132,-1284,3800,-748
133,-1528,3418,-764
135,-890,3332,-1012
136,-896,3438,-1218
138,-1018,3302,-1258
139,-1260,3608,-970
140,-1314,3234,-1172
142,-760,2894,-1746
143,-1438,3866,-1512
144,-1378,3178,-1612
146,-752,3144,-1442
147,-1254,3702,-1450
149,-838,2966,-1494
150,-880,3624,-1710
151,-1306,3200,-1530
153,-822,2966,-1538
154,-1376,3712,-1234
155,-846,3244,-1056
157,-978,3536,-1276
158,-1186,3006,-1082
160,-1044,3424,-1090
161,-1624,3984,-946
162,-1190,3482,-596
164,-972,3364,-836
165,-916,3202,-644
166,-992,3376,-662
168,-934,3250,-542
169,-1558,3560,-966
171,-708,3214,-930
172,-842,3410,-790
173,-1380,3624,-604
175,-1048,3348,-888
176,-688,3444,-1200
177,-980,3242,-1248
179,-1112,3252,-1084
180,-1310,3792,-1058
181,-740,2984,-1570
183,-1060,4176,-1386
184,-1100,3928,-1518
186,-462,3056,-1488
187,-1400,3674,-1630
188,-1078,3142,-1232
190,-748,3076,-1556
191,-1286,4028,-1390
193,-580,2868,-1368
194,-1336,3786,-1160
195,-1098,3400,-1012
197,-718,3274,-1058
198,-1058,3340,-1128
199,-948,3172,-1148
201,-1192,3890,-688
202,-1096,3546,-812
204,-1220,3394,-868
205,-930,3344,-894
206,-1046,3610,-470
208,-876,3466,-402
209,-1504,3734,-650
210,-892,3348,-888
212,-1198,3762,-872
213,-1480,3772,-750
214,-1308,3250,-1014
216,-954,3500,-1144
217,-864,3300,-1190
219,-1110,3604,-1146
220,-1240,3802,-1246
221,-674,3220,-1564
223,-1444,3750,-1406
224,-1372,3856,-1464
225,-696,3370,-1544
227,-990,3440,-1732
228,-1380,3258,-1414
230,-982,3616,-1458
231,-1030,3892,-1322
232,-776,3246,-1476
234,-1278,3540,-1100
235,-1072,3406,-1158
237,-1054,3526,-1180
238,-1054,3306,-1142
239,-1124,3650,-1066
241,-1226,3820,-896
242,-1078,3568,-508
243,-1162,3204,-748
245,-944,3236,-866
246,-940,3466,-698
248,-1044,3240,-606
249,-1570,3458,-466
250,-1222,3454,-852
252,-742,3454,-846
253,-1278,3636,-718
254,-1252,3280,-954
256,-688,3308,-954
257,-986,3350,-1218
259,-1334,3406,-1250
260,-1178,3682,-1304
261,-746,3234,-1484
263,-1020,3062,-1568
264,-1728,3858,-1278
265,-514,3288,-1508
267,-540,3242,-1670
268,-1246,3272,-1246
269,-1072,3176,-1226
271,-1012,3830,-1486
272,-804,3030,-1566
273,-936,3068,-1568
