timestamp,accX,accY,accZ
0,-664,3580,-1936
2,-950,3254,-1482
3,-986,3102,-1406
5,-1186,3648,-1482
6,-896,3464,-1586
7,-1156,3640,-1362
9,-1170,3362,-1236
10,-1070,3326,-988
11,-1408,3778,-818
13,-930,3350,-1148
14,-694,3316,-1092
16,-1004,3544,-788
17,-1172,3434,-384
18,-1310,3424,-624
20,-1096,3358,-966
21,-818,3936,-558
22,-1672,4028,-398
24,-1326,3376,-868
25,-732,3164,-700
27,-1006,3534,-800
28,-1002,3354,-916
29,-914,3284,-1192
31,-914,3238,-1138
32,-1564,3880,-1182
34,-1226,3676,-1480
35,-974,3354,-1544
36,-944,3340,-1462
38,-1356,3646,-1552
39,-860,3370,-1676
40,-574,3504,-1788
42,-912,3546,-1476
43,-776,3038,-1510
45,-1140,3442,-1436
46,-1338,3498,-1402
47,-998,3336,-1510
49,-1090,3514,-1234
50,-1096,3368,-1114
51,-1374,3624,-730
53,-914,3284,-1076
54,-652,3174,-1090
56,-828,3410,-650
57,-1370,3482,-378
58,-1182,3316,-514
60,-1050,3358,-774
61,-1242,3720,-702
63,-1510,4100,-656
64,-966,3118,-676
65,-940,3152,-708
67,-1072,3544,-742
68,-964,3606,-870
69,-696,3374,-1174
71,-1172,3266,-996
72,-1748,3926,-1104
74,-1264,3520,-1474
75,-908,3396,-1674
76,-1094,3280,-1448
78,-1208,3680,-1336
79,-856,3468,-1646
80,-956,3352,-1900
82,-822,3402,-1586
83,-786,3294,-1632
84,-970,3594,-1342
86,-1186,3384,-1404
87,-1296,3570,-1462
89,-808,3352,-1598
90,-1166,3466,-1174
91,-1366,3490,-726
93,-898,3294,-894
94,-760,3386,-920
95,-842,3416,-940
97,-1264,3506,-356
98,-1184,3240,-594
100,-1268,3378,-618
101,-1036,3366,-824
102,-1358,4146,-658
104,-664,3198,-876
105,-932,2980,-520
106,-1352,3628,-676
108,-788,3332,-924
109,-672,3372,-1326
111,-1058,3176,-1186
112,-1502,3484,-1068
113,-1050,3662,-1464
115,-722,3182,-1692
116,-974,3586,-1488
117,-1206,3612,-1288
119,-678,3422,-1578
120,-892,3402,-1850
122,-862,3314,-1638
123,-846,3448,-1682
124,-1106,3418,-1550
126,-1330,3374,-1250
127,-1204,3702,-1410
128,-720,3402,-1654
130,-920,3446,-1152
131,-1372,3418,-636
133,-1176,3360,-774
134,-898,3332,-984
135,-908,3400,-856
137,-1106,3492,-534
138,-1276,3292,-564
139,-1126,3322,-632
141,-1170,3220,-630
142,-1658,4272,-502
144,-836,3570,-910
145,-506,3242,-518
146,-1464,3620,-454
148,-1224,3410,-1050
149,-440,3344,-1242
150,-882,3126,-1408
152,-1904,4006,-896
153,-1344,3936,-1076
155,-698,3268,-1664
156,-1260,3556,-1610
157,-1146,3662,-1442
159,-870,3470,-1530
160,-1040,3318,-1548
161,-858,3034,-1508
163,-824,3678,-1590
164,-718,3358,-1676
166,-1234,3524,-1218
167,-1480,3608,-1204
168,-924,3472,-1624
170,-1084,3594,-1340
171,-1318,3558,-790
173,-1074,3302,-820
174,-698,3264,-1244
175,-1084,3448,-784
177,-1134,3386,-616
178,-1220,3504,-606
180,-984,3164,-708
181,-1332,3442,-618
182,-1682,4066,-682
184,-408,3134,-1058
185,-706,2920,-784
186,-1324,3676,-508
188,-914,3432,-610
189,-490,3378,-1320
190,-1026,3068,-1334
192,-1586,3624,-1020
193,-1770,3628,-1458
195,-644,3026,-1622
196,-1188,3420,-1556
197,-1138,3640,-1336
199,-524,3526,-1462
200,-846,3142,-1608
202,-994,3110,-1628
203,-978,3474,-1788
204,-906,3662,-1666
206,-1394,3424,-1368
207,-1390,3604,-1120
208,-964,3686,-1500
210,-654,3384,-1240
211,-1434,3576,-928
213,-1260,3284,-706
214,-800,3380,-964
215,-1112,3458,-708
217,-1166,3382,-572
218,-1284,3300,-744
220,-866,3286,-708
221,-1314,3424,-494
222,-1818,4116,-300
224,-960,3912,-938
225,-186,2872,-854
226,-1684,3614,-526
228,-1626,3662,-800
229,-312,3418,-1210
231,-810,3238,-1414
232,-1122,3798,-984
233,-1510,4172,-974
235,-820,3474,-1724
236,-1304,3418,-1638
237,-1242,3684,-1576
239,-806,3506,-1560
240,-1036,3478,-1596
242,-1198,3110,-1420
243,-776,3442,-1648
244,-708,3940,-1694
246,-1028,3034,-1416
247,-1762,3474,-1116
249,-1428,3856,-1448
250,-828,3478,-1318
251,-1312,3764,-1130
253,-1400,3146,-762
254,-692,3198,-992
255,-974,3502,-632
257,-1276,3368,-570
258,-1016,3320,-686
259,-968,3444,-768
261,-1280,3248,-386
262,-1580,3606,-336
264,-1878,3578,-1006
265,-120,2656,-1230
266,-906,3150,-434
268,-1508,3536,-356
269,-662,3426,-978
271,-450,3214,-1496
272,-1214,3036,-1270
273,-1848,3932,-1040
275,-650,3274,-1362
