timestamp,accX,accY,accZ
0,-1144,3350,-682
2,-1268,3646,-906
3,-848,3458,-798
4,-1088,3608,-698
6,-1174,3430,-844
7,-858,3300,-990
9,-998,3432,-1110
10,-1094,3282,-1384
11,-970,3392,-1236
13,-1036,3564,-1300
14,-1094,3250,-1424
15,-1202,3524,-1530
17,-1106,3552,-1426
18,-862,3276,-1500
20,-1110,3400,-1366
21,-878,3180,-1384
22,-904,3500,-1380
24,-1050,3442,-1574
25,-880,3308,-1474
27,-934,3496,-1134
28,-1252,3442,-1074
29,-1210,3608,-1082
31,-858,3252,-1194
32,-1308,3824,-1068
33,-1280,3900,-696
35,-1114,3294,-788
36,-1108,3364,-814
38,-968,3436,-712
39,-1000,3442,-728
40,-890,3176,-716
42,-1320,3842,-674
43,-1110,3598,-752
44,-780,3488,-896
46,-1332,3664,-1042
47,-1012,3336,-852
48,-788,3428,-864
50,-1128,3384,-1294
51,-1010,3358,-1180
53,-1050,3678,-1270
54,-1142,3308,-1352
55,-1160,3652,-1332
57,-1032,3770,-1492
58,-822,3456,-1734
60,-1178,3426,-1652
61,-1188,3372,-1348
62,-760,3670,-1400
64,-1210,3646,-1500
65,-964,3268,-1400
66,-872,3448,-1162
68,-1134,3394,-1160
69,-1274,3388,-990
71,-876,3150,-1024
72,-1142,3666,-980
73,-1090,3578,-930
75,-996,3200,-722
76,-1190,3366,-742
78,-1022,3346,-640
79,-878,3522,-640
80,-1012,3246,-744
82,-1350,3534,-606
83,-1366,3530,-590
84,-1006,3376,-818
86,-1192,3532,-1006
87,-956,3354,-1036
89,-908,3390,-704
90,-1158,3300,-1186
91,-1202,3474,-1250
93,-906,3682,-1358
94,-896,3206,-1494
95,-1408,3452,-1424
97,-1272,3682,-1344
98,-736,3492,-1566
100,-898,3418,-1884
101,-1220,3324,-1402
102,-1028,3604,-1302
104,-1168,3706,-1596
105,-886,3264,-1618
106,-990,3418,-1310
108,-892,3562,-1138
109,-1164,3444,-1020
111,-1018,3070,-1068
112,-1372,4034,-1036
113,-968,3764,-922
115,-822,3174,-798
116,-1328,3318,-636
117,-974,3252,-612
119,-928,3612,-804
120,-936,3160,-796
122,-1144,3236,-594
123,-1176,3736,-518
124,-986,3380,-674
126,-944,3648,-1064
127,-868,3400,-1076
128,-838,3304,-796
130,-1338,3390,-1058
131,-1244,3346,-1130
133,-984,3728,-1422
134,-848,3390,-1458
135,-1136,3278,-1226
137,-1276,3666,-1460
138,-746,3390,-1446
139,-718,3418,-1808
141,-1124,3368,-1386
142,-1010,3420,-1258
144,-1068,3560,-1524
145,-992,3286,-1650
146,-804,3322,-1220
148,-974,3430,-1220
149,-1294,3652,-1054
150,-958,3050,-886
152,-1336,3772,-1108
153,-1356,4100,-984
155,-916,3176,-850
156,-1300,3294,-768
157,-960,3280,-610
159,-876,3684,-772
160,-812,3144,-842
162,-1338,3482,-606
163,-1572,3842,-470
164,-910,3284,-756
166,-1068,3436,-1054
167,-1196,3278,-1072
169,-808,3350,-804
170,-1134,3522,-1014
171,-1246,3352,-1196
173,-866,3588,-1334
174,-824,3436,-1514
176,-1278,3356,-1342
177,-1362,3562,-1248
178,-636,3412,-1600
180,-778,3322,-1714
181,-1026,3530,-1412
182,-1044,3478,-1204
184,-1008,3440,-1460
185,-1022,3434,-1500
186,-822,3322,-1410
188,-956,3404,-1248
189,-1196,3508,-1016
191,-898,2930,-914
192,-1254,4040,-1074
193,-1060,3916,-1068
195,-676,3286,-942
196,-1428,3274,-560
198,-1296,3180,-442
199,-972,3768,-834
200,-858,3426,-838
202,-954,3092,-674
203,-1546,3946,-478
204,-1030,3472,-546
206,-838,3588,-1066
207,-1106,3518,-1046
209,-652,3212,-786
210,-1372,3590,-1066
211,-1504,3410,-1254
213,-1038,3590,-1490
214,-952,3732,-1500
216,-1030,3418,-1232
217,-1418,3612,-1262
218,-1046,3646,-1358
220,-748,3332,-1862
221,-1036,3508,-1752
222,-1068,3480,-1112
224,-1084,3490,-1488
225,-1190,3548,-1420
227,-816,3144,-1334
228,-986,3502,-1274
229,-1444,3350,-1050
231,-948,2834,-866
232,-1366,3498,-1050
234,-1728,3690,-1030
235,-636,3154,-804
236,-1090,3280,-560
238,-1250,3118,-340
239,-920,3514,-712
240,-908,3190,-1004
242,-1072,3120,-828
243,-1598,3834,-440
245,-832,3300,-754
246,-1030,3358,-994
247,-1248,3582,-1152
249,-632,3250,-884
250,-1050,3480,-962
251,-1418,3428,-1012
253,-972,3316,-1238
254,-830,3572,-1608
256,-1088,3470,-1564
257,-1226,3268,-1274
258,-1428,3656,-1454
260,-692,3270,-1572
261,-712,3312,-1578
262,-1194,3578,-1248
264,-1128,3364,-1164
265,-1218,3470,-1424
267,-732,3224,-1466
268,-820,3258,-1186
269,-1228,3674,-1076
271,-852,3028,-988
272,-1012,3918,-858
273,-1314,4130,-1072
275,-722,3458,-1072
